lat,lon,country,state,cod_municipio,county,elevation_m,ano,yield (kg/ha)
-24.08985099,-53.39322993027049,Brazil,Parana,4100707,Alto Piquiri,408.68,2016,2589.0
-24.08985099,-53.39322993027049,Brazil,Parana,4100707,Alto Piquiri,408.68,2017,3700.0
-24.08985099,-53.39322993027049,Brazil,Parana,4100707,Alto Piquiri,408.68,2018,3700.0
-24.08985099,-53.39322993027049,Brazil,Parana,4100707,Alto Piquiri,408.68,2019,2400.0
-24.08985099,-53.39322993027049,Brazil,Parana,4100707,Alto Piquiri,408.68,2020,3200.0
-24.08985099,-53.39322993027049,Brazil,Parana,4100707,Alto Piquiri,408.68,2021,3250.0
-24.08985099,-53.39322993027049,Brazil,Parana,4100707,Alto Piquiri,408.68,2022,1700.0
-24.08985099,-53.39322993027049,Brazil,Parana,4100707,Alto Piquiri,408.68,2023,4000.0
-24.08985099,-53.39322993027049,Brazil,Parana,4100707,Alto Piquiri,408.68,2024,2800.0
-22.81783799815,-51.23820865857137,Brazil,Parana,4100806,Alvorada do Sul,454.93,2016,2450.0
-22.81783799815,-51.23820865857137,Brazil,Parana,4100806,Alvorada do Sul,454.93,2017,3423.0
-22.81783799815,-51.23820865857137,Brazil,Parana,4100806,Alvorada do Sul,454.93,2018,3403.0
-22.81783799815,-51.23820865857137,Brazil,Parana,4100806,Alvorada do Sul,454.93,2019,1900.0
-22.81783799815,-51.23820865857137,Brazil,Parana,4100806,Alvorada do Sul,454.93,2020,3150.0
-22.81783799815,-51.23820865857137,Brazil,Parana,4100806,Alvorada do Sul,454.93,2021,2600.0
-22.81783799815,-51.23820865857137,Brazil,Parana,4100806,Alvorada do Sul,454.93,2022,3500.0
-22.81783799815,-51.23820865857137,Brazil,Parana,4100806,Alvorada do Sul,454.93,2023,3902.0
-22.81783799815,-51.23820865857137,Brazil,Parana,4100806,Alvorada do Sul,454.93,2024,1450.0
-23.1385541118,-52.83453648639856,Brazil,Parana,4100905,Amaporã,328.34,2016,2760.0
-23.1385541118,-52.83453648639856,Brazil,Parana,4100905,Amaporã,328.34,2017,3000.0
-23.1385541118,-52.83453648639856,Brazil,Parana,4100905,Amaporã,328.34,2018,3000.0
-23.1385541118,-52.83453648639856,Brazil,Parana,4100905,Amaporã,328.34,2019,2866.0
-23.1385541118,-52.83453648639856,Brazil,Parana,4100905,Amaporã,328.34,2020,2141.0
-23.1385541118,-52.83453648639856,Brazil,Parana,4100905,Amaporã,328.34,2021,2800.0
-23.1385541118,-52.83453648639856,Brazil,Parana,4100905,Amaporã,328.34,2022,840.0
-23.1385541118,-52.83453648639856,Brazil,Parana,4100905,Amaporã,328.34,2023,3200.0
-23.1385541118,-52.83453648639856,Brazil,Parana,4100905,Amaporã,328.34,2024,2308.0
-25.90855172825,-53.49321574031909,Brazil,Parana,4101002,Ampére,492.74,2016,3480.0
-25.90855172825,-53.49321574031909,Brazil,Parana,4101002,Ampére,492.74,2017,3800.0
-25.90855172825,-53.49321574031909,Brazil,Parana,4101002,Ampére,492.74,2018,3720.0
-25.90855172825,-53.49321574031909,Brazil,Parana,4101002,Ampére,492.74,2019,3300.0
-25.90855172825,-53.49321574031909,Brazil,Parana,4101002,Ampére,492.74,2020,4200.0
-25.90855172825,-53.49321574031909,Brazil,Parana,4101002,Ampére,492.74,2021,4000.0
-25.90855172825,-53.49321574031909,Brazil,Parana,4101002,Ampére,492.74,2022,800.0
-25.90855172825,-53.49321574031909,Brazil,Parana,4101002,Ampére,492.74,2023,3900.0
-25.90855172825,-53.49321574031909,Brazil,Parana,4101002,Ampére,492.74,2024,4000.0
-24.6390796333,-53.14182364075852,Brazil,Parana,4101051,Anahy,445.62,2016,4091.0
-24.6390796333,-53.14182364075852,Brazil,Parana,4101051,Anahy,445.62,2017,3644.0
-24.6390796333,-53.14182364075852,Brazil,Parana,4101051,Anahy,445.62,2018,3644.0
-24.6390796333,-53.14182364075852,Brazil,Parana,4101051,Anahy,445.62,2019,3471.0
-24.6390796333,-53.14182364075852,Brazil,Parana,4101051,Anahy,445.62,2020,3619.0
-24.6390796333,-53.14182364075852,Brazil,Parana,4101051,Anahy,445.62,2021,3217.0
-24.6390796333,-53.14182364075852,Brazil,Parana,4101051,Anahy,445.62,2022,1893.0
-24.6390796333,-53.14182364075852,Brazil,Parana,4101051,Anahy,445.62,2023,3330.0
-24.6390796333,-53.14182364075852,Brazil,Parana,4101051,Anahy,445.62,2024,3299.0
-23.02220865225,-50.27507231096658,Brazil,Parana,4101101,Andirá,482.82,2016,3077.0
-23.02220865225,-50.27507231096658,Brazil,Parana,4101101,Andirá,482.82,2017,3462.0
-23.02220865225,-50.27507231096658,Brazil,Parana,4101101,Andirá,482.82,2018,4615.0
-23.02220865225,-50.27507231096658,Brazil,Parana,4101101,Andirá,482.82,2019,2889.0
-23.02220865225,-50.27507231096658,Brazil,Parana,4101101,Andirá,482.82,2020,3180.0
-23.02220865225,-50.27507231096658,Brazil,Parana,4101101,Andirá,482.82,2021,3033.0
-23.02220865225,-50.27507231096658,Brazil,Parana,4101101,Andirá,482.82,2022,3540.0
-23.02220865225,-50.27507231096658,Brazil,Parana,4101101,Andirá,482.82,2023,3720.0
-23.02220865225,-50.27507231096658,Brazil,Parana,4101101,Andirá,482.82,2024,3720.0
-23.1974755395,-51.91994824142331,Brazil,Parana,4101150,Ângulo,442.02,2016,3050.0
-23.1974755395,-51.91994824142331,Brazil,Parana,4101150,Ângulo,442.02,2017,3470.0
-23.1974755395,-51.91994824142331,Brazil,Parana,4101150,Ângulo,442.02,2018,3400.0
-23.1974755395,-51.91994824142331,Brazil,Parana,4101150,Ângulo,442.02,2019,2600.0
-23.1974755395,-51.91994824142331,Brazil,Parana,4101150,Ângulo,442.02,2020,3300.0
-23.1974755395,-51.91994824142331,Brazil,Parana,4101150,Ângulo,442.02,2021,2975.0
-23.1974755395,-51.91994824142331,Brazil,Parana,4101150,Ângulo,442.02,2022,1360.0
-23.1974755395,-51.91994824142331,Brazil,Parana,4101150,Ângulo,442.02,2023,4200.0
-23.1974755395,-51.91994824142331,Brazil,Parana,4101150,Ângulo,442.02,2024,2500.0
-25.9445149088,-50.10309234303714,Brazil,Parana,4101309,Antônio Olinto,841.6,2016,3264.0
-25.9445149088,-50.10309234303714,Brazil,Parana,4101309,Antônio Olinto,841.6,2017,3500.0
-25.9445149088,-50.10309234303714,Brazil,Parana,4101309,Antônio Olinto,841.6,2018,3500.0
-25.9445149088,-50.10309234303714,Brazil,Parana,4101309,Antônio Olinto,841.6,2019,3500.0
-25.9445149088,-50.10309234303714,Brazil,Parana,4101309,Antônio Olinto,841.6,2020,3524.0
-25.9445149088,-50.10309234303714,Brazil,Parana,4101309,Antônio Olinto,841.6,2021,3500.0
-25.9445149088,-50.10309234303714,Brazil,Parana,4101309,Antônio Olinto,841.6,2022,2790.0
-25.9445149088,-50.10309234303714,Brazil,Parana,4101309,Antônio Olinto,841.6,2023,2790.0
-25.9445149088,-50.10309234303714,Brazil,Parana,4101309,Antônio Olinto,841.6,2024,2800.0
-23.5779549371,-51.39391165671515,Brazil,Parana,4101408,Apucarana,631.22,2016,2650.0
-23.5779549371,-51.39391165671515,Brazil,Parana,4101408,Apucarana,631.22,2017,3600.0
-23.5779549371,-51.39391165671515,Brazil,Parana,4101408,Apucarana,631.22,2018,3500.0
-23.5779549371,-51.39391165671515,Brazil,Parana,4101408,Apucarana,631.22,2019,3173.0
-23.5779549371,-51.39391165671515,Brazil,Parana,4101408,Apucarana,631.22,2020,3900.0
-23.5779549371,-51.39391165671515,Brazil,Parana,4101408,Apucarana,631.22,2021,3850.0
-23.5779549371,-51.39391165671515,Brazil,Parana,4101408,Apucarana,631.22,2022,3150.0
-23.5779549371,-51.39391165671515,Brazil,Parana,4101408,Apucarana,631.22,2023,3500.0
-23.5779549371,-51.39391165671515,Brazil,Parana,4101408,Apucarana,631.22,2024,3500.0
-23.44663196405,-51.43737803510319,Brazil,Parana,4101507,Arapongas,631.22,2016,2300.0
-23.44663196405,-51.43737803510319,Brazil,Parana,4101507,Arapongas,631.22,2017,3700.0
-23.44663196405,-51.43737803510319,Brazil,Parana,4101507,Arapongas,631.22,2018,3400.0
-23.44663196405,-51.43737803510319,Brazil,Parana,4101507,Arapongas,631.22,2019,3000.0
-23.44663196405,-51.43737803510319,Brazil,Parana,4101507,Arapongas,631.22,2020,3600.0
-23.44663196405,-51.43737803510319,Brazil,Parana,4101507,Arapongas,631.22,2021,3750.0
-23.44663196405,-51.43737803510319,Brazil,Parana,4101507,Arapongas,631.22,2022,3350.0
-23.44663196405,-51.43737803510319,Brazil,Parana,4101507,Arapongas,631.22,2023,3750.0
-23.44663196405,-51.43737803510319,Brazil,Parana,4101507,Arapongas,631.22,2024,3100.0
-24.0718785919,-49.93456329420147,Brazil,Parana,4101606,Arapoti,741.43,2016,3371.0
-24.0718785919,-49.93456329420147,Brazil,Parana,4101606,Arapoti,741.43,2017,4000.0
-24.0718785919,-49.93456329420147,Brazil,Parana,4101606,Arapoti,741.43,2018,3750.0
-24.0718785919,-49.93456329420147,Brazil,Parana,4101606,Arapoti,741.43,2019,3400.0
-24.0718785919,-49.93456329420147,Brazil,Parana,4101606,Arapoti,741.43,2020,3985.0
-24.0718785919,-49.93456329420147,Brazil,Parana,4101606,Arapoti,741.43,2021,3833.0
-24.0718785919,-49.93456329420147,Brazil,Parana,4101606,Arapoti,741.43,2022,3940.0
-24.0718785919,-49.93456329420147,Brazil,Parana,4101606,Arapoti,741.43,2023,4133.0
-24.0718785919,-49.93456329420147,Brazil,Parana,4101606,Arapoti,741.43,2024,3691.0
-24.3276744619,-51.84371764632883,Brazil,Parana,4101655,Arapuã,715.32,2016,2350.0
-24.3276744619,-51.84371764632883,Brazil,Parana,4101655,Arapuã,715.32,2017,3500.0
-24.3276744619,-51.84371764632883,Brazil,Parana,4101655,Arapuã,715.32,2018,3600.0
-24.3276744619,-51.84371764632883,Brazil,Parana,4101655,Arapuã,715.32,2019,3060.0
-24.3276744619,-51.84371764632883,Brazil,Parana,4101655,Arapuã,715.32,2020,4215.0
-24.3276744619,-51.84371764632883,Brazil,Parana,4101655,Arapuã,715.32,2021,3387.0
-24.3276744619,-51.84371764632883,Brazil,Parana,4101655,Arapuã,715.32,2022,1735.0
-24.3276744619,-51.84371764632883,Brazil,Parana,4101655,Arapuã,715.32,2023,3349.0
-24.3276744619,-51.84371764632883,Brazil,Parana,4101655,Arapuã,715.32,2024,2975.0
-23.92558801785,-52.5135993308897,Brazil,Parana,4101705,Araruna,531.27,2016,2834.0
-23.92558801785,-52.5135993308897,Brazil,Parana,4101705,Araruna,531.27,2017,3600.0
-23.92558801785,-52.5135993308897,Brazil,Parana,4101705,Araruna,531.27,2018,3400.0
-23.92558801785,-52.5135993308897,Brazil,Parana,4101705,Araruna,531.27,2019,2730.0
-23.92558801785,-52.5135993308897,Brazil,Parana,4101705,Araruna,531.27,2020,3400.0
-23.92558801785,-52.5135993308897,Brazil,Parana,4101705,Araruna,531.27,2021,3200.0
-23.92558801785,-52.5135993308897,Brazil,Parana,4101705,Araruna,531.27,2022,950.0
-23.92558801785,-52.5135993308897,Brazil,Parana,4101705,Araruna,531.27,2023,3800.0
-23.92558801785,-52.5135993308897,Brazil,Parana,4101705,Araruna,531.27,2024,2660.0
-25.627353264,-49.45025447589494,Brazil,Parana,4101804,Araucária,905.85,2016,3595.0
-25.627353264,-49.45025447589494,Brazil,Parana,4101804,Araucária,905.85,2017,3700.0
-25.627353264,-49.45025447589494,Brazil,Parana,4101804,Araucária,905.85,2018,3900.0
-25.627353264,-49.45025447589494,Brazil,Parana,4101804,Araucária,905.85,2019,3845.0
-25.627353264,-49.45025447589494,Brazil,Parana,4101804,Araucária,905.85,2020,3910.0
-25.627353264,-49.45025447589494,Brazil,Parana,4101804,Araucária,905.85,2021,3710.0
-25.627353264,-49.45025447589494,Brazil,Parana,4101804,Araucária,905.85,2022,3580.0
-25.627353264,-49.45025447589494,Brazil,Parana,4101804,Araucária,905.85,2023,3900.0
-25.627353264,-49.45025447589494,Brazil,Parana,4101804,Araucária,905.85,2024,3320.0
-24.3776975891,-51.54427771729035,Brazil,Parana,4101853,Ariranha do Ivaí,681.15,2016,2230.0
-24.3776975891,-51.54427771729035,Brazil,Parana,4101853,Ariranha do Ivaí,681.15,2017,3500.0
-24.3776975891,-51.54427771729035,Brazil,Parana,4101853,Ariranha do Ivaí,681.15,2018,3600.0
-24.3776975891,-51.54427771729035,Brazil,Parana,4101853,Ariranha do Ivaí,681.15,2019,3060.0
-24.3776975891,-51.54427771729035,Brazil,Parana,4101853,Ariranha do Ivaí,681.15,2020,4462.0
-24.3776975891,-51.54427771729035,Brazil,Parana,4101853,Ariranha do Ivaí,681.15,2021,3260.0
-24.3776975891,-51.54427771729035,Brazil,Parana,4101853,Ariranha do Ivaí,681.15,2022,1640.0
-24.3776975891,-51.54427771729035,Brazil,Parana,4101853,Ariranha do Ivaí,681.15,2023,3180.0
-24.3776975891,-51.54427771729035,Brazil,Parana,4101853,Ariranha do Ivaí,681.15,2024,2975.0
-23.4185572974,-50.87852366430367,Brazil,Parana,4101903,Assaí,609.72,2016,2580.0
-23.4185572974,-50.87852366430367,Brazil,Parana,4101903,Assaí,609.72,2017,3263.0
-23.4185572974,-50.87852366430367,Brazil,Parana,4101903,Assaí,609.72,2018,3120.0
-23.4185572974,-50.87852366430367,Brazil,Parana,4101903,Assaí,609.72,2019,2975.0
-23.4185572974,-50.87852366430367,Brazil,Parana,4101903,Assaí,609.72,2020,3480.0
-23.4185572974,-50.87852366430367,Brazil,Parana,4101903,Assaí,609.72,2021,3350.0
-23.4185572974,-50.87852366430367,Brazil,Parana,4101903,Assaí,609.72,2022,3157.0
-23.4185572974,-50.87852366430367,Brazil,Parana,4101903,Assaí,609.72,2023,3157.0
-23.4185572974,-50.87852366430367,Brazil,Parana,4101903,Assaí,609.72,2024,1860.0
-24.44583839175,-53.57790187443717,Brazil,Parana,4102000,Assis Chateaubriand,430.2,2016,3420.0
-24.44583839175,-53.57790187443717,Brazil,Parana,4102000,Assis Chateaubriand,430.2,2017,3967.0
-24.44583839175,-53.57790187443717,Brazil,Parana,4102000,Assis Chateaubriand,430.2,2018,3480.0
-24.44583839175,-53.57790187443717,Brazil,Parana,4102000,Assis Chateaubriand,430.2,2019,2200.0
-24.44583839175,-53.57790187443717,Brazil,Parana,4102000,Assis Chateaubriand,430.2,2020,3700.0
-24.44583839175,-53.57790187443717,Brazil,Parana,4102000,Assis Chateaubriand,430.2,2021,3250.0
-24.44583839175,-53.57790187443717,Brazil,Parana,4102000,Assis Chateaubriand,430.2,2022,650.0
-24.44583839175,-53.57790187443717,Brazil,Parana,4102000,Assis Chateaubriand,430.2,2023,3500.0
-24.44583839175,-53.57790187443717,Brazil,Parana,4102000,Assis Chateaubriand,430.2,2024,3225.0
-23.23866340155,-51.69412541470699,Brazil,Parana,4102109,Astorga,442.02,2016,2350.0
-23.23866340155,-51.69412541470699,Brazil,Parana,4102109,Astorga,442.02,2017,3720.0
-23.23866340155,-51.69412541470699,Brazil,Parana,4102109,Astorga,442.02,2018,3700.0
-23.23866340155,-51.69412541470699,Brazil,Parana,4102109,Astorga,442.02,2019,2750.0
-23.23866340155,-51.69412541470699,Brazil,Parana,4102109,Astorga,442.02,2020,3650.0
-23.23866340155,-51.69412541470699,Brazil,Parana,4102109,Astorga,442.02,2021,3390.0
-23.23866340155,-51.69412541470699,Brazil,Parana,4102109,Astorga,442.02,2022,3500.0
-23.23866340155,-51.69412541470699,Brazil,Parana,4102109,Astorga,442.02,2023,4004.0
-23.23866340155,-51.69412541470699,Brazil,Parana,4102109,Astorga,442.02,2024,2522.0
-23.1268797993,-52.07614905683032,Brazil,Parana,4102208,Atalaia,442.02,2016,2850.0
-23.1268797993,-52.07614905683032,Brazil,Parana,4102208,Atalaia,442.02,2017,3650.0
-23.1268797993,-52.07614905683032,Brazil,Parana,4102208,Atalaia,442.02,2018,3600.0
