point_id,cluster_id,year,dyield_obs,dyield_sim,error,abs_error,r2,bias
4100806,0.0,2015,2.227466666666811,0.0,-2.227466666666811,2.227466666666811,-22.147906306423547,-2.661147901988745
4100806,0.0,2016,2.7306094717669867,0.0,-2.7306094717669867,2.7306094717669867,-22.147906306423547,-2.661147901988745
4100806,0.0,2017,3.2322237899544577,0.0,-3.2322237899544577,3.2322237899544577,-22.147906306423547,-2.661147901988745
4100806,0.0,2018,2.49244593607316,0.0,-2.49244593607316,2.49244593607316,-22.147906306423547,-2.661147901988745
4100806,0.0,2019,2.4050763013699457,0.0,-2.4050763013699457,2.4050763013699457,-22.147906306423547,-2.661147901988745
4100806,0.0,2020,2.776214936247788,0.0,-2.776214936247788,2.776214936247788,-22.147906306423547,-2.661147901988745
4100806,0.0,2021,2.98427127853886,0.0,-2.98427127853886,2.98427127853886,-22.147906306423547,-2.661147901988745
4100806,0.0,2022,3.6610413698630424,0.0,-3.6610413698630424,3.6610413698630424,-22.147906306423547,-2.661147901988745
4100806,0.0,2023,2.6521292694064034,0.0,-2.6521292694064034,2.6521292694064034,-22.147906306423547,-2.661147901988745
4100806,0.0,2024,1.4499999999999993,0.0,-1.4499999999999993,1.4499999999999993,-22.147906306423547,-2.661147901988745
