parameter,mu_star,sigma,mu,point_id,cluster_id,latitude,longitude
AMAXTB000,139934.47307009398,870542.8319258277,95803.64520803018,4128203,2.0,-26.1237040666,-51.1134588187988
AMAXTB014,211072.5230187767,535040.1435457944,150226.24435937146,4128203,2.0,-26.1237040666,-51.1134588187988
AMAXTB082,2032166.8207207075,3941381.0469362605,2032166.8207207075,4128203,2.0,-26.1237040666,-51.1134588187988
AMAXTB200,2413059.5732317823,3735757.0451943367,2413059.5732317823,4128203,2.0,-26.1237040666,-51.1134588187988
TMPFTB000,0.0,0.0,0.0,4128203,2.0,-26.1237040666,-51.1134588187988
TMPFTB008,19684.24826658198,49879.34409653459,17860.367606271728,4128203,2.0,-26.1237040666,-51.1134588187988
TMPFTB020,2164319.760948137,3382774.904911955,2164319.760948137,4128203,2.0,-26.1237040666,-51.1134588187988
TMPFTB035,1453746.6687820458,2512892.371505052,1453746.6687820458,4128203,2.0,-26.1237040666,-51.1134588187988
TMPFTB045,0.0,0.0,0.0,4128203,2.0,-26.1237040666,-51.1134588187988
EFFTB000,0.0,0.0,0.0,4128203,2.0,-26.1237040666,-51.1134588187988
EFFTB040,0.0,0.0,0.0,4128203,2.0,-26.1237040666,-51.1134588187988
SLATB000,327161.07366146037,771416.6766481196,273921.09281640267,4128203,2.0,-26.1237040666,-51.1134588187988
SLATB021,56643.70352719497,156682.3954927473,30594.940050219167,4128203,2.0,-26.1237040666,-51.1134588187988
SLATB029,251576.01787106783,1475893.9202126332,234754.78148868345,4128203,2.0,-26.1237040666,-51.1134588187988
SLATB064,298683.93984337436,888843.9700361156,269429.7441042071,4128203,2.0,-26.1237040666,-51.1134588187988
SLATB100,1328197.4553049258,2490689.873235517,1327695.0251672764,4128203,2.0,-26.1237040666,-51.1134588187988
SLATB200,370252.2689260554,877299.6340710102,370252.2689260554,4128203,2.0,-26.1237040666,-51.1134588187988
RFSETB000,172164.606248802,380519.0977636795,-172164.606248802,4128203,2.0,-26.1237040666,-51.1134588187988
RFSETB200,677964.0711215255,1331918.2501898492,-677964.0711215255,4128203,2.0,-26.1237040666,-51.1134588187988
CFET,23029.338669034965,151333.98541503894,-22806.77354141887,4128203,2.0,-26.1237040666,-51.1134588187988
CVL,147258.21129313277,318663.5931957673,139990.8610740238,4128203,2.0,-26.1237040666,-51.1134588187988
CVO,1072745.0048413211,1919464.9048597282,1072745.0048413211,4128203,2.0,-26.1237040666,-51.1134588187988
CVR,30909.476158752106,112286.43984395503,28048.206317173215,4128203,2.0,-26.1237040666,-51.1134588187988
CVS,59051.986954245716,88696.20290401373,59051.986954245716,4128203,2.0,-26.1237040666,-51.1134588187988
DEPNR,18192.741901262183,77075.19244661306,18192.741901262183,4128203,2.0,-26.1237040666,-51.1134588187988
DLC,278379.5011632115,1430404.3048908012,-273349.4859719792,4128203,2.0,-26.1237040666,-51.1134588187988
DLO,179643.79333710475,1156710.40124791,-163944.60813567424,4128203,2.0,-26.1237040666,-51.1134588187988
DVSEND,4130138.6388327354,5521165.412799163,4130138.6388327354,4128203,2.0,-26.1237040666,-51.1134588187988
DVSI,0.0,0.0,0.0,4128203,2.0,-26.1237040666,-51.1134588187988
IAIRDU,97704.22449305846,583334.3664844707,96928.88962513696,4128203,2.0,-26.1237040666,-51.1134588187988
IDSL,941487.7910290997,3232973.6368970913,-796744.8030804875,4128203,2.0,-26.1237040666,-51.1134588187988
IOX,32576.321748166156,209164.23910531937,-32576.321748166156,4128203,2.0,-26.1237040666,-51.1134588187988
PERDL,13149.173257711403,81448.85958422133,-12956.390938397306,4128203,2.0,-26.1237040666,-51.1134588187988
Q10,47018.66442206902,94803.42776244861,47018.66442206902,4128203,2.0,-26.1237040666,-51.1134588187988
RDMCR,27200.00028712602,157189.03989259683,27200.00028712602,4128203,2.0,-26.1237040666,-51.1134588187988
RDI,42566.033159895436,235233.43192314176,19461.456699000766,4128203,2.0,-26.1237040666,-51.1134588187988
RGRLAI,44849.53199864714,444142.7844401796,43995.00829400139,4128203,2.0,-26.1237040666,-51.1134588187988
RML,362724.4769302949,666165.1666726428,-362724.4769302949,4128203,2.0,-26.1237040666,-51.1134588187988
RMO,532916.0661959324,1703394.5969505436,-532916.0661959324,4128203,2.0,-26.1237040666,-51.1134588187988
RMR,140572.39106164183,331529.96151790075,-140572.39106164183,4128203,2.0,-26.1237040666,-51.1134588187988
RMS,296022.93577563437,730085.0767168211,-296022.93577563437,4128203,2.0,-26.1237040666,-51.1134588187988
RRI,84358.13014001925,318759.5317114582,83794.76613162416,4128203,2.0,-26.1237040666,-51.1134588187988
SLATB,0.0,0.0,0.0,4128203,2.0,-26.1237040666,-51.1134588187988
SPAN,1450750.2891999462,2736848.208932756,1449176.4787694544,4128203,2.0,-26.1237040666,-51.1134588187988
TBASE,349247.15166176157,991745.406222085,320281.0136456462,4128203,2.0,-26.1237040666,-51.1134588187988
TBASEM,79753.74300446916,172532.44390771684,-8809.437750647881,4128203,2.0,-26.1237040666,-51.1134588187988
TDWI,1349490.530139123,3704736.453906575,1247237.9614420221,4128203,2.0,-26.1237040666,-51.1134588187988
TEFFMX,17319.989435851843,50221.33945872875,-2857.6858012030048,4128203,2.0,-26.1237040666,-51.1134588187988
TSUM1,784645.901192076,2096706.951293104,23344.669510462973,4128203,2.0,-26.1237040666,-51.1134588187988
TSUM2,1718160.3178652273,3932925.5619332385,1682926.778973087,4128203,2.0,-26.1237040666,-51.1134588187988
TSUMEM,35803.477321866834,90009.23026803462,-680.9378036360573,4128203,2.0,-26.1237040666,-51.1134588187988
