parameter,mu_star,sigma,mu
DVSEND,4330529.395562268,5778570.675591883,4330529.395562268
TMPFTB020,2444844.8595596915,3742805.184250876,2444844.8595596915
AMAXTB200,2211998.311023996,3558740.875324357,2211998.311023996
AMAXTB082,1707181.729547174,3091741.858101151,1707181.729547174
SLATB100,1377078.1936352698,2743800.3096738323,1376662.9490845606
TSUM2,1297472.1672346299,2780260.7031398476,1266525.819945938
SPAN,1200828.287547382,2422367.0238175844,1198972.4092038216
TMPFTB035,1177693.8420186313,2368956.3186357203,1177693.8420185705
TDWI,1112852.3857583934,3054662.695561459,1024230.789510944
CVO,1042216.946428774,1994700.4326326433,1042216.946428774
TSUM1,932524.8781105413,2289571.58028661,71589.40155387226
IDSL,907757.9656909703,3157671.8348899116,-809411.0745087715
RFSETB200,632776.0772184605,1187045.61862054,-632776.0772184605
SLATB000,478252.6023472353,1147253.2016287758,402031.88195211696
RMO,466013.63443707634,1341395.0801918015,-466013.63443707634
TBASE,442008.64865528885,1164402.1615655562,417988.6413064953
RML,404738.36024807714,689508.8743353664,-404738.36024807714
DLC,390407.20800789417,1815221.476961847,-299022.8353592262
SLATB200,364681.50697205873,1062180.7262893661,364681.50697205873
SLATB064,300263.32280239783,921494.5833564119,268174.6830081168
AMAXTB014,277334.6671630172,805599.5015928985,217823.3640693276
RMS,272284.4911075037,540216.4637710879,-272284.4911075037
SLATB029,200833.96284595923,907496.9972672922,172170.95496063583
RFSETB000,184628.62122844145,421864.89683037304,-184628.62122844145
CVL,166215.0085363319,328293.5930997783,163012.660474475
RMR,156331.78931274632,380472.3007917534,-156331.78931274632
RRI,90456.5912458805,429616.3190963212,90044.57454646325
RDI,86316.44016723074,414875.86124503805,77438.76525841228
DLO,82572.3147979088,535813.5735968121,-70472.6319662047
TBASEM,78181.35950540946,185683.77896689007,-8771.530215561233
AMAXTB000,75744.14302594386,348222.4169570249,45585.31776888568
SLATB021,68948.4391726225,186293.87050317862,39450.38837462182
CVS,67553.03282365372,146568.30063347233,67553.03282365372
Q10,51063.82631415272,102843.48155079405,51063.03046633735
TSUMEM,45844.33864566921,113626.2687390182,-1149.0092368478079
RGRLAI,41891.26384361772,395283.58033131674,39037.15109263823
TMPFTB008,35603.53735525647,119209.2308625656,32913.41789755194
IAIRDU,30633.31791398316,191093.08837874405,29044.701360749117
CFET,23544.23498932126,141045.84963290847,-23062.7131578502
DEPNR,22518.28486383839,99902.23901301387,22498.587415134232
CVR,22157.20486529717,65036.42353453542,17713.215560682005
RDMCR,16428.636820800275,97119.04256462047,16428.636820800275
IOX,14771.922275063462,94254.95276048056,-13893.179184595107
TEFFMX,14339.380302516189,47716.04566808448,1228.3082249369177
PERDL,10729.062880456408,73981.12878792404,-10149.138000461762
DVSI,0.0,0.0,0.0
EFFTB000,0.0,0.0,0.0
EFFTB040,0.0,0.0,0.0
SLATB,0.0,0.0,0.0
TMPFTB000,0.0,0.0,0.0
TMPFTB045,0.0,0.0,0.0
