parameter,mu_star,sigma,mu,point_id,cluster_id,latitude,longitude
AMAXTB000,128793.16546105714,828846.9015372025,85177.06303436031,4102901,2.0,-26.1462959025,-51.49602902723144
AMAXTB014,219865.31914318216,601436.6956346689,158788.13634529914,4102901,2.0,-26.1462959025,-51.49602902723144
AMAXTB082,2083606.8045786873,4045960.273307532,2083606.8045786873,4102901,2.0,-26.1462959025,-51.49602902723144
AMAXTB200,2560172.8063995424,3923322.4734659903,2560172.8063995424,4102901,2.0,-26.1462959025,-51.49602902723144
TMPFTB000,0.0,0.0,0.0,4102901,2.0,-26.1462959025,-51.49602902723144
TMPFTB008,31873.3889281027,89123.91101909771,29103.59174233566,4102901,2.0,-26.1462959025,-51.49602902723144
TMPFTB020,2516044.7117775427,3970559.4032609668,2516044.7117775427,4102901,2.0,-26.1462959025,-51.49602902723144
TMPFTB035,1326328.0866099014,2364698.73524263,1326328.0866099014,4102901,2.0,-26.1462959025,-51.49602902723144
TMPFTB045,0.0,0.0,0.0,4102901,2.0,-26.1462959025,-51.49602902723144
EFFTB000,0.0,0.0,0.0,4102901,2.0,-26.1462959025,-51.49602902723144
EFFTB040,0.0,0.0,0.0,4102901,2.0,-26.1462959025,-51.49602902723144
SLATB000,321016.3924741522,728741.6392909291,262236.83147397486,4102901,2.0,-26.1462959025,-51.49602902723144
SLATB021,57665.93323048724,143270.01902526713,26475.369455393236,4102901,2.0,-26.1462959025,-51.49602902723144
SLATB029,250243.8501119495,1507988.0711190666,231117.323902012,4102901,2.0,-26.1462959025,-51.49602902723144
SLATB064,280124.254281543,753895.6602350988,245669.1348276098,4102901,2.0,-26.1462959025,-51.49602902723144
SLATB100,1270720.59712292,2441753.126705034,1269394.5640167617,4102901,2.0,-26.1462959025,-51.49602902723144
SLATB200,389222.59682224767,923778.5950296798,389222.59682224767,4102901,2.0,-26.1462959025,-51.49602902723144
RFSETB000,177995.28068027314,382016.8286397888,-177995.28068027314,4102901,2.0,-26.1462959025,-51.49602902723144
RFSETB200,718748.8816295834,1322526.806013964,-718748.8816295834,4102901,2.0,-26.1462959025,-51.49602902723144
CFET,25077.174443165026,186421.72728811472,-24198.740984785753,4102901,2.0,-26.1462959025,-51.49602902723144
CVL,151125.9351421689,327305.258336265,144137.88380398919,4102901,2.0,-26.1462959025,-51.49602902723144
CVO,1178093.2415480132,2082111.973525122,1178093.2415480132,4102901,2.0,-26.1462959025,-51.49602902723144
CVR,32632.158068435685,111829.78694229273,29434.974297922116,4102901,2.0,-26.1462959025,-51.49602902723144
CVS,58733.60554224219,88972.99550847812,58733.60554224219,4102901,2.0,-26.1462959025,-51.49602902723144
DEPNR,17141.909417797502,75103.48766178345,17141.909417797502,4102901,2.0,-26.1462959025,-51.49602902723144
DLC,268836.3621927641,1425905.5458677837,-265086.00584460096,4102901,2.0,-26.1462959025,-51.49602902723144
DLO,193382.05209769105,1202095.2395110836,-177359.38190630186,4102901,2.0,-26.1462959025,-51.49602902723144
DVSEND,4453216.332865597,5918912.471573908,4453216.332865597,4102901,2.0,-26.1462959025,-51.49602902723144
DVSI,0.0,0.0,0.0,4102901,2.0,-26.1462959025,-51.49602902723144
IAIRDU,32983.34113757638,142992.86008239238,32715.830141758284,4102901,2.0,-26.1462959025,-51.49602902723144
IDSL,993026.756102416,3400716.595300072,-858224.8784928977,4102901,2.0,-26.1462959025,-51.49602902723144
IOX,16175.193062889357,101804.87493928545,-16175.193062889357,4102901,2.0,-26.1462959025,-51.49602902723144
PERDL,12445.86677381591,99411.12442254808,-12140.864605760984,4102901,2.0,-26.1462959025,-51.49602902723144
Q10,68864.83887009545,136773.912525358,68864.83887009545,4102901,2.0,-26.1462959025,-51.49602902723144
RDMCR,22952.03594377743,132241.27192960607,22952.03594377743,4102901,2.0,-26.1462959025,-51.49602902723144
RDI,41962.98142860158,230798.21240036018,23569.65787421957,4102901,2.0,-26.1462959025,-51.49602902723144
RGRLAI,88238.19372177435,876749.95399877,87165.13699510938,4102901,2.0,-26.1462959025,-51.49602902723144
RML,368157.23089161445,652569.9500566231,-368157.23089161445,4102901,2.0,-26.1462959025,-51.49602902723144
RMO,540541.7999867371,1739827.7362461,-540541.7999867371,4102901,2.0,-26.1462959025,-51.49602902723144
RMR,153680.74833570365,356234.7894856893,-153680.74833570365,4102901,2.0,-26.1462959025,-51.49602902723144
RMS,267057.23856280604,462397.55604957696,-267057.23856280604,4102901,2.0,-26.1462959025,-51.49602902723144
RRI,76448.59322610918,292603.95617214474,71995.07002633695,4102901,2.0,-26.1462959025,-51.49602902723144
SLATB,0.0,0.0,0.0,4102901,2.0,-26.1462959025,-51.49602902723144
SPAN,1467669.2101779343,2781932.212687144,1465750.7948620724,4102901,2.0,-26.1462959025,-51.49602902723144
TBASE,417667.7406263173,1162076.2072900536,377376.2119254512,4102901,2.0,-26.1462959025,-51.49602902723144
TBASEM,68702.62431862587,194110.07107191434,-24234.17949555379,4102901,2.0,-26.1462959025,-51.49602902723144
TDWI,1307365.8547058837,3519659.9475379433,1199455.0766209667,4102901,2.0,-26.1462959025,-51.49602902723144
TEFFMX,12988.110972189032,40231.9477220277,-477.5020969533798,4102901,2.0,-26.1462959025,-51.49602902723144
TSUM1,879478.9925410418,2249482.729393472,-129630.33896332106,4102901,2.0,-26.1462959025,-51.49602902723144
TSUM2,1855540.4244375774,4316373.506256377,1801475.0360789355,4102901,2.0,-26.1462959025,-51.49602902723144
TSUMEM,35929.14064529504,82912.78425805128,2487.696745003082,4102901,2.0,-26.1462959025,-51.49602902723144
