parameter,mu_star,sigma,mu,point_id,cluster_id,latitude,longitude
AMAXTB000,49683.480290676045,127455.43928014502,37356.83526872391,4111506,0.0,-24.2814380199,-51.62536633033287
AMAXTB014,289266.07869847555,856720.2835482551,246523.05840278414,4111506,0.0,-24.2814380199,-51.62536633033287
AMAXTB082,1411744.4493747137,2776580.519428163,1411744.4493747137,4111506,0.0,-24.2814380199,-51.62536633033287
AMAXTB200,1895857.6365192262,3580914.226712394,1895857.6365192262,4111506,0.0,-24.2814380199,-51.62536633033287
TMPFTB000,0.0,0.0,0.0,4111506,0.0,-24.2814380199,-51.62536633033287
TMPFTB008,1851.019082901139,8638.552830847499,1600.416622110335,4111506,0.0,-24.2814380199,-51.62536633033287
TMPFTB020,1600713.118463728,2716034.9444151754,1600713.118463728,4111506,0.0,-24.2814380199,-51.62536633033287
TMPFTB035,1816070.2088799714,3980770.5682718176,1816070.2088799714,4111506,0.0,-24.2814380199,-51.62536633033287
TMPFTB045,0.0,0.0,0.0,4111506,0.0,-24.2814380199,-51.62536633033287
EFFTB000,0.0,0.0,0.0,4111506,0.0,-24.2814380199,-51.62536633033287
EFFTB040,0.0,0.0,0.0,4111506,0.0,-24.2814380199,-51.62536633033287
SLATB000,603392.0049274107,1445998.5937364679,517123.0525102147,4111506,0.0,-24.2814380199,-51.62536633033287
SLATB021,65387.05218063567,208455.0596777452,45376.33850006357,4111506,0.0,-24.2814380199,-51.62536633033287
SLATB029,153673.79562540617,480589.0659875925,118557.53311474253,4111506,0.0,-24.2814380199,-51.62536633033287
SLATB064,292745.1118763041,676431.9340442971,263447.5505126736,4111506,0.0,-24.2814380199,-51.62536633033287
SLATB100,1314853.940843004,2277395.960090537,1314853.940843004,4111506,0.0,-24.2814380199,-51.62536633033287
SLATB200,347585.4003970479,1185911.5860832585,347567.7068068322,4111506,0.0,-24.2814380199,-51.62536633033287
RFSETB000,181062.75422317744,439393.66360801324,-181062.75422317744,4111506,0.0,-24.2814380199,-51.62536633033287
RFSETB200,638361.927876763,1222780.9106791916,-638361.927876763,4111506,0.0,-24.2814380199,-51.62536633033287
CFET,16316.61364736999,66469.16274359319,-15347.66041547234,4111506,0.0,-24.2814380199,-51.62536633033287
CVL,205470.69343902395,428502.6513029769,202740.4862662684,4111506,0.0,-24.2814380199,-51.62536633033287
CVO,812926.1494643624,1845979.165194092,812926.1494643624,4111506,0.0,-24.2814380199,-51.62536633033287
CVR,17503.090287042378,34062.779238272866,10192.787078181607,4111506,0.0,-24.2814380199,-51.62536633033287
CVS,49803.09230544357,112746.37214928138,49803.09230544357,4111506,0.0,-24.2814380199,-51.62536633033287
DEPNR,21180.55967440315,124362.00225542193,19631.85180289346,4111506,0.0,-24.2814380199,-51.62536633033287
DLC,451073.71860713593,2169080.775239847,-377230.2095740429,4111506,0.0,-24.2814380199,-51.62536633033287
DLO,9684.276943712635,56640.79869330681,-9684.276943712635,4111506,0.0,-24.2814380199,-51.62536633033287
DVSEND,3771131.9418990407,5263149.265919131,3771131.9418990407,4111506,0.0,-24.2814380199,-51.62536633033287
DVSI,0.0,0.0,0.0,4111506,0.0,-24.2814380199,-51.62536633033287
IAIRDU,22774.11994513632,141389.8315141094,22031.369983316104,4111506,0.0,-24.2814380199,-51.62536633033287
IDSL,774739.9637062117,2759582.5692361854,-686774.6910356556,4111506,0.0,-24.2814380199,-51.62536633033287
IOX,29161.356380714315,151289.73132027223,-29161.356380714315,4111506,0.0,-24.2814380199,-51.62536633033287
PERDL,3296.8671607461706,15422.864950573308,-3293.743261960684,4111506,0.0,-24.2814380199,-51.62536633033287
Q10,11214.907348326009,32006.670913540445,1203.5141303925827,4111506,0.0,-24.2814380199,-51.62536633033287
RDMCR,920.3681663608813,6847.871917496738,920.3681663608813,4111506,0.0,-24.2814380199,-51.62536633033287
RDI,32545.944140489373,140135.58584837575,18120.822334185672,4111506,0.0,-24.2814380199,-51.62536633033287
RGRLAI,1300.5493384692559,8337.733117140622,-32.1486741016902,4111506,0.0,-24.2814380199,-51.62536633033287
RML,438273.41741809825,698668.5923580775,-438273.41741809825,4111506,0.0,-24.2814380199,-51.62536633033287
RMO,268755.464696024,731817.3445171647,-268755.464696024,4111506,0.0,-24.2814380199,-51.62536633033287
RMR,220006.11298968905,604870.4250326098,-220006.11298968905,4111506,0.0,-24.2814380199,-51.62536633033287
RMS,288979.7503187209,568470.4946045845,-288979.7503187209,4111506,0.0,-24.2814380199,-51.62536633033287
RRI,51814.5873497907,181546.84482831342,34988.19497062396,4111506,0.0,-24.2814380199,-51.62536633033287
SLATB,0.0,0.0,0.0,4111506,0.0,-24.2814380199,-51.62536633033287
SPAN,683771.8764096083,1493008.617889904,682453.9309691661,4111506,0.0,-24.2814380199,-51.62536633033287
TBASE,298048.92739972053,854540.1577808874,296438.96189896035,4111506,0.0,-24.2814380199,-51.62536633033287
TBASEM,88104.75382134425,223067.32016064294,-25286.339130943248,4111506,0.0,-24.2814380199,-51.62536633033287
TDWI,1028447.0909417355,2550980.1642008657,976331.0200221068,4111506,0.0,-24.2814380199,-51.62536633033287
TEFFMX,22951.538666521767,64389.18302286734,6216.172390330013,4111506,0.0,-24.2814380199,-51.62536633033287
TSUM1,609165.5025129961,1521921.6684962078,13528.987311028102,4111506,0.0,-24.2814380199,-51.62536633033287
TSUM2,898311.0368831353,1854800.2548393577,867331.6878855028,4111506,0.0,-24.2814380199,-51.62536633033287
TSUMEM,62348.30737854162,166786.78728149697,10155.711417870376,4111506,0.0,-24.2814380199,-51.62536633033287
