parameter,mu_star,sigma,mu
DVSEND,3776917.9739125054,5067589.655681071,3776917.9739125054
AMAXTB200,1915020.5142632772,3285295.5641726656,1915020.5142632772
TMPFTB035,1624655.4070419287,3140213.950349867,1624655.4070419287
AMAXTB082,1466422.311678558,2544706.0684061083,1466422.311678558
TMPFTB020,1431144.842822975,2424472.7349895644,1431144.842822975
SLATB100,1351130.0384615618,2671047.192525439,1351113.377858787
TDWI,1054086.3161448534,2676686.0885958583,1001647.0495790319
SPAN,1024995.1149106502,2238796.4596072813,1024142.1366063933
TSUM2,895157.703120271,1707498.2771236675,879068.2220275954
IDSL,872094.0623489517,3197742.2707762774,-828108.6889486143
CVO,852897.9043236101,1691281.7708917225,852897.9043236101
TSUM1,812035.3382930987,2004261.6942099682,440811.3772912656
SLATB000,630602.9464254172,1581171.1506139312,536104.6367919028
DLC,550003.619579727,2485214.5008554603,-494217.5011194488
RFSETB200,516277.2138962939,1012518.8691719209,-516277.2138962939
RMO,383742.1172766851,1018431.9242050525,-383742.1172766851
SLATB200,357614.1723811842,1194241.9686468823,357608.13546444464
RML,351118.5906830973,565027.6200054497,-351118.5906830973
TBASE,316700.2154622774,770369.5631356102,294230.1341911005
AMAXTB014,265834.6010480952,806504.8573630477,193810.9974348626
SLATB064,253353.9534649942,835584.4238965989,225221.39504215313
RMS,237662.3699050985,478305.18051585444,-237662.3699050985
RFSETB000,169610.4834109121,444033.4150937006,-169610.4834109121
CVL,162314.90731674305,345077.468840785,161117.64272734197
SLATB029,144748.38888954732,413632.1475460828,115170.58417129892
RMR,129038.64127370816,265088.81903173955,-129038.64127370816
RRI,74296.03000471056,333817.4881766604,73064.27796057597
SLATB021,71980.36542873016,181756.4925578639,46167.2884192758
CVS,68959.85312283435,159494.69768988882,68930.3146564105
TBASEM,53918.83485344843,129889.02330817618,-3485.4964750951167
IAIRDU,51867.24794111091,282553.7478178071,50289.0901785326
TSUMEM,49564.33583929902,136652.4679499712,-1171.5132647916985
RDI,45315.80404702326,229343.51750697155,39681.284092603346
TEFFMX,40700.60478019041,136408.5828734458,7667.633450525126
IOX,39712.81934931828,247792.5590829211,-38855.37745553178
AMAXTB000,38624.75923291738,111014.35540030517,23336.068098272455
RDMCR,34454.83619367282,229413.37874764967,33446.12313745062
DLO,24066.730899942366,120809.91983843072,-5459.555466063588
DEPNR,23795.42573049821,103848.09690012022,22468.137356683914
Q10,20251.34717153038,47366.600324756015,-12840.463161882672
CFET,19121.195977117204,117574.5467146371,-16284.536414133785
CVR,13100.8203822882,34070.11847159933,8970.462740262583
PERDL,7328.732114002918,34423.00403127496,-6087.043346829322
RGRLAI,6079.810757535326,44805.784469690705,2804.2842580231827
TMPFTB008,777.4711200302839,2714.0746583533232,494.65223406480675
DVSI,0.0,0.0,0.0
EFFTB000,0.0,0.0,0.0
EFFTB040,0.0,0.0,0.0
SLATB,0.0,0.0,0.0
TMPFTB000,0.0,0.0,0.0
TMPFTB045,0.0,0.0,0.0
