parameter,mu_star,sigma,mu,point_id,cluster_id,latitude,longitude
AMAXTB000,69287.08007922539,286800.20972125535,17862.52682011663,4103602,0.0,-22.9925195365,-50.08358589658736
AMAXTB014,262389.3984797756,683606.2160932972,203620.31288231272,4103602,0.0,-22.9925195365,-50.08358589658736
AMAXTB082,1963507.0837514573,3808411.6568409447,1963507.0837514573,4103602,0.0,-22.9925195365,-50.08358589658736
AMAXTB200,1868207.7764739222,3386904.5446295016,1868207.7764739222,4103602,0.0,-22.9925195365,-50.08358589658736
TMPFTB000,0.0,0.0,0.0,4103602,0.0,-22.9925195365,-50.08358589658736
TMPFTB008,0.0,0.0,0.0,4103602,0.0,-22.9925195365,-50.08358589658736
TMPFTB020,1219576.3882094396,1969472.911303685,1219576.3882094396,4103602,0.0,-22.9925195365,-50.08358589658736
TMPFTB035,1912371.4471628875,3416031.0048344876,1912371.4471628875,4103602,0.0,-22.9925195365,-50.08358589658736
TMPFTB045,0.0,0.0,0.0,4103602,0.0,-22.9925195365,-50.08358589658736
EFFTB000,0.0,0.0,0.0,4103602,0.0,-22.9925195365,-50.08358589658736
EFFTB040,0.0,0.0,0.0,4103602,0.0,-22.9925195365,-50.08358589658736
SLATB000,309844.3274905379,794594.0000640171,262243.08192103414,4103602,0.0,-22.9925195365,-50.08358589658736
SLATB021,70525.02355051394,274339.1126833056,44482.49369083598,4103602,0.0,-22.9925195365,-50.08358589658736
SLATB029,129213.36856681235,487842.26873344707,110049.33329251874,4103602,0.0,-22.9925195365,-50.08358589658736
SLATB064,298162.2060717058,979557.5495666367,280152.6101073901,4103602,0.0,-22.9925195365,-50.08358589658736
SLATB100,1313867.6406214214,2573788.9033388067,1313430.979945061,4103602,0.0,-22.9925195365,-50.08358589658736
SLATB200,276809.17701461515,686037.9392170332,276809.17701461515,4103602,0.0,-22.9925195365,-50.08358589658736
RFSETB000,179815.81919848683,407104.0403251226,-179815.81919848683,4103602,0.0,-22.9925195365,-50.08358589658736
RFSETB200,576647.1726652863,1367592.480094275,-576647.1726652863,4103602,0.0,-22.9925195365,-50.08358589658736
CFET,36487.217835707364,320220.6385487217,-35494.65880114917,4103602,0.0,-22.9925195365,-50.08358589658736
CVL,121459.98149687485,212007.0276148906,118890.15515505934,4103602,0.0,-22.9925195365,-50.08358589658736
CVO,763891.9194461866,1561947.4115711888,763891.9194461866,4103602,0.0,-22.9925195365,-50.08358589658736
CVR,33244.8944917376,109136.30020930184,30768.684842121987,4103602,0.0,-22.9925195365,-50.08358589658736
CVS,58936.992405276535,121715.08755993523,58936.992405276535,4103602,0.0,-22.9925195365,-50.08358589658736
DEPNR,2490.9252743614315,14294.249430010424,2490.8223068738416,4103602,0.0,-22.9925195365,-50.08358589658736
DLC,577798.950809836,2333221.9870409095,-577798.950809836,4103602,0.0,-22.9925195365,-50.08358589658736
DLO,26543.665210505038,141914.82609081123,-4567.592195868425,4103602,0.0,-22.9925195365,-50.08358589658736
DVSEND,3218234.1717188363,4751941.9124259865,3218234.1717188363,4103602,0.0,-22.9925195365,-50.08358589658736
DVSI,0.0,0.0,0.0,4103602,0.0,-22.9925195365,-50.08358589658736
IAIRDU,57819.037161802335,415711.89413947053,57819.037161802335,4103602,0.0,-22.9925195365,-50.08358589658736
IDSL,1029541.7823325717,3086096.430117435,-942916.6846280056,4103602,0.0,-22.9925195365,-50.08358589658736
IOX,6367.078609642284,34179.22491554756,-5856.483199647968,4103602,0.0,-22.9925195365,-50.08358589658736
PERDL,1089.6828029705136,6193.601330674762,-566.7924032304035,4103602,0.0,-22.9925195365,-50.08358589658736
Q10,19997.675097013496,58396.56407611153,-19847.756116562272,4103602,0.0,-22.9925195365,-50.08358589658736
RDMCR,3869.8009248543285,31729.962828683383,3869.8009248543285,4103602,0.0,-22.9925195365,-50.08358589658736
RDI,34860.009074817666,211371.1579076587,2306.2076551434784,4103602,0.0,-22.9925195365,-50.08358589658736
RGRLAI,37903.252775502784,372000.4241883445,37301.00617713109,4103602,0.0,-22.9925195365,-50.08358589658736
RML,327986.69876803155,653585.4221498083,-327986.69876803155,4103602,0.0,-22.9925195365,-50.08358589658736
RMO,452965.9151632555,1387610.7853378966,-452965.9151632555,4103602,0.0,-22.9925195365,-50.08358589658736
RMR,84123.72253332798,134212.14426881896,-84123.72253332798,4103602,0.0,-22.9925195365,-50.08358589658736
RMS,168839.02712304654,319375.69725848414,-168839.02712304654,4103602,0.0,-22.9925195365,-50.08358589658736
RRI,35515.95404099747,163722.8819063074,35303.71352992337,4103602,0.0,-22.9925195365,-50.08358589658736
SLATB,0.0,0.0,0.0,4103602,0.0,-22.9925195365,-50.08358589658736
SPAN,1047679.8459609367,2133733.5890776953,1047137.2247624465,4103602,0.0,-22.9925195365,-50.08358589658736
TBASE,168919.4670271329,485178.58685051074,145571.6620526486,4103602,0.0,-22.9925195365,-50.08358589658736
TBASEM,53661.539246418055,128268.89657192555,15587.486658659558,4103602,0.0,-22.9925195365,-50.08358589658736
TDWI,1262074.7258346812,3602107.2527109953,1221952.967955599,4103602,0.0,-22.9925195365,-50.08358589658736
TEFFMX,40734.8915095053,91870.29201998634,-17987.98026596137,4103602,0.0,-22.9925195365,-50.08358589658736
TSUM1,621105.2719748733,1530297.1522335443,63671.46440872187,4103602,0.0,-22.9925195365,-50.08358589658736
TSUM2,1284768.508462507,2652866.1782947592,1230191.8728867874,4103602,0.0,-22.9925195365,-50.08358589658736
TSUMEM,34492.12005290016,83182.48643211387,9932.824613985924,4103602,0.0,-22.9925195365,-50.08358589658736
