parameter,mu_star,sigma,mu,point_id,cluster_id,latitude,longitude
AMAXTB000,151943.8331492182,901140.4413111685,93540.75972156269,4108403,1.0,-26.06813779505,-53.10315001176965
AMAXTB014,246791.45568678918,608620.7075703746,171291.71517429527,4108403,1.0,-26.06813779505,-53.10315001176965
AMAXTB082,2073271.46714378,4020820.5977733275,2073271.46714378,4108403,1.0,-26.06813779505,-53.10315001176965
AMAXTB200,2513313.130927295,3847917.486519446,2513313.130927295,4108403,1.0,-26.06813779505,-53.10315001176965
TMPFTB000,0.0,0.0,0.0,4108403,1.0,-26.06813779505,-53.10315001176965
TMPFTB008,8037.2024053387295,23844.92902314588,6705.097305471985,4108403,1.0,-26.06813779505,-53.10315001176965
TMPFTB020,2024046.8944398018,3033876.092043415,2024046.8944398018,4108403,1.0,-26.06813779505,-53.10315001176965
TMPFTB035,1726972.183350005,2902180.2858597315,1726972.183350005,4108403,1.0,-26.06813779505,-53.10315001176965
TMPFTB045,0.0,0.0,0.0,4108403,1.0,-26.06813779505,-53.10315001176965
EFFTB000,0.0,0.0,0.0,4108403,1.0,-26.06813779505,-53.10315001176965
EFFTB040,0.0,0.0,0.0,4108403,1.0,-26.06813779505,-53.10315001176965
SLATB000,324991.1461935021,754017.1715934728,266982.29279702075,4108403,1.0,-26.06813779505,-53.10315001176965
SLATB021,67797.85240457115,256444.4352808103,41237.139820666824,4108403,1.0,-26.06813779505,-53.10315001176965
SLATB029,263823.36943774665,1532880.5240530903,246860.61374528694,4108403,1.0,-26.06813779505,-53.10315001176965
SLATB064,280618.1659697059,814043.6158122607,250242.61862716745,4108403,1.0,-26.06813779505,-53.10315001176965
SLATB100,1330233.3424684675,2510380.4101048154,1329187.269191649,4108403,1.0,-26.06813779505,-53.10315001176965
SLATB200,356073.30569765455,864751.1317067958,356073.30569765455,4108403,1.0,-26.06813779505,-53.10315001176965
RFSETB000,165286.4069119019,357775.1956556497,-165286.4069119019,4108403,1.0,-26.06813779505,-53.10315001176965
RFSETB200,684060.4065922737,1394072.717584738,-684060.4065922737,4108403,1.0,-26.06813779505,-53.10315001176965
CFET,29368.186370351807,200276.40267312332,-26657.368818903098,4108403,1.0,-26.06813779505,-53.10315001176965
CVL,144459.93377752687,302290.48316015897,135438.4350741653,4108403,1.0,-26.06813779505,-53.10315001176965
CVO,1032838.2724050995,1868754.5178436448,1032838.2724050995,4108403,1.0,-26.06813779505,-53.10315001176965
CVR,30664.68587509865,104790.5287476258,27572.383483990227,4108403,1.0,-26.06813779505,-53.10315001176965
CVS,58389.75150465174,90612.92656386412,58389.75150465174,4108403,1.0,-26.06813779505,-53.10315001176965
DEPNR,18516.288471365086,91052.06752362585,18489.58322043427,4108403,1.0,-26.06813779505,-53.10315001176965
DLC,315654.6033611283,1533328.2860484198,-313728.4909562295,4108403,1.0,-26.06813779505,-53.10315001176965
DLO,178061.59192789896,1118138.1643749962,-150132.68704753745,4108403,1.0,-26.06813779505,-53.10315001176965
DVSEND,3951675.8661015956,5313924.309146396,3951675.8661015956,4108403,1.0,-26.06813779505,-53.10315001176965
DVSI,0.0,0.0,0.0,4108403,1.0,-26.06813779505,-53.10315001176965
IAIRDU,34251.328298156994,147583.51958637653,33810.702648256534,4108403,1.0,-26.06813779505,-53.10315001176965
IDSL,951963.3175833763,3163066.226284598,-812254.6296737837,4108403,1.0,-26.06813779505,-53.10315001176965
IOX,6268.610290644341,46910.38185741431,-6268.610290644341,4108403,1.0,-26.06813779505,-53.10315001176965
PERDL,4219.871662716946,23385.267734973146,-4191.340179403937,4108403,1.0,-26.06813779505,-53.10315001176965
Q10,24146.486487510745,46019.10181235341,23960.51850580861,4108403,1.0,-26.06813779505,-53.10315001176965
RDMCR,39822.93274888344,215404.39097528634,39822.93274888344,4108403,1.0,-26.06813779505,-53.10315001176965
RDI,36187.204358646246,184433.8299709605,18028.99619046705,4108403,1.0,-26.06813779505,-53.10315001176965
RGRLAI,80731.1438250074,801898.8773749152,79830.44664697666,4108403,1.0,-26.06813779505,-53.10315001176965
RML,377848.1187391842,712710.8914698754,-377848.1187391842,4108403,1.0,-26.06813779505,-53.10315001176965
RMO,547059.856060031,1717752.3517938452,-547059.856060031,4108403,1.0,-26.06813779505,-53.10315001176965
RMR,150861.977266303,399251.8721776407,-150861.977266303,4108403,1.0,-26.06813779505,-53.10315001176965
RMS,254109.6347590855,458061.3844098998,-254109.6347590855,4108403,1.0,-26.06813779505,-53.10315001176965
RRI,86095.4612438607,301274.8887949014,86095.4612438607,4108403,1.0,-26.06813779505,-53.10315001176965
SLATB,0.0,0.0,0.0,4108403,1.0,-26.06813779505,-53.10315001176965
SPAN,1398475.335332896,2612337.8991059638,1397034.7172103552,4108403,1.0,-26.06813779505,-53.10315001176965
TBASE,301061.97706797096,839589.3996745651,272538.38630009873,4108403,1.0,-26.06813779505,-53.10315001176965
TBASEM,73095.75991821678,157626.87527738418,-15292.359440921471,4108403,1.0,-26.06813779505,-53.10315001176965
TDWI,1284232.52087713,3506894.5414527897,1174610.1437829756,4108403,1.0,-26.06813779505,-53.10315001176965
TEFFMX,28130.5312090398,78244.16240756332,8088.224198724971,4108403,1.0,-26.06813779505,-53.10315001176965
TSUM1,792780.5187104662,2067340.4582714117,-56420.84181899956,4108403,1.0,-26.06813779505,-53.10315001176965
TSUM2,1593487.1731074012,3658704.9671177072,1561351.0759938667,4108403,1.0,-26.06813779505,-53.10315001176965
TSUMEM,40591.94988508806,90018.85368946979,-14863.065702330721,4108403,1.0,-26.06813779505,-53.10315001176965
