parameter,mu_star,sigma,mu,point_id,cluster_id,latitude,longitude
AMAXTB000,66780.69137828256,319530.9579551592,43008.978265583195,4110805,0.0,-24.3580555228,-52.07997695866218
AMAXTB014,188515.10275248476,426576.9137855293,151632.3334980016,4110805,0.0,-24.3580555228,-52.07997695866218
AMAXTB082,1219639.903972973,1892383.8962224163,1217590.294696046,4110805,0.0,-24.3580555228,-52.07997695866218
AMAXTB200,1304800.6196764195,2502924.890257214,1304800.6196764195,4110805,0.0,-24.3580555228,-52.07997695866218
TMPFTB000,0.0,0.0,0.0,4110805,0.0,-24.3580555228,-52.07997695866218
TMPFTB008,1695.4642362081868,6514.553882127833,1372.84146923882,4110805,0.0,-24.3580555228,-52.07997695866218
TMPFTB020,1207537.8669709582,2124617.529489425,1207537.8669709582,4110805,0.0,-24.3580555228,-52.07997695866218
TMPFTB035,1987240.5995356834,3913702.39130963,1987240.5995356834,4110805,0.0,-24.3580555228,-52.07997695866218
TMPFTB045,0.0,0.0,0.0,4110805,0.0,-24.3580555228,-52.07997695866218
EFFTB000,0.0,0.0,0.0,4110805,0.0,-24.3580555228,-52.07997695866218
EFFTB040,0.0,0.0,0.0,4110805,0.0,-24.3580555228,-52.07997695866218
SLATB000,494282.56734725623,1208206.059514203,420055.09056558344,4110805,0.0,-24.3580555228,-52.07997695866218
SLATB021,74649.87715899914,242693.49614991882,44437.08600682498,4110805,0.0,-24.3580555228,-52.07997695866218
SLATB029,112396.05442808756,313179.1942120984,99427.03954087244,4110805,0.0,-24.3580555228,-52.07997695866218
SLATB064,254263.79149676708,767489.7443509463,244615.72522709874,4110805,0.0,-24.3580555228,-52.07997695866218
SLATB100,903779.9903155155,1903010.8552697876,903779.9903155155,4110805,0.0,-24.3580555228,-52.07997695866218
SLATB200,283546.6207801788,600107.3827989182,283546.6207801788,4110805,0.0,-24.3580555228,-52.07997695866218
RFSETB000,147215.70672263528,320882.78242442803,-147215.70672263528,4110805,0.0,-24.3580555228,-52.07997695866218
RFSETB200,562351.3258301177,1290940.6450165622,-562351.3258301177,4110805,0.0,-24.3580555228,-52.07997695866218
CFET,23009.803236809577,123747.3699444252,-22930.545931908695,4110805,0.0,-24.3580555228,-52.07997695866218
CVL,138078.3389346834,436484.70150644035,138078.3389346834,4110805,0.0,-24.3580555228,-52.07997695866218
CVO,801993.0259882146,1667088.944372008,801993.0259882146,4110805,0.0,-24.3580555228,-52.07997695866218
CVR,14066.051694487087,42010.14348372604,11074.382035443303,4110805,0.0,-24.3580555228,-52.07997695866218
CVS,37531.44011886003,67280.32228747905,37531.44011886003,4110805,0.0,-24.3580555228,-52.07997695866218
DEPNR,22753.454918480184,101049.08537279861,22741.91285078284,4110805,0.0,-24.3580555228,-52.07997695866218
DLC,313529.93635596056,1675336.5516569049,-313124.60476271895,4110805,0.0,-24.3580555228,-52.07997695866218
DLO,89337.78746044572,548005.0606286481,65549.58246435638,4110805,0.0,-24.3580555228,-52.07997695866218
DVSEND,3570331.348334803,5211642.9626261415,3570331.348334803,4110805,0.0,-24.3580555228,-52.07997695866218
DVSI,0.0,0.0,0.0,4110805,0.0,-24.3580555228,-52.07997695866218
IAIRDU,11768.701301012337,71041.23663435943,11033.538139346387,4110805,0.0,-24.3580555228,-52.07997695866218
IDSL,276343.04153347865,1429164.813973805,-263625.4887046579,4110805,0.0,-24.3580555228,-52.07997695866218
IOX,18260.020458557923,104125.62864727667,-18030.996235937524,4110805,0.0,-24.3580555228,-52.07997695866218
PERDL,48275.70225158167,463565.3960189109,-47782.37596548383,4110805,0.0,-24.3580555228,-52.07997695866218
Q10,7682.74335055588,23108.967130338388,-6516.353187773335,4110805,0.0,-24.3580555228,-52.07997695866218
RDMCR,755.1927965150192,6126.776896479225,755.1927965150192,4110805,0.0,-24.3580555228,-52.07997695866218
RDI,63366.891771615396,300176.2314814701,25475.91096562214,4110805,0.0,-24.3580555228,-52.07997695866218
RGRLAI,47628.37807388568,228413.02888691903,44666.36193459449,4110805,0.0,-24.3580555228,-52.07997695866218
RML,305453.93385303696,474824.0328998727,-305453.93385303696,4110805,0.0,-24.3580555228,-52.07997695866218
RMO,199222.02853576225,501203.2413134566,-199222.02853576225,4110805,0.0,-24.3580555228,-52.07997695866218
RMR,69702.08280452731,150603.64118027303,-69702.08280452731,4110805,0.0,-24.3580555228,-52.07997695866218
RMS,157545.5651578281,320069.0887190772,-157545.5651578281,4110805,0.0,-24.3580555228,-52.07997695866218
RRI,42045.933803374755,183411.0934000284,41400.83040025399,4110805,0.0,-24.3580555228,-52.07997695866218
SLATB,0.0,0.0,0.0,4110805,0.0,-24.3580555228,-52.07997695866218
SPAN,883479.3070940961,2258108.1264023543,883111.4723922934,4110805,0.0,-24.3580555228,-52.07997695866218
TBASE,203221.82048948717,826180.0115408158,46840.13471125103,4110805,0.0,-24.3580555228,-52.07997695866218
TBASEM,35026.93034000169,99577.96380920902,3659.6642800261416,4110805,0.0,-24.3580555228,-52.07997695866218
TDWI,1223082.742021693,2798890.8758485373,1119075.8288290265,4110805,0.0,-24.3580555228,-52.07997695866218
TEFFMX,32256.845389605354,83540.87533718048,-8657.001902857088,4110805,0.0,-24.3580555228,-52.07997695866218
TSUM1,816381.5614395954,1776861.2732596542,97129.91136355637,4110805,0.0,-24.3580555228,-52.07997695866218
TSUM2,897324.7751355069,1916665.4389155337,885552.6777540297,4110805,0.0,-24.3580555228,-52.07997695866218
TSUMEM,52655.33136375621,156566.39007932268,792.1990720496839,4110805,0.0,-24.3580555228,-52.07997695866218
