parameter,mu_star,sigma,mu,point_id,cluster_id,latitude,longitude
AMAXTB000,44198.314679978525,107559.63815758216,33574.29372207161,4105607,0.0,-23.37272775075,-52.94737627301565
AMAXTB014,271065.9374255462,838209.1806758759,235657.17437653174,4105607,0.0,-23.37272775075,-52.94737627301565
AMAXTB082,1277972.8836637025,2457651.5568284956,1277972.8836637025,4105607,0.0,-23.37272775075,-52.94737627301565
AMAXTB200,1709942.4299812424,3554448.6807699082,1709942.4299812424,4105607,0.0,-23.37272775075,-52.94737627301565
TMPFTB000,0.0,0.0,0.0,4105607,0.0,-23.37272775075,-52.94737627301565
TMPFTB008,926.3542520448394,4649.787291920558,833.7142256704058,4105607,0.0,-23.37272775075,-52.94737627301565
TMPFTB020,1137165.4896980077,2184837.064539603,1137165.4896980077,4105607,0.0,-23.37272775075,-52.94737627301565
TMPFTB035,1988736.027262737,4160417.041324452,1988736.027262737,4105607,0.0,-23.37272775075,-52.94737627301565
TMPFTB045,0.0,0.0,0.0,4105607,0.0,-23.37272775075,-52.94737627301565
EFFTB000,0.0,0.0,0.0,4105607,0.0,-23.37272775075,-52.94737627301565
EFFTB040,0.0,0.0,0.0,4105607,0.0,-23.37272775075,-52.94737627301565
SLATB000,583512.119220894,1365308.6336719394,509037.9223019669,4105607,0.0,-23.37272775075,-52.94737627301565
SLATB021,50986.16892096997,161892.20618634543,37639.61778849153,4105607,0.0,-23.37272775075,-52.94737627301565
SLATB029,147596.11118786185,424697.5239481839,119495.79295462291,4105607,0.0,-23.37272775075,-52.94737627301565
SLATB064,278746.0101095234,578165.9636000006,252508.00057210636,4105607,0.0,-23.37272775075,-52.94737627301565
SLATB100,1089996.2462361548,1792175.0275548925,1089996.2462361548,4105607,0.0,-23.37272775075,-52.94737627301565
SLATB200,324219.68115271995,1160950.914798729,324184.24503900367,4105607,0.0,-23.37272775075,-52.94737627301565
RFSETB000,236200.54020134202,1066423.80207553,-236200.54020134202,4105607,0.0,-23.37272775075,-52.94737627301565
RFSETB200,569350.8044117222,1106371.1167465376,-569350.8044117222,4105607,0.0,-23.37272775075,-52.94737627301565
CFET,64420.50831749614,416152.5874911016,-63129.10402400082,4105607,0.0,-23.37272775075,-52.94737627301565
CVL,179565.9749982192,352916.78127037536,177404.0148948402,4105607,0.0,-23.37272775075,-52.94737627301565
CVO,755695.6021162388,1798290.5933746935,755695.6021162388,4105607,0.0,-23.37272775075,-52.94737627301565
CVR,17660.33023118093,39199.89067959798,8918.9141874812,4105607,0.0,-23.37272775075,-52.94737627301565
CVS,42645.61987737906,95676.49159542166,42645.61987737906,4105607,0.0,-23.37272775075,-52.94737627301565
DEPNR,58789.42015606394,237508.53093298603,58789.42015606394,4105607,0.0,-23.37272775075,-52.94737627301565
DLC,298600.7204670787,1507221.1789009192,-298600.7204670787,4105607,0.0,-23.37272775075,-52.94737627301565
DLO,6178.742896688208,42197.46421567506,-6178.742896688208,4105607,0.0,-23.37272775075,-52.94737627301565
DVSEND,3389788.1856132406,5076406.660442623,3389788.1856132406,4105607,0.0,-23.37272775075,-52.94737627301565
DVSI,0.0,0.0,0.0,4105607,0.0,-23.37272775075,-52.94737627301565
IAIRDU,12225.99740594277,75908.50056076038,12000.845749150545,4105607,0.0,-23.37272775075,-52.94737627301565
IDSL,738581.2577844503,2669274.478180318,-660792.2351480522,4105607,0.0,-23.37272775075,-52.94737627301565
IOX,28085.26121089421,160869.04859509284,-28085.26121089421,4105607,0.0,-23.37272775075,-52.94737627301565
PERDL,5707.911034888146,23481.046587086927,-5707.911034888146,4105607,0.0,-23.37272775075,-52.94737627301565
Q10,21113.256976403296,56089.90249165657,-21081.74464276134,4105607,0.0,-23.37272775075,-52.94737627301565
RDMCR,7786.486855501759,62295.763736224304,7786.486855501759,4105607,0.0,-23.37272775075,-52.94737627301565
RDI,80241.12665906637,429547.599389197,74337.37051145248,4105607,0.0,-23.37272775075,-52.94737627301565
RGRLAI,909.3178621868547,6584.311669855677,-416.69582948755107,4105607,0.0,-23.37272775075,-52.94737627301565
RML,371948.4741718351,615885.6401319564,-371948.4741718351,4105607,0.0,-23.37272775075,-52.94737627301565
RMO,237601.84850267842,671722.0283432589,-237601.84850267842,4105607,0.0,-23.37272775075,-52.94737627301565
RMR,171540.5769738176,459737.05401381425,-171540.5769738176,4105607,0.0,-23.37272775075,-52.94737627301565
RMS,256266.36225364622,508276.15141938755,-256266.36225364622,4105607,0.0,-23.37272775075,-52.94737627301565
RRI,144816.47577070055,580347.6257806128,144816.47577070055,4105607,0.0,-23.37272775075,-52.94737627301565
SLATB,0.0,0.0,0.0,4105607,0.0,-23.37272775075,-52.94737627301565
SPAN,613374.6629341823,1400315.7447227691,612227.6653526395,4105607,0.0,-23.37272775075,-52.94737627301565
TBASE,205495.26165227575,615357.7373833983,203957.78573862556,4105607,0.0,-23.37272775075,-52.94737627301565
TBASEM,50845.307332658245,110590.51316451082,700.5131911698088,4105607,0.0,-23.37272775075,-52.94737627301565
TDWI,1044477.3163294605,2568460.7612476693,1014447.7968408219,4105607,0.0,-23.37272775075,-52.94737627301565
TEFFMX,26006.87509604345,84393.01190556269,4877.787293269322,4105607,0.0,-23.37272775075,-52.94737627301565
TSUM1,460842.34106686944,1057661.6560486087,221813.76006834692,4105607,0.0,-23.37272775075,-52.94737627301565
TSUM2,799722.1017841276,1667832.7263875634,786781.2691076791,4105607,0.0,-23.37272775075,-52.94737627301565
TSUMEM,48426.64356058305,129677.58239395772,-9010.709055002537,4105607,0.0,-23.37272775075,-52.94737627301565
