parameter,mu_star,sigma,mu,point_id,cluster_id,latitude,longitude
AMAXTB000,53113.1578737846,152686.43454708386,39859.81403689299,4113734,0.0,-24.3486052563,-52.30744009222715
AMAXTB014,306540.61424532457,869877.1736526119,258726.8334965525,4113734,0.0,-24.3486052563,-52.30744009222715
AMAXTB082,1402325.088414189,2665947.112540874,1402325.088414189,4113734,0.0,-24.3486052563,-52.30744009222715
AMAXTB200,1940312.383806877,3546394.4476967277,1940312.383806877,4113734,0.0,-24.3486052563,-52.30744009222715
TMPFTB000,0.0,0.0,0.0,4113734,0.0,-24.3486052563,-52.30744009222715
TMPFTB008,1669.1186783372896,7975.987964815796,1441.66500925156,4113734,0.0,-24.3486052563,-52.30744009222715
TMPFTB020,1802492.965705688,2873987.0095757083,1802492.965705688,4113734,0.0,-24.3486052563,-52.30744009222715
TMPFTB035,1693095.2171891534,3888868.992672695,1693095.2171891534,4113734,0.0,-24.3486052563,-52.30744009222715
TMPFTB045,0.0,0.0,0.0,4113734,0.0,-24.3486052563,-52.30744009222715
EFFTB000,0.0,0.0,0.0,4113734,0.0,-24.3486052563,-52.30744009222715
EFFTB040,0.0,0.0,0.0,4113734,0.0,-24.3486052563,-52.30744009222715
SLATB000,568165.3307960785,1341610.9215007809,479256.9039025395,4113734,0.0,-24.3486052563,-52.30744009222715
SLATB021,69402.22147045669,230801.99149536295,47804.184766429906,4113734,0.0,-24.3486052563,-52.30744009222715
SLATB029,153203.34416807766,445144.3169526094,114400.00557488408,4113734,0.0,-24.3486052563,-52.30744009222715
SLATB064,287910.4960917934,720548.6458942764,257587.13162101002,4113734,0.0,-24.3486052563,-52.30744009222715
SLATB100,1348871.1335132935,2442798.5304498766,1348871.1335132935,4113734,0.0,-24.3486052563,-52.30744009222715
SLATB200,332621.0134911768,1031524.7388142804,332606.3548700449,4113734,0.0,-24.3486052563,-52.30744009222715
RFSETB000,186311.5085977713,422046.21385273343,-186311.5085977713,4113734,0.0,-24.3486052563,-52.30744009222715
RFSETB200,640849.0100042797,1208942.2060710054,-640849.0100042797,4113734,0.0,-24.3486052563,-52.30744009222715
CFET,38941.411559614826,181120.46002022832,-38540.288166271566,4113734,0.0,-24.3486052563,-52.30744009222715
CVL,206492.73875257478,433658.99074084585,203042.63653598446,4113734,0.0,-24.3486052563,-52.30744009222715
CVO,808740.9397670758,1841594.8562272103,808740.9397670758,4113734,0.0,-24.3486052563,-52.30744009222715
CVR,18238.13442692817,37778.91086907955,10514.52977185325,4113734,0.0,-24.3486052563,-52.30744009222715
CVS,51666.833670363274,115300.08505194352,51666.833670363274,4113734,0.0,-24.3486052563,-52.30744009222715
DEPNR,47201.73416143397,194552.38178746015,46411.61125817342,4113734,0.0,-24.3486052563,-52.30744009222715
DLC,433473.3488514793,1996216.1019190934,-377357.3114281139,4113734,0.0,-24.3486052563,-52.30744009222715
DLO,10614.409928185598,69866.53597693666,-9063.419700270535,4113734,0.0,-24.3486052563,-52.30744009222715
DVSEND,3868581.323618823,5416729.411556102,3868581.323618823,4113734,0.0,-24.3486052563,-52.30744009222715
DVSI,0.0,0.0,0.0,4113734,0.0,-24.3486052563,-52.30744009222715
IAIRDU,16827.66867468949,92912.12444181406,16110.223535740159,4113734,0.0,-24.3486052563,-52.30744009222715
IDSL,814249.8663523355,2913908.9729423844,-711897.2332501205,4113734,0.0,-24.3486052563,-52.30744009222715
IOX,33356.58083173877,199548.97945922374,-33356.58083173877,4113734,0.0,-24.3486052563,-52.30744009222715
PERDL,5534.010003443363,21631.413858141543,-5534.010003443363,4113734,0.0,-24.3486052563,-52.30744009222715
Q10,14811.417221274194,41079.811890350946,10834.364803108023,4113734,0.0,-24.3486052563,-52.30744009222715
RDMCR,5229.196382956237,34081.93026176788,5229.196382956237,4113734,0.0,-24.3486052563,-52.30744009222715
RDI,93656.6288068052,445682.5852850705,87506.39775928516,4113734,0.0,-24.3486052563,-52.30744009222715
RGRLAI,1525.618685599775,9744.863456958323,9.7267128325066,4113734,0.0,-24.3486052563,-52.30744009222715
RML,454269.46179828385,743252.3295039551,-454269.46179828385,4113734,0.0,-24.3486052563,-52.30744009222715
RMO,276902.3960445716,747744.0754510899,-276902.3960445716,4113734,0.0,-24.3486052563,-52.30744009222715
RMR,219420.40253489252,599692.4844485407,-219420.40253489252,4113734,0.0,-24.3486052563,-52.30744009222715
RMS,293280.47374163516,578834.3600212857,-293280.47374163516,4113734,0.0,-24.3486052563,-52.30744009222715
RRI,131011.87175138648,485301.24722437066,129349.49246434442,4113734,0.0,-24.3486052563,-52.30744009222715
SLATB,0.0,0.0,0.0,4113734,0.0,-24.3486052563,-52.30744009222715
SPAN,657524.6018194198,1420974.931830972,656354.599141488,4113734,0.0,-24.3486052563,-52.30744009222715
TBASE,315927.754744796,912981.380329764,314068.2029762547,4113734,0.0,-24.3486052563,-52.30744009222715
TBASEM,83759.85846749374,196739.72261246908,-9659.945444689234,4113734,0.0,-24.3486052563,-52.30744009222715
TDWI,981067.2430128938,2468872.4787558764,917778.3472600911,4113734,0.0,-24.3486052563,-52.30744009222715
TEFFMX,17918.863673361586,48628.07398108464,3991.278535160219,4113734,0.0,-24.3486052563,-52.30744009222715
TSUM1,681464.8272320065,1572378.837117391,-118629.94150756432,4113734,0.0,-24.3486052563,-52.30744009222715
TSUM2,856943.3766952334,1815689.3225578119,827661.1732517426,4113734,0.0,-24.3486052563,-52.30744009222715
TSUMEM,63811.04607966765,156933.09922573794,-10195.3467517573,4113734,0.0,-24.3486052563,-52.30744009222715
