parameter,mu_star,sigma,mu,point_id,cluster_id,latitude,longitude
AMAXTB000,44224.086682199566,109047.5622640185,33643.374720500164,4109104,0.0,-23.3316645876,-52.81234078297562
AMAXTB014,271857.20669612504,837121.094491149,234552.96926133306,4109104,0.0,-23.3316645876,-52.81234078297562
AMAXTB082,1297271.7899871871,2571434.982457965,1297271.7899871871,4109104,0.0,-23.3316645876,-52.81234078297562
AMAXTB200,1725062.6749524986,3574026.2296847813,1725062.6749524986,4109104,0.0,-23.3316645876,-52.81234078297562
TMPFTB000,0.0,0.0,0.0,4109104,0.0,-23.3316645876,-52.81234078297562
TMPFTB008,877.1222973169165,4522.271240478777,787.8429633236991,4109104,0.0,-23.3316645876,-52.81234078297562
TMPFTB020,1158622.010735456,2216365.8792462545,1158622.010735456,4109104,0.0,-23.3316645876,-52.81234078297562
TMPFTB035,2012698.7837461946,4248320.992664829,2012698.7837461946,4109104,0.0,-23.3316645876,-52.81234078297562
TMPFTB045,0.0,0.0,0.0,4109104,0.0,-23.3316645876,-52.81234078297562
EFFTB000,0.0,0.0,0.0,4109104,0.0,-23.3316645876,-52.81234078297562
EFFTB040,0.0,0.0,0.0,4109104,0.0,-23.3316645876,-52.81234078297562
SLATB000,583340.7307824069,1359702.7823791727,508278.3426659001,4109104,0.0,-23.3316645876,-52.81234078297562
SLATB021,50544.18549705959,162254.3161979215,37767.78162084087,4109104,0.0,-23.3316645876,-52.81234078297562
SLATB029,149320.64434244102,435201.63043557573,120880.38657069117,4109104,0.0,-23.3316645876,-52.81234078297562
SLATB064,283236.2277217693,586684.2594028326,256474.75399396772,4109104,0.0,-23.3316645876,-52.81234078297562
SLATB100,1091450.6039812637,1791878.6101643546,1091450.6039812637,4109104,0.0,-23.3316645876,-52.81234078297562
SLATB200,329054.03025751223,1171034.1528142681,329014.76946154004,4109104,0.0,-23.3316645876,-52.81234078297562
RFSETB000,235502.25731042377,1063720.8445497232,-235502.25731042377,4109104,0.0,-23.3316645876,-52.81234078297562
RFSETB200,578354.4531290462,1131621.5399631627,-578354.4531290462,4109104,0.0,-23.3316645876,-52.81234078297562
CFET,58965.070541876645,372799.49758284,-57651.19261401517,4109104,0.0,-23.3316645876,-52.81234078297562
CVL,183680.91502146042,372466.91196585394,180904.80541116238,4109104,0.0,-23.3316645876,-52.81234078297562
CVO,765962.2294429704,1811513.9602330718,765962.2294429704,4109104,0.0,-23.3316645876,-52.81234078297562
CVR,16831.468437648557,34835.297203348164,9460.679781615536,4109104,0.0,-23.3316645876,-52.81234078297562
CVS,43024.28367903858,100455.26733498581,43024.28367903858,4109104,0.0,-23.3316645876,-52.81234078297562
DEPNR,50574.193692325025,201698.81941552652,50574.193692325025,4109104,0.0,-23.3316645876,-52.81234078297562
DLC,330388.0086657045,1767794.115496655,-330388.0086657045,4109104,0.0,-23.3316645876,-52.81234078297562
DLO,6526.607498739172,43549.924686844235,-6526.607498739172,4109104,0.0,-23.3316645876,-52.81234078297562
DVSEND,3417189.902483413,5109826.147462254,3417189.902483413,4109104,0.0,-23.3316645876,-52.81234078297562
DVSI,0.0,0.0,0.0,4109104,0.0,-23.3316645876,-52.81234078297562
IAIRDU,10796.391617248788,62810.2632264958,10742.77555127154,4109104,0.0,-23.3316645876,-52.81234078297562
IDSL,728777.1605491192,2657292.6231736937,-648300.5106075665,4109104,0.0,-23.3316645876,-52.81234078297562
IOX,37293.319662023205,232936.0626621797,-37293.319662023205,4109104,0.0,-23.3316645876,-52.81234078297562
PERDL,5324.290033848935,19283.543564984808,-5324.290033848935,4109104,0.0,-23.3316645876,-52.81234078297562
Q10,21860.19186186671,58780.44385299502,-21842.12773888443,4109104,0.0,-23.3316645876,-52.81234078297562
RDMCR,8223.643825488012,66907.59236544056,8223.643825488012,4109104,0.0,-23.3316645876,-52.81234078297562
RDI,75066.82341985716,351903.269591248,67507.1880484989,4109104,0.0,-23.3316645876,-52.81234078297562
RGRLAI,946.1943046775833,6955.420489630965,-461.0037850689376,4109104,0.0,-23.3316645876,-52.81234078297562
RML,373345.9001411887,619076.1283879358,-373345.9001411887,4109104,0.0,-23.3316645876,-52.81234078297562
RMO,239340.04557559115,672285.2940261608,-239340.04557559115,4109104,0.0,-23.3316645876,-52.81234078297562
RMR,172004.1883048593,460294.80422492174,-172004.1883048593,4109104,0.0,-23.3316645876,-52.81234078297562
RMS,260691.54566411843,522708.29207440664,-260691.54566411843,4109104,0.0,-23.3316645876,-52.81234078297562
RRI,118207.42889454101,440198.8576142334,118196.04850809976,4109104,0.0,-23.3316645876,-52.81234078297562
SLATB,0.0,0.0,0.0,4109104,0.0,-23.3316645876,-52.81234078297562
SPAN,627643.5323807343,1416596.601566927,626490.0397020965,4109104,0.0,-23.3316645876,-52.81234078297562
TBASE,212714.3770453901,625378.2598876857,211269.32330191557,4109104,0.0,-23.3316645876,-52.81234078297562
TBASEM,47309.737980385406,103783.70027505019,2673.1766310749376,4109104,0.0,-23.3316645876,-52.81234078297562
TDWI,1042823.7469161588,2568264.673167885,1013030.7274775746,4109104,0.0,-23.3316645876,-52.81234078297562
TEFFMX,30178.77331645119,104233.98303655417,4529.247548242156,4109104,0.0,-23.3316645876,-52.81234078297562
TSUM1,437947.6119811782,1006127.8935414752,266401.87694044714,4109104,0.0,-23.3316645876,-52.81234078297562
TSUM2,814968.543158428,1682674.2712577085,805056.8051789011,4109104,0.0,-23.3316645876,-52.81234078297562
TSUMEM,45434.50254729078,118685.87511984892,-11535.67605509702,4109104,0.0,-23.3316645876,-52.81234078297562
