parameter,mu_star,sigma,mu,point_id,cluster_id,latitude,longitude
AMAXTB000,155731.50333207884,748212.0218935752,88947.62121536768,4107124,3.0,-24.9990261664,-52.69879332345216
AMAXTB014,241927.54563745554,589786.5797126687,165942.3580700242,4107124,3.0,-24.9990261664,-52.69879332345216
AMAXTB082,1902094.1574769262,3609926.4964678534,1902094.1574769262,4107124,3.0,-24.9990261664,-52.69879332345216
AMAXTB200,1916773.644202063,3120852.402298488,1916773.644202063,4107124,3.0,-24.9990261664,-52.69879332345216
TMPFTB000,0.0,0.0,0.0,4107124,3.0,-24.9990261664,-52.69879332345216
TMPFTB008,1583.315100779952,4026.29119027861,1161.5502653181697,4107124,3.0,-24.9990261664,-52.69879332345216
TMPFTB020,1239788.0465176646,1955724.4827434744,1239788.0465176646,4107124,3.0,-24.9990261664,-52.69879332345216
TMPFTB035,1899490.258031711,3132679.3321609977,1899490.258031711,4107124,3.0,-24.9990261664,-52.69879332345216
TMPFTB045,0.0,0.0,0.0,4107124,3.0,-24.9990261664,-52.69879332345216
EFFTB000,0.0,0.0,0.0,4107124,3.0,-24.9990261664,-52.69879332345216
EFFTB040,0.0,0.0,0.0,4107124,3.0,-24.9990261664,-52.69879332345216
SLATB000,327793.68914408644,767106.8276614986,274390.9535653155,4107124,3.0,-24.9990261664,-52.69879332345216
SLATB021,74088.80089123895,304735.3484969815,49253.67815235421,4107124,3.0,-24.9990261664,-52.69879332345216
SLATB029,135973.1622950587,501159.05068434315,122379.02776190953,4107124,3.0,-24.9990261664,-52.69879332345216
SLATB064,296065.8695844166,1012500.7730387044,279085.4494505764,4107124,3.0,-24.9990261664,-52.69879332345216
SLATB100,1309038.4825326821,2495368.8707660604,1308984.5208252305,4107124,3.0,-24.9990261664,-52.69879332345216
SLATB200,297766.92572498834,673863.0560717211,297766.92572498834,4107124,3.0,-24.9990261664,-52.69879332345216
RFSETB000,179920.8180729401,376328.5844410853,-179920.8180729401,4107124,3.0,-24.9990261664,-52.69879332345216
RFSETB200,593880.515837329,1303465.275983137,-593880.515837329,4107124,3.0,-24.9990261664,-52.69879332345216
CFET,28696.010095925863,173088.78338401834,-26757.836317946938,4107124,3.0,-24.9990261664,-52.69879332345216
CVL,138781.1097348727,249010.33953433312,131635.52385044022,4107124,3.0,-24.9990261664,-52.69879332345216
CVO,768041.6698027396,1465081.1707611901,768041.6698027396,4107124,3.0,-24.9990261664,-52.69879332345216
CVR,33731.37502414356,101212.03402883811,31101.430635038236,4107124,3.0,-24.9990261664,-52.69879332345216
CVS,63952.76593445841,120529.69186940978,63628.220425636915,4107124,3.0,-24.9990261664,-52.69879332345216
DEPNR,9479.032417685792,47697.635711494644,9406.313466207292,4107124,3.0,-24.9990261664,-52.69879332345216
DLC,294093.64952847274,1271362.0586715753,-294093.64952847274,4107124,3.0,-24.9990261664,-52.69879332345216
DLO,138332.6904406883,897955.118585027,-113040.37507855326,4107124,3.0,-24.9990261664,-52.69879332345216
DVSEND,3149788.3514500535,4391033.413737794,3149788.3514500535,4107124,3.0,-24.9990261664,-52.69879332345216
DVSI,0.0,0.0,0.0,4107124,3.0,-24.9990261664,-52.69879332345216
IAIRDU,114601.5044446032,698694.6281335725,114349.82156326967,4107124,3.0,-24.9990261664,-52.69879332345216
IDSL,833369.2832331255,2732275.6436847304,-706675.3181958336,4107124,3.0,-24.9990261664,-52.69879332345216
IOX,13199.221087412458,83321.2581271565,-12689.637022845596,4107124,3.0,-24.9990261664,-52.69879332345216
PERDL,3435.2497648456974,19643.890298293023,-3184.469494114446,4107124,3.0,-24.9990261664,-52.69879332345216
Q10,14584.291873514965,44061.28590551194,-9792.638769743524,4107124,3.0,-24.9990261664,-52.69879332345216
RDMCR,12967.172574786335,107942.79524530987,12954.688266338748,4107124,3.0,-24.9990261664,-52.69879332345216
RDI,39045.52848283632,211237.14223839634,-12.88197493968415,4107124,3.0,-24.9990261664,-52.69879332345216
RGRLAI,24508.096131978105,237365.16734184074,24139.510251595122,4107124,3.0,-24.9990261664,-52.69879332345216
RML,365846.07300360216,665178.222385642,-365846.07300360216,4107124,3.0,-24.9990261664,-52.69879332345216
RMO,434182.8638310299,1316807.437437807,-434182.8638310299,4107124,3.0,-24.9990261664,-52.69879332345216
RMR,153948.84278389675,446413.0101360616,-153948.84278389675,4107124,3.0,-24.9990261664,-52.69879332345216
RMS,282617.339297521,841094.3482165018,-282617.339297521,4107124,3.0,-24.9990261664,-52.69879332345216
RRI,65758.06769422887,279369.4308629826,65506.49888136363,4107124,3.0,-24.9990261664,-52.69879332345216
SLATB,0.0,0.0,0.0,4107124,3.0,-24.9990261664,-52.69879332345216
SPAN,1163595.4745459484,2215377.8086752505,1163313.3777359726,4107124,3.0,-24.9990261664,-52.69879332345216
TBASE,188141.65933392622,523759.22396354825,165211.31883146576,4107124,3.0,-24.9990261664,-52.69879332345216
TBASEM,65191.22304694092,153019.1284001983,1832.1542494932207,4107124,3.0,-24.9990261664,-52.69879332345216
TDWI,1240377.1532349,3454840.9188766456,1154311.3612108876,4107124,3.0,-24.9990261664,-52.69879332345216
TEFFMX,34859.9243510346,148910.26382676355,-17510.347145969263,4107124,3.0,-24.9990261664,-52.69879332345216
TSUM1,523028.16825247335,1241576.6122640597,94052.68891897511,4107124,3.0,-24.9990261664,-52.69879332345216
TSUM2,1228571.9521050237,2574952.761400763,1189968.1158756753,4107124,3.0,-24.9990261664,-52.69879332345216
TSUMEM,55912.548000646755,184047.33015884017,15995.774592845619,4107124,3.0,-24.9990261664,-52.69879332345216
