parameter,mu_star,sigma,mu,point_id,cluster_id,latitude,longitude
AMAXTB000,48263.39681411926,125144.06494860431,22779.806509593,4103156,1.0,-26.15483093655,-53.54619179493906
AMAXTB014,292990.97265681415,891842.4251810495,211575.7397286931,4103156,1.0,-26.15483093655,-53.54619179493906
AMAXTB082,1463394.1130331066,2287476.007229325,1463394.1130331066,4103156,1.0,-26.15483093655,-53.54619179493906
AMAXTB200,2090276.9899708831,3298009.1867709407,2090276.9899708831,4103156,1.0,-26.15483093655,-53.54619179493906
TMPFTB000,0.0,0.0,0.0,4103156,1.0,-26.15483093655,-53.54619179493906
TMPFTB008,4243.968364462056,16119.952041415592,3223.229237833838,4103156,1.0,-26.15483093655,-53.54619179493906
TMPFTB020,1997333.2617627627,3286759.733825639,1997333.2617627627,4103156,1.0,-26.15483093655,-53.54619179493906
TMPFTB035,1358136.674262929,2657932.912659914,1358136.674262929,4103156,1.0,-26.15483093655,-53.54619179493906
TMPFTB045,0.0,0.0,0.0,4103156,1.0,-26.15483093655,-53.54619179493906
EFFTB000,0.0,0.0,0.0,4103156,1.0,-26.15483093655,-53.54619179493906
EFFTB040,0.0,0.0,0.0,4103156,1.0,-26.15483093655,-53.54619179493906
SLATB000,670175.4630608689,1688838.0111107184,601786.8994134158,4103156,1.0,-26.15483093655,-53.54619179493906
SLATB021,80689.04802970571,182019.05104616625,51711.45026766935,4103156,1.0,-26.15483093655,-53.54619179493906
SLATB029,132335.57182281432,363658.2909433866,103880.23433647888,4103156,1.0,-26.15483093655,-53.54619179493906
SLATB064,257124.72163553248,976866.0586758008,228019.58585980092,4103156,1.0,-26.15483093655,-53.54619179493906
SLATB100,1580587.8436074522,3155130.589308963,1580587.8436074522,4103156,1.0,-26.15483093655,-53.54619179493906
SLATB200,372716.5557716999,1184900.5657148303,372716.5557716999,4103156,1.0,-26.15483093655,-53.54619179493906
RFSETB000,196632.81679220582,503949.4984970933,-196632.81679220582,4103156,1.0,-26.15483093655,-53.54619179493906
RFSETB200,480662.53205473465,898793.8907844089,-480662.53205473465,4103156,1.0,-26.15483093655,-53.54619179493906
CFET,9638.138480341442,50856.36708778049,-4988.90881694364,4103156,1.0,-26.15483093655,-53.54619179493906
CVL,174788.82215773745,302735.76811637054,174788.82215773745,4103156,1.0,-26.15483093655,-53.54619179493906
CVO,1031155.4864728781,1864357.9943869233,1031155.4864728781,4103156,1.0,-26.15483093655,-53.54619179493906
CVR,11579.91782745865,25770.325942085954,8408.767467007223,4103156,1.0,-26.15483093655,-53.54619179493906
CVS,81885.69208581971,205741.00629926924,81885.69208581971,4103156,1.0,-26.15483093655,-53.54619179493906
DEPNR,14535.978329509246,57711.132007331486,14534.232539512483,4103156,1.0,-26.15483093655,-53.54619179493906
DLC,268502.80138541537,1308329.5839482588,-14053.708200757092,4103156,1.0,-26.15483093655,-53.54619179493906
DLO,19232.539406224325,84478.29027195154,-6309.450050365102,4103156,1.0,-26.15483093655,-53.54619179493906
DVSEND,4142842.1166389757,5251839.493832409,4142842.1166389757,4103156,1.0,-26.15483093655,-53.54619179493906
DVSI,0.0,0.0,0.0,4103156,1.0,-26.15483093655,-53.54619179493906
IAIRDU,107404.6476919742,452074.21978474804,107234.22486190207,4103156,1.0,-26.15483093655,-53.54619179493906
IDSL,732067.8038535833,2797467.834852284,-668968.8966782131,4103156,1.0,-26.15483093655,-53.54619179493906
IOX,107171.82286852713,560420.6915593982,-107171.82286852713,4103156,1.0,-26.15483093655,-53.54619179493906
PERDL,11199.466751714604,49010.2822007037,-10166.762971113472,4103156,1.0,-26.15483093655,-53.54619179493906
Q10,11785.60864329552,25262.15198995282,1804.0045771582868,4103156,1.0,-26.15483093655,-53.54619179493906
RDMCR,96614.23717336117,456995.669641751,96614.23717336117,4103156,1.0,-26.15483093655,-53.54619179493906
RDI,40152.502914701465,230339.20372475206,40119.20236978924,4103156,1.0,-26.15483093655,-53.54619179493906
RGRLAI,13616.292045479655,95118.5608971083,8200.669520467498,4103156,1.0,-26.15483093655,-53.54619179493906
RML,387447.84392420156,575788.5306172229,-387447.84392420156,4103156,1.0,-26.15483093655,-53.54619179493906
RMO,433881.9930837415,1065425.3508930302,-433881.9930837415,4103156,1.0,-26.15483093655,-53.54619179493906
RMR,129607.21395361934,224644.07560275457,-129607.21395361934,4103156,1.0,-26.15483093655,-53.54619179493906
RMS,252867.48380392249,497785.3511603687,-252867.48380392249,4103156,1.0,-26.15483093655,-53.54619179493906
RRI,98493.42153213073,399718.15607925144,98493.42153213073,4103156,1.0,-26.15483093655,-53.54619179493906
SLATB,0.0,0.0,0.0,4103156,1.0,-26.15483093655,-53.54619179493906
SPAN,1195254.4737123924,2601050.5651097707,1194597.2500490074,4103156,1.0,-26.15483093655,-53.54619179493906
TBASE,378339.76394315064,883495.3787841387,353985.7803504158,4103156,1.0,-26.15483093655,-53.54619179493906
TBASEM,60317.4182631436,137586.9421494755,-4354.87412303409,4103156,1.0,-26.15483093655,-53.54619179493906
TDWI,1073585.9269239553,2886384.473796886,998817.6926415769,4103156,1.0,-26.15483093655,-53.54619179493906
TEFFMX,35916.605172637406,160098.21480980155,14480.327071892785,4103156,1.0,-26.15483093655,-53.54619179493906
TSUM1,1052073.9169418947,2551399.926295786,639556.0379258366,4103156,1.0,-26.15483093655,-53.54619179493906
TSUM2,918697.0738710836,1552977.517277694,895706.9324219999,4103156,1.0,-26.15483093655,-53.54619179493906
TSUMEM,65421.2787006962,201142.97302574286,22632.581339821172,4103156,1.0,-26.15483093655,-53.54619179493906
