parameter,mu_star,sigma,mu
DVSEND,3996835.1120321183,5227055.701348463,3996835.1120321183
AMAXTB200,2240664.3935967013,3488471.2709538806,2240664.3935967013
TMPFTB020,1989332.9394172884,3092315.3753097723,1989332.9394172884
AMAXTB082,1802692.2698481819,3241270.1232593674,1802692.2698481819
TMPFTB035,1514742.6428514016,2681063.3434366407,1514742.6428514016
SLATB100,1407759.7612748183,2742506.7918112036,1407367.0936076036
SPAN,1309943.1725420007,2596552.01413527,1308691.959669832
TSUM2,1275723.1746192516,2676948.1835062588,1246979.6625867006
TDWI,1191590.6810385776,3264511.4793206933,1093627.7654841682
CVO,1012862.0527288269,1850784.6381460107,1012862.0527288269
TSUM1,871728.7983935166,2183949.2677772585,214011.07390590393
IDSL,854276.2350958046,2965935.777268008,-748560.4510067359
RFSETB200,592201.1559065531,1168008.9420422546,-592201.1559065531
RMO,497664.466673664,1413398.148232852,-497664.466673664
SLATB000,463690.28995322075,1132895.4366165122,393010.70902665274
RML,383119.01041677466,647939.9508237147,-383119.01041677466
SLATB200,355323.4521385384,986859.3447106156,355323.4521385384
TBASE,343349.7478565849,871117.3578390905,316861.8793570668
DLC,297674.358819965,1375582.5262001096,-200490.12975894386
SLATB064,287259.47180674673,932993.4636540653,258258.8614532305
RMS,274582.7530621852,617362.3073679974,-274582.7530621852
AMAXTB014,272265.5468342547,756490.2179327819,189734.379070966
SLATB029,208234.08957859254,1017508.5389897948,186477.84136609497
RFSETB000,181643.33925146933,424002.48621186236,-181643.33925146933
CVL,152026.34882589683,288467.1191888383,147062.31790853498
RMR,150719.74254597322,384229.36421506025,-150719.74254597322
DLO,108606.84343008357,657660.1511033108,-82603.25106411686
AMAXTB000,108322.38999217586,541400.236574233,62632.028417115864
RRI,108296.25164468946,411086.84112430713,107803.97930660637
SLATB021,74296.82037118087,232860.92395429974,46183.212326691726
CVS,70882.26037933599,148067.03301435662,70800.2604430581
TBASEM,67516.27077936819,151255.9698406173,-2741.5229322206696
IAIRDU,57053.29822033827,344624.95819936664,55561.41947479811
TSUMEM,52012.5432711443,130662.16199251966,2448.772366251202
RDI,50492.87515978554,230372.27990265875,37150.8385981029
RDMCR,49439.819286779486,244544.54848564527,49395.090694826846
RGRLAI,46156.31112647891,437271.9156160506,43282.20921030676
TEFFMX,33918.33358973871,119913.3207801816,6113.8596508041965
CFET,25139.70841765824,146147.27586672088,-22360.937193870966
DEPNR,24996.98849119631,107380.26228885741,24634.80957296009
CVR,23738.78997967993,72564.91182283168,20354.68186910878
Q10,22084.662767424463,44745.57875370397,18490.64310358443
IOX,15280.477069043998,95408.58672168442,-14376.264210767415
PERDL,8267.443108285188,41981.935847433866,-7380.014195525813
TMPFTB008,6368.777187059308,19319.67897660041,5263.134586593428
DVSI,0.0,0.0,0.0
EFFTB000,0.0,0.0,0.0
EFFTB040,0.0,0.0,0.0
SLATB,0.0,0.0,0.0
TMPFTB000,0.0,0.0,0.0
TMPFTB045,0.0,0.0,0.0
