parameter,mu_star,sigma,mu,point_id,cluster_id,latitude,longitude
AMAXTB000,132993.71704122995,842874.8957762351,89888.88009279082,4120309,2.0,-26.24065066735,-51.22048452302531
AMAXTB014,214027.20976366856,552784.9641714612,153377.0867714283,4120309,2.0,-26.24065066735,-51.22048452302531
AMAXTB082,2072872.8213997101,4022310.6418857863,2072872.8213997101,4120309,2.0,-26.24065066735,-51.22048452302531
AMAXTB200,2498778.2763024475,3853784.715702293,2498778.2763024475,4120309,2.0,-26.24065066735,-51.22048452302531
TMPFTB000,0.0,0.0,0.0,4120309,2.0,-26.24065066735,-51.22048452302531
TMPFTB008,24736.6986695144,62348.573511772185,22509.194561767985,4120309,2.0,-26.24065066735,-51.22048452302531
TMPFTB020,2328447.5751863285,3661766.5291872914,2328447.5751863285,4120309,2.0,-26.24065066735,-51.22048452302531
TMPFTB035,1423461.044927037,2516539.8116393997,1423461.044927037,4120309,2.0,-26.24065066735,-51.22048452302531
TMPFTB045,0.0,0.0,0.0,4120309,2.0,-26.24065066735,-51.22048452302531
EFFTB000,0.0,0.0,0.0,4120309,2.0,-26.24065066735,-51.22048452302531
EFFTB040,0.0,0.0,0.0,4120309,2.0,-26.24065066735,-51.22048452302531
SLATB000,324543.9222446442,753260.9632632605,268534.0758967814,4120309,2.0,-26.24065066735,-51.22048452302531
SLATB021,57860.778963752746,156479.3304004255,28994.170377420625,4120309,2.0,-26.24065066735,-51.22048452302531
SLATB029,251320.74431655725,1493000.7984115307,233422.4147183815,4120309,2.0,-26.24065066735,-51.22048452302531
SLATB064,295375.84480111965,848343.1520137368,263678.3666661065,4120309,2.0,-26.24065066735,-51.22048452302531
SLATB100,1308558.2305343547,2471416.1530768387,1307725.234384569,4120309,2.0,-26.24065066735,-51.22048452302531
SLATB200,377799.1265897154,892536.2919897158,377799.1265897154,4120309,2.0,-26.24065066735,-51.22048452302531
RFSETB000,176976.29715567234,399556.3550277469,-176976.29715567234,4120309,2.0,-26.24065066735,-51.22048452302531
RFSETB200,698431.4429577499,1327518.9811221387,-698431.4429577499,4120309,2.0,-26.24065066735,-51.22048452302531
CFET,21061.571508211095,151588.74147187866,-20256.134539987917,4120309,2.0,-26.24065066735,-51.22048452302531
CVL,150143.9648864889,327148.21226257086,143040.36513615175,4120309,2.0,-26.24065066735,-51.22048452302531
CVO,1132199.697777688,2018127.4880002865,1132199.697777688,4120309,2.0,-26.24065066735,-51.22048452302531
CVR,30078.371650025154,111232.46455893018,27090.957446032724,4120309,2.0,-26.24065066735,-51.22048452302531
CVS,60029.36236258926,90028.0863750336,60029.36236258926,4120309,2.0,-26.24065066735,-51.22048452302531
DEPNR,16847.007590193654,76460.30843214413,16847.007590193654,4120309,2.0,-26.24065066735,-51.22048452302531
DLC,275266.45461595664,1412028.651311182,-269490.82226740516,4120309,2.0,-26.24065066735,-51.22048452302531
DLO,186657.7170193958,1182450.1783301681,-177086.40851669555,4120309,2.0,-26.24065066735,-51.22048452302531
DVSEND,4308428.8108561,5712172.436133026,4308428.8108561,4120309,2.0,-26.24065066735,-51.22048452302531
DVSI,0.0,0.0,0.0,4120309,2.0,-26.24065066735,-51.22048452302531
IAIRDU,45482.939879584366,186692.13987823378,45068.37551757615,4120309,2.0,-26.24065066735,-51.22048452302531
IDSL,968871.531762552,3312858.2458741073,-828397.2762516545,4120309,2.0,-26.24065066735,-51.22048452302531
IOX,21225.292821122843,127304.94818208042,-21225.292821122843,4120309,2.0,-26.24065066735,-51.22048452302531
PERDL,10052.530162034667,71757.8151516236,-9948.794340085875,4120309,2.0,-26.24065066735,-51.22048452302531
Q10,58387.28953848686,117362.57745079708,58387.28953848686,4120309,2.0,-26.24065066735,-51.22048452302531
RDMCR,23677.27199327841,135310.9116239139,23677.27199327841,4120309,2.0,-26.24065066735,-51.22048452302531
RDI,33864.69181984835,189978.1064568862,14365.287779600358,4120309,2.0,-26.24065066735,-51.22048452302531
RGRLAI,69727.05023924891,692230.1177345079,68742.26314230933,4120309,2.0,-26.24065066735,-51.22048452302531
RML,365743.62728936685,656929.4925704147,-365743.62728936685,4120309,2.0,-26.24065066735,-51.22048452302531
RMO,537759.1050190527,1721743.5375141448,-537759.1050190527,4120309,2.0,-26.24065066735,-51.22048452302531
RMR,143950.84967445096,329827.2871787068,-143950.84967445096,4120309,2.0,-26.24065066735,-51.22048452302531
RMS,261570.22272849738,467097.51278352074,-261570.22272849738,4120309,2.0,-26.24065066735,-51.22048452302531
RRI,64106.405201050744,237086.42180528806,62687.083734534805,4120309,2.0,-26.24065066735,-51.22048452302531
SLATB,0.0,0.0,0.0,4120309,2.0,-26.24065066735,-51.22048452302531
SPAN,1471491.5258281014,2792802.7318611685,1469609.5237960266,4120309,2.0,-26.24065066735,-51.22048452302531
TBASE,380048.1097218677,1068155.9743057825,346610.0955473684,4120309,2.0,-26.24065066735,-51.22048452302531
TBASEM,76313.54816605763,181463.51623173067,-14445.385777556903,4120309,2.0,-26.24065066735,-51.22048452302531
TDWI,1342895.6578197852,3631269.882718304,1237251.7724165116,4120309,2.0,-26.24065066735,-51.22048452302531
TEFFMX,16488.78964923893,45556.55022781041,1574.1630602611817,4120309,2.0,-26.24065066735,-51.22048452302531
TSUM1,840824.5753789204,2192880.6643935707,-22713.498826400573,4120309,2.0,-26.24065066735,-51.22048452302531
TSUM2,1801822.535398019,4183652.164882984,1752891.167289154,4120309,2.0,-26.24065066735,-51.22048452302531
TSUMEM,38235.09148418437,74771.6428973027,-1842.1857354025142,4120309,2.0,-26.24065066735,-51.22048452302531
