parameter,mu_star,sigma,mu,point_id,cluster_id,latitude,longitude
AMAXTB000,44701.87987072045,113676.87485181015,33877.88038004086,4123709,0.0,-23.1186617459,-53.2469648691613
AMAXTB014,260631.7896421404,814750.4165885053,226241.29613566335,4123709,0.0,-23.1186617459,-53.2469648691613
AMAXTB082,1295888.5026587155,2609640.983126872,1295888.5026587155,4123709,0.0,-23.1186617459,-53.2469648691613
AMAXTB200,1668208.8883286812,3468347.14329357,1668208.8883286812,4123709,0.0,-23.1186617459,-53.2469648691613
TMPFTB000,0.0,0.0,0.0,4123709,0.0,-23.1186617459,-53.2469648691613
TMPFTB008,1495.9448423077963,8339.552915626138,1346.1165976889117,4123709,0.0,-23.1186617459,-53.2469648691613
TMPFTB020,1039856.369511988,2024907.2924077048,1039856.369511988,4123709,0.0,-23.1186617459,-53.2469648691613
TMPFTB035,2022266.7112163245,4237050.99505731,2022266.7112163245,4123709,0.0,-23.1186617459,-53.2469648691613
TMPFTB045,0.0,0.0,0.0,4123709,0.0,-23.1186617459,-53.2469648691613
EFFTB000,0.0,0.0,0.0,4123709,0.0,-23.1186617459,-53.2469648691613
EFFTB040,0.0,0.0,0.0,4123709,0.0,-23.1186617459,-53.2469648691613
SLATB000,573902.9954734194,1288633.1618329962,499169.06161749765,4123709,0.0,-23.1186617459,-53.2469648691613
SLATB021,47860.35240583002,144543.82625255236,35785.1188443447,4123709,0.0,-23.1186617459,-53.2469648691613
SLATB029,163848.5793610433,457752.0039905751,136805.01046196674,4123709,0.0,-23.1186617459,-53.2469648691613
SLATB064,286377.1368956909,630650.3963020467,260924.36833338134,4123709,0.0,-23.1186617459,-53.2469648691613
SLATB100,1043077.6950378041,1754356.3195248614,1043077.6950378041,4123709,0.0,-23.1186617459,-53.2469648691613
SLATB200,324501.48075402266,1162671.048744244,324437.20777584385,4123709,0.0,-23.1186617459,-53.2469648691613
RFSETB000,229918.69884350724,991503.0606320818,-229918.69884350724,4123709,0.0,-23.1186617459,-53.2469648691613
RFSETB200,563342.9944255016,1109099.9036927107,-563342.9944255016,4123709,0.0,-23.1186617459,-53.2469648691613
CFET,54422.158188501504,356248.41596700816,-50355.38903170928,4123709,0.0,-23.1186617459,-53.2469648691613
CVL,178929.70483608544,354803.4080490529,176113.49162416052,4123709,0.0,-23.1186617459,-53.2469648691613
CVO,743738.4825025364,1769405.8861107384,743738.4825025364,4123709,0.0,-23.1186617459,-53.2469648691613
CVR,17188.661711060795,35844.02667550499,9810.863653114091,4123709,0.0,-23.1186617459,-53.2469648691613
CVS,41268.273732661895,98428.66427869698,41268.273732661895,4123709,0.0,-23.1186617459,-53.2469648691613
DEPNR,43762.61673095314,177060.54744225554,42585.30934543365,4123709,0.0,-23.1186617459,-53.2469648691613
DLC,304189.6901315313,1603790.6563909072,-304189.6901315313,4123709,0.0,-23.1186617459,-53.2469648691613
DLO,5592.05292822583,40347.58574533538,-2108.1609530351643,4123709,0.0,-23.1186617459,-53.2469648691613
DVSEND,3313221.148443856,4990121.507679758,3313221.148443856,4123709,0.0,-23.1186617459,-53.2469648691613
DVSI,0.0,0.0,0.0,4123709,0.0,-23.1186617459,-53.2469648691613
IAIRDU,12988.732568096559,83071.5357384627,12786.182646530026,4123709,0.0,-23.1186617459,-53.2469648691613
IDSL,713203.8433434895,2611365.8805119684,-632294.998397496,4123709,0.0,-23.1186617459,-53.2469648691613
IOX,23570.233067242556,127730.15083024885,-23570.233067242556,4123709,0.0,-23.1186617459,-53.2469648691613
PERDL,3920.436371449266,15677.501483927399,-3920.436371449266,4123709,0.0,-23.1186617459,-53.2469648691613
Q10,25474.161669454865,66325.13778342846,-25470.17011310463,4123709,0.0,-23.1186617459,-53.2469648691613
RDMCR,4335.136428738507,37124.547512004654,4335.136428738507,4123709,0.0,-23.1186617459,-53.2469648691613
RDI,58077.65854166425,302144.7079442321,44305.84884726972,4123709,0.0,-23.1186617459,-53.2469648691613
RGRLAI,761.128660774151,5910.374137596181,-475.28716827865304,4123709,0.0,-23.1186617459,-53.2469648691613
RML,368589.06058444805,617230.984442997,-368589.06058444805,4123709,0.0,-23.1186617459,-53.2469648691613
RMO,230641.50081577644,649182.0080088105,-230641.50081577644,4123709,0.0,-23.1186617459,-53.2469648691613
RMR,160963.7852431772,416655.88196046185,-160963.7852431772,4123709,0.0,-23.1186617459,-53.2469648691613
RMS,252136.28189443753,508447.82058069983,-252136.28189443753,4123709,0.0,-23.1186617459,-53.2469648691613
RRI,103301.52507902168,434153.50394026743,95240.7527502207,4123709,0.0,-23.1186617459,-53.2469648691613
SLATB,0.0,0.0,0.0,4123709,0.0,-23.1186617459,-53.2469648691613
SPAN,610728.4182208306,1378286.5465789114,609649.401725677,4123709,0.0,-23.1186617459,-53.2469648691613
TBASE,205783.58687824063,611652.8638290202,204491.49458749464,4123709,0.0,-23.1186617459,-53.2469648691613
TBASEM,48461.658086053794,101851.72019149976,2296.128798253123,4123709,0.0,-23.1186617459,-53.2469648691613
TDWI,1041013.298028574,2529724.9920660406,1012260.079020845,4123709,0.0,-23.1186617459,-53.2469648691613
TEFFMX,25822.489888803866,81396.78989927901,5792.512021634852,4123709,0.0,-23.1186617459,-53.2469648691613
TSUM1,460474.2229321117,1028703.2293516217,269445.1099329779,4123709,0.0,-23.1186617459,-53.2469648691613
TSUM2,811712.4596838892,1665491.453426098,803304.4743879787,4123709,0.0,-23.1186617459,-53.2469648691613
TSUMEM,34675.41711487838,80799.17047652016,-4771.206299864691,4123709,0.0,-23.1186617459,-53.2469648691613
