parameter,mu_star,sigma,mu,point_id,cluster_id,latitude,longitude
AMAXTB000,157328.73716114426,851801.2750651457,90819.5029936472,4105003,1.0,-25.2338986684,-53.129884154732
AMAXTB014,256200.54921622964,605436.2606135666,175885.44660355395,4105003,1.0,-25.2338986684,-53.129884154732
AMAXTB082,2042234.0606208006,3957482.2006191923,2042234.0606208006,4105003,1.0,-25.2338986684,-53.129884154732
AMAXTB200,2349411.4243731713,3624070.538136737,2349411.4243731713,4105003,1.0,-25.2338986684,-53.129884154732
TMPFTB000,0.0,0.0,0.0,4105003,1.0,-25.2338986684,-53.129884154732
TMPFTB008,5347.84522401711,15852.958895694832,4285.528908551708,4105003,1.0,-25.2338986684,-53.129884154732
TMPFTB020,1800578.2411769961,2699308.7196333585,1800578.2411769961,4105003,1.0,-25.2338986684,-53.129884154732
TMPFTB035,1815270.763676373,3067869.144119002,1815270.763676373,4105003,1.0,-25.2338986684,-53.129884154732
TMPFTB045,0.0,0.0,0.0,4105003,1.0,-25.2338986684,-53.129884154732
EFFTB000,0.0,0.0,0.0,4105003,1.0,-25.2338986684,-53.129884154732
EFFTB040,0.0,0.0,0.0,4105003,1.0,-25.2338986684,-53.129884154732
SLATB000,310459.8740918141,724448.9672036194,254085.34901087466,4105003,1.0,-25.2338986684,-53.129884154732
SLATB021,77038.9583267348,322374.5796879213,51500.51352960991,4105003,1.0,-25.2338986684,-53.129884154732
SLATB029,268750.7348188439,1576662.3765023248,253425.70494445812,4105003,1.0,-25.2338986684,-53.129884154732
SLATB064,297632.4523951988,879345.6057568204,268901.6266585564,4105003,1.0,-25.2338986684,-53.129884154732
SLATB100,1357388.0527938837,2576338.529589491,1356777.7614285555,4105003,1.0,-25.2338986684,-53.129884154732
SLATB200,340801.2200049262,803337.3031282963,340801.2200049262,4105003,1.0,-25.2338986684,-53.129884154732
RFSETB000,168470.7023255691,395361.05290182744,-168470.7023255691,4105003,1.0,-25.2338986684,-53.129884154732
RFSETB200,665136.9040466899,1386008.3501555962,-665136.9040466899,4105003,1.0,-25.2338986684,-53.129884154732
CFET,36586.61824219477,179746.42925194345,-35827.31718628904,4105003,1.0,-25.2338986684,-53.129884154732
CVL,144467.59840654995,294724.46654732106,136240.66586696237,4105003,1.0,-25.2338986684,-53.129884154732
CVO,964170.994191362,1755685.4036420705,964170.994191362,4105003,1.0,-25.2338986684,-53.129884154732
CVR,32965.70262931925,106181.7719788136,29886.06486645843,4105003,1.0,-25.2338986684,-53.129884154732
CVS,60163.80084067885,97291.63216359587,59950.54597631274,4105003,1.0,-25.2338986684,-53.129884154732
DEPNR,20363.079910338416,101858.60226579914,20313.04025513352,4105003,1.0,-25.2338986684,-53.129884154732
DLC,334578.0451969098,1515900.0147817305,-334578.0451969098,4105003,1.0,-25.2338986684,-53.129884154732
DLO,170820.1675360013,1070673.3437589053,-134678.84591114387,4105003,1.0,-25.2338986684,-53.129884154732
DVSEND,3713197.0507291937,4984090.684641428,3713197.0507291937,4105003,1.0,-25.2338986684,-53.129884154732
DVSI,0.0,0.0,0.0,4105003,1.0,-25.2338986684,-53.129884154732
IAIRDU,53515.90192632694,302345.0285179275,53379.991740260404,4105003,1.0,-25.2338986684,-53.129884154732
IDSL,941486.4566357855,3080874.4035066096,-798828.7292505045,4105003,1.0,-25.2338986684,-53.129884154732
IOX,4127.227740144538,32581.45469330232,-4127.227740144538,4105003,1.0,-25.2338986684,-53.129884154732
PERDL,4980.411085575862,23404.548295246943,-4882.951992227088,4105003,1.0,-25.2338986684,-53.129884154732
Q10,16726.47031906385,30619.95795827618,16013.359180103336,4105003,1.0,-25.2338986684,-53.129884154732
RDMCR,44203.70579290313,249309.0503508911,44203.70579290313,4105003,1.0,-25.2338986684,-53.129884154732
RDI,33353.340565718405,152085.10745738205,12488.504018414114,4105003,1.0,-25.2338986684,-53.129884154732
RGRLAI,75380.89147443851,746013.0140016573,74666.82782946153,4105003,1.0,-25.2338986684,-53.129884154732
RML,379208.8539813356,708900.6614318669,-379208.8539813356,4105003,1.0,-25.2338986684,-53.129884154732
RMO,531525.530629125,1641005.415277518,-531525.530629125,4105003,1.0,-25.2338986684,-53.129884154732
RMR,157646.86045819067,454815.40042424377,-157646.86045819067,4105003,1.0,-25.2338986684,-53.129884154732
RMS,265462.88361740694,540859.2658183739,-265462.88361740694,4105003,1.0,-25.2338986684,-53.129884154732
RRI,130526.93136157702,467429.3192932463,130339.41790250003,4105003,1.0,-25.2338986684,-53.129884154732
SLATB,0.0,0.0,0.0,4105003,1.0,-25.2338986684,-53.129884154732
SPAN,1362845.738737708,2555897.516481675,1361784.8160883007,4105003,1.0,-25.2338986684,-53.129884154732
TBASE,262618.9740648777,729168.7376226074,234772.44761893197,4105003,1.0,-25.2338986684,-53.129884154732
TBASEM,72319.94770504936,153337.39344185498,792.5353875779797,4105003,1.0,-25.2338986684,-53.129884154732
TDWI,1281716.3817235008,3523811.9382601944,1174695.0040044782,4105003,1.0,-25.2338986684,-53.129884154732
TEFFMX,24923.569039492882,63692.25553932335,-11608.148180998494,4105003,1.0,-25.2338986684,-53.129884154732
TSUM1,734247.1675127023,1951862.0989615286,-44173.17724846038,4105003,1.0,-25.2338986684,-53.129884154732
TSUM2,1495829.3663772258,3349116.360651082,1465799.298692053,4105003,1.0,-25.2338986684,-53.129884154732
TSUMEM,46954.10117113565,94070.91562536372,-9566.316104136742,4105003,1.0,-25.2338986684,-53.129884154732
