parameter,mu_star,sigma,mu,point_id,cluster_id,latitude,longitude
AMAXTB000,136756.03940275335,854785.5672984397,93393.2206526197,4118709,2.0,-26.07358527015,-50.71697716673106
AMAXTB014,216234.10712730756,559426.2148581443,155518.90695704214,4118709,2.0,-26.07358527015,-50.71697716673106
AMAXTB082,2023425.0819351198,3913659.966910758,2023425.0819351198,4118709,2.0,-26.07358527015,-50.71697716673106
AMAXTB200,2426504.484127818,3756285.637525969,2426504.484127818,4118709,2.0,-26.07358527015,-50.71697716673106
TMPFTB000,0.0,0.0,0.0,4118709,2.0,-26.07358527015,-50.71697716673106
TMPFTB008,28749.221259393275,72267.65980971346,26169.56461631258,4118709,2.0,-26.07358527015,-50.71697716673106
TMPFTB020,2249043.026939383,3521789.16019176,2249043.026939383,4118709,2.0,-26.07358527015,-50.71697716673106
TMPFTB035,1397516.8340154663,2457269.3330729315,1397516.8340154663,4118709,2.0,-26.07358527015,-50.71697716673106
TMPFTB045,0.0,0.0,0.0,4118709,2.0,-26.07358527015,-50.71697716673106
EFFTB000,0.0,0.0,0.0,4118709,2.0,-26.07358527015,-50.71697716673106
EFFTB040,0.0,0.0,0.0,4118709,2.0,-26.07358527015,-50.71697716673106
SLATB000,324492.4828330887,754562.4290714026,268061.03002178884,4118709,2.0,-26.07358527015,-50.71697716673106
SLATB021,55436.205734538715,139125.38002740906,26576.202113388303,4118709,2.0,-26.07358527015,-50.71697716673106
SLATB029,245200.6698719693,1444943.4568679743,227316.5172174628,4118709,2.0,-26.07358527015,-50.71697716673106
SLATB064,292451.9421300121,843744.9967884823,261837.06171758822,4118709,2.0,-26.07358527015,-50.71697716673106
SLATB100,1292053.4122653834,2453174.866259624,1291080.2576014427,4118709,2.0,-26.07358527015,-50.71697716673106
SLATB200,365229.0905409623,859990.7928041825,365229.0905409623,4118709,2.0,-26.07358527015,-50.71697716673106
RFSETB000,171715.38405066208,374347.3806318055,-171715.38405066208,4118709,2.0,-26.07358527015,-50.71697716673106
RFSETB200,682843.5119424588,1317532.9904745645,-682843.5119424588,4118709,2.0,-26.07358527015,-50.71697716673106
CFET,26352.36500279062,193469.10690845957,-26313.638370075278,4118709,2.0,-26.07358527015,-50.71697716673106
CVL,147168.436279792,315913.04023803724,139729.28100211394,4118709,2.0,-26.07358527015,-50.71697716673106
CVO,1093061.6742503203,1943657.5796120295,1093061.6742503203,4118709,2.0,-26.07358527015,-50.71697716673106
CVR,29852.34888363634,107619.16507867402,26962.36438377922,4118709,2.0,-26.07358527015,-50.71697716673106
CVS,58872.63794134901,88371.73390896386,58872.63794134901,4118709,2.0,-26.07358527015,-50.71697716673106
DEPNR,26265.891709658652,110043.78668649435,26265.891709658652,4118709,2.0,-26.07358527015,-50.71697716673106
DLC,285607.49654559424,1400989.968260862,-279943.0283570997,4118709,2.0,-26.07358527015,-50.71697716673106
DLO,178427.99068533367,1129420.631869437,-168483.05800228656,4118709,2.0,-26.07358527015,-50.71697716673106
DVSEND,4146914.652994801,5492965.828447524,4146914.652994801,4118709,2.0,-26.07358527015,-50.71697716673106
DVSI,0.0,0.0,0.0,4118709,2.0,-26.07358527015,-50.71697716673106
IAIRDU,95240.84053369088,598604.0803092766,92018.74148542254,4118709,2.0,-26.07358527015,-50.71697716673106
IDSL,967517.718901746,3235474.9415391614,-812267.1939748845,4118709,2.0,-26.07358527015,-50.71697716673106
IOX,30533.339044895234,194344.26883159307,-29898.58778845125,4118709,2.0,-26.07358527015,-50.71697716673106
PERDL,14018.880054724039,93912.884837006,-13800.026907302397,4118709,2.0,-26.07358527015,-50.71697716673106
Q10,52398.11106407841,102143.68415627007,52398.11106407841,4118709,2.0,-26.07358527015,-50.71697716673106
RDMCR,39985.97523208879,228997.30991420255,39985.97523208879,4118709,2.0,-26.07358527015,-50.71697716673106
RDI,43263.575029253116,228304.64725365382,23900.44984493446,4118709,2.0,-26.07358527015,-50.71697716673106
RGRLAI,53870.260609274235,533974.5399831545,52948.77279864126,4118709,2.0,-26.07358527015,-50.71697716673106
RML,360280.56296149833,650212.8384262861,-360280.56296149833,4118709,2.0,-26.07358527015,-50.71697716673106
RMO,529275.7047513509,1690697.2316431566,-529275.7047513509,4118709,2.0,-26.07358527015,-50.71697716673106
RMR,145276.03277543362,338740.94895008864,-145276.03277543362,4118709,2.0,-26.07358527015,-50.71697716673106
RMS,305064.674132239,757978.638175026,-305064.674132239,4118709,2.0,-26.07358527015,-50.71697716673106
RRI,87772.48916190978,328899.58583190886,86295.14335820518,4118709,2.0,-26.07358527015,-50.71697716673106
SLATB,0.0,0.0,0.0,4118709,2.0,-26.07358527015,-50.71697716673106
SPAN,1444779.9803958917,2738220.628816052,1442990.8419087473,4118709,2.0,-26.07358527015,-50.71697716673106
TBASE,368959.73167774663,1016518.1823709218,335188.20736834424,4118709,2.0,-26.07358527015,-50.71697716673106
TBASEM,77292.93753367379,172299.3034320848,-11428.73639439878,4118709,2.0,-26.07358527015,-50.71697716673106
TDWI,1328157.3744132814,3606799.08734994,1223373.0370043262,4118709,2.0,-26.07358527015,-50.71697716673106
TEFFMX,16974.536370491638,51605.19369795739,-1023.0741256701364,4118709,2.0,-26.07358527015,-50.71697716673106
TSUM1,808402.1138847006,2095179.5872341238,-46910.23059397705,4118709,2.0,-26.07358527015,-50.71697716673106
TSUM2,1703832.1002980538,3949596.4083564016,1666679.1065676797,4118709,2.0,-26.07358527015,-50.71697716673106
TSUMEM,50439.150942098684,142352.4196904385,2387.7020731859193,4118709,2.0,-26.07358527015,-50.71697716673106
