parameter,mu_star,sigma,mu,point_id,cluster_id,latitude,longitude
AMAXTB000,136140.29550194883,828762.8217860676,81244.50702900063,4115309,1.0,-26.3206875824,-52.59561792248415
AMAXTB014,266675.4131994854,783194.9444592,187521.7848211279,4115309,1.0,-26.3206875824,-52.59561792248415
AMAXTB082,2118375.434482875,3998513.2466048775,2118375.434482875,4115309,1.0,-26.3206875824,-52.59561792248415
AMAXTB200,2682929.94656136,4070578.777865555,2682929.94656136,4115309,1.0,-26.3206875824,-52.59561792248415
TMPFTB000,0.0,0.0,0.0,4115309,1.0,-26.3206875824,-52.59561792248415
TMPFTB008,17306.368657578892,57303.923753493196,15769.536434566653,4115309,1.0,-26.3206875824,-52.59561792248415
TMPFTB020,2490476.5537872906,3773027.0663614175,2490476.5537872906,4115309,1.0,-26.3206875824,-52.59561792248415
TMPFTB035,1472150.6229633233,2492754.591794251,1472150.6229633233,4115309,1.0,-26.3206875824,-52.59561792248415
TMPFTB045,0.0,0.0,0.0,4115309,1.0,-26.3206875824,-52.59561792248415
EFFTB000,0.0,0.0,0.0,4115309,1.0,-26.3206875824,-52.59561792248415
EFFTB040,0.0,0.0,0.0,4115309,1.0,-26.3206875824,-52.59561792248415
SLATB000,313585.41161522735,687979.293411346,247208.2021386766,4115309,1.0,-26.3206875824,-52.59561792248415
SLATB021,64591.82674929522,179319.2923092144,30573.03118900937,4115309,1.0,-26.3206875824,-52.59561792248415
SLATB029,260996.21472732665,1513466.8367343182,239653.85184452473,4115309,1.0,-26.3206875824,-52.59561792248415
SLATB064,256137.07578045185,712833.3740909983,221186.03865516768,4115309,1.0,-26.3206875824,-52.59561792248415
SLATB100,1248103.115736837,2388226.2889968213,1246174.079416741,4115309,1.0,-26.3206875824,-52.59561792248415
SLATB200,387275.58848076535,987411.2807429392,387275.58848076535,4115309,1.0,-26.3206875824,-52.59561792248415
RFSETB000,164182.1877628903,314814.1773514063,-164182.1877628903,4115309,1.0,-26.3206875824,-52.59561792248415
RFSETB200,740032.6507444801,1379622.9080694083,-740032.6507444801,4115309,1.0,-26.3206875824,-52.59561792248415
CFET,31085.07857963399,190232.30624031927,-26780.553727288796,4115309,1.0,-26.3206875824,-52.59561792248415
CVL,148267.41313516613,323482.5241569844,139627.16221293324,4115309,1.0,-26.3206875824,-52.59561792248415
CVO,1177167.6745663953,2078116.5294222224,1177167.6745663953,4115309,1.0,-26.3206875824,-52.59561792248415
CVR,30979.817603384,93506.40132580209,27160.07369952329,4115309,1.0,-26.3206875824,-52.59561792248415
CVS,58957.587138320814,92693.53506430311,58957.587138320814,4115309,1.0,-26.3206875824,-52.59561792248415
DEPNR,27955.30562811383,115183.84173650848,27955.30562811383,4115309,1.0,-26.3206875824,-52.59561792248415
DLC,291803.62610030855,1477305.9758978128,-282541.3411920576,4115309,1.0,-26.3206875824,-52.59561792248415
DLO,190820.59394335537,1168464.4654146435,-168780.44365995182,4115309,1.0,-26.3206875824,-52.59561792248415
DVSEND,4395652.146006105,5836502.147703594,4395652.146006105,4115309,1.0,-26.3206875824,-52.59561792248415
DVSI,0.0,0.0,0.0,4115309,1.0,-26.3206875824,-52.59561792248415
IAIRDU,16718.69801240594,86980.8383936235,15498.399339620368,4115309,1.0,-26.3206875824,-52.59561792248415
IDSL,996180.6637416609,3342051.225300241,-869450.5660939707,4115309,1.0,-26.3206875824,-52.59561792248415
IOX,8597.12438279097,63351.46500522606,-8597.12438279097,4115309,1.0,-26.3206875824,-52.59561792248415
PERDL,12900.012332207953,93317.41800504414,-12757.254751435401,4115309,1.0,-26.3206875824,-52.59561792248415
Q10,52322.4863426578,100833.98128780245,52322.4863426578,4115309,1.0,-26.3206875824,-52.59561792248415
RDMCR,56551.74006302236,304337.1820875222,56551.74006302236,4115309,1.0,-26.3206875824,-52.59561792248415
RDI,32485.613322569076,187600.45914267577,18869.940731366616,4115309,1.0,-26.3206875824,-52.59561792248415
RGRLAI,119498.40172602468,1188104.6015863696,118186.31145936027,4115309,1.0,-26.3206875824,-52.59561792248415
RML,378169.25500079064,680126.4292992495,-378169.25500079064,4115309,1.0,-26.3206875824,-52.59561792248415
RMO,569566.0087183656,1830928.007221764,-569566.0087183656,4115309,1.0,-26.3206875824,-52.59561792248415
RMR,166753.6610573521,413550.11467140337,-166753.6610573521,4115309,1.0,-26.3206875824,-52.59561792248415
RMS,275729.7889344578,473574.1026553707,-275729.7889344578,4115309,1.0,-26.3206875824,-52.59561792248415
RRI,111604.39256290712,384025.99618893437,111604.39256290712,4115309,1.0,-26.3206875824,-52.59561792248415
SLATB,0.0,0.0,0.0,4115309,1.0,-26.3206875824,-52.59561792248415
SPAN,1416449.3077866563,2716400.6009880663,1407959.5211591017,4115309,1.0,-26.3206875824,-52.59561792248415
TBASE,380997.21845384507,1034744.4916893472,340464.21333121456,4115309,1.0,-26.3206875824,-52.59561792248415
TBASEM,81427.49506559124,179229.24662919712,-40688.52159896763,4115309,1.0,-26.3206875824,-52.59561792248415
TDWI,1198397.4122383138,3147735.9374390636,1078102.4363454182,4115309,1.0,-26.3206875824,-52.59561792248415
TEFFMX,23520.283656501142,66389.3385581978,-3720.8099053260894,4115309,1.0,-26.3206875824,-52.59561792248415
TSUM1,883569.7549504462,2201074.2785746846,-224672.72548196276,4115309,1.0,-26.3206875824,-52.59561792248415
TSUM2,1757235.8956947604,4125530.4267262807,1714011.9977006004,4115309,1.0,-26.3206875824,-52.59561792248415
TSUMEM,54264.12479961364,121093.6079356376,-19260.35268581117,4115309,1.0,-26.3206875824,-52.59561792248415
