parameter,mu_star,sigma,mu,point_id,cluster_id,latitude,longitude
AMAXTB000,78558.57160396752,257192.70774062947,53542.76824940958,4119400,2.0,-24.4360326267,-50.00840643875611
AMAXTB014,319319.7193632061,936470.3856852737,267365.2554031492,4119400,2.0,-24.4360326267,-50.00840643875611
AMAXTB082,1357078.3629007167,2193384.5321918684,1357078.3629007167,4119400,2.0,-24.4360326267,-50.00840643875611
AMAXTB200,2394401.81321643,4084164.8758366667,2394401.81321643,4119400,2.0,-24.4360326267,-50.00840643875611
TMPFTB000,0.0,0.0,0.0,4119400,2.0,-24.4360326267,-50.00840643875611
TMPFTB008,24521.478382310634,81461.5952452739,23114.394445124548,4119400,2.0,-24.4360326267,-50.00840643875611
TMPFTB020,3127351.185393395,4301113.390594881,3127351.185393395,4119400,2.0,-24.4360326267,-50.00840643875611
TMPFTB035,875656.686488346,2103764.6844704594,875656.686488346,4119400,2.0,-24.4360326267,-50.00840643875611
TMPFTB045,0.0,0.0,0.0,4119400,2.0,-24.4360326267,-50.00840643875611
EFFTB000,0.0,0.0,0.0,4119400,2.0,-24.4360326267,-50.00840643875611
EFFTB040,0.0,0.0,0.0,4119400,2.0,-24.4360326267,-50.00840643875611
SLATB000,462988.96839604,1242036.3618669924,350873.5234694608,4119400,2.0,-24.4360326267,-50.00840643875611
SLATB021,80879.0335574845,228012.4487113858,47268.84653754423,4119400,2.0,-24.4360326267,-50.00840643875611
SLATB029,151872.36664957376,406512.3386300027,87956.55352779159,4119400,2.0,-24.4360326267,-50.00840643875611
SLATB064,372752.9829432104,1008721.8158294323,323133.03338435106,4119400,2.0,-24.4360326267,-50.00840643875611
SLATB100,1399170.6738490746,2763965.9986754716,1399170.6738490746,4119400,2.0,-24.4360326267,-50.00840643875611
SLATB200,391427.2999405402,1208618.3024394815,391427.2999405402,4119400,2.0,-24.4360326267,-50.00840643875611
RFSETB000,158485.98846947274,308188.90607138496,-158485.98846947274,4119400,2.0,-24.4360326267,-50.00840643875611
RFSETB200,754219.5830958876,1444835.3337408388,-754219.5830958876,4119400,2.0,-24.4360326267,-50.00840643875611
CFET,21275.23552644556,87446.29671557329,-21202.225053541915,4119400,2.0,-24.4360326267,-50.00840643875611
CVL,201463.77520415568,377878.7867260815,198765.79693410895,4119400,2.0,-24.4360326267,-50.00840643875611
CVO,992723.2942530817,2237837.749561011,992723.2942530817,4119400,2.0,-24.4360326267,-50.00840643875611
CVR,25454.58906119739,70116.83149403996,17877.28226280103,4119400,2.0,-24.4360326267,-50.00840643875611
CVS,63846.37734970741,150607.28000311623,63846.37734970741,4119400,2.0,-24.4360326267,-50.00840643875611
DEPNR,29819.78342882165,118564.73105481638,29819.78342882165,4119400,2.0,-24.4360326267,-50.00840643875611
DLC,601216.7092725716,2797509.6319651003,-518469.99391892133,4119400,2.0,-24.4360326267,-50.00840643875611
DLO,7721.390453648267,57363.33059155162,-5690.939913841369,4119400,2.0,-24.4360326267,-50.00840643875611
DVSEND,4803843.956860031,6679144.193429333,4803843.956860031,4119400,2.0,-24.4360326267,-50.00840643875611
DVSI,0.0,0.0,0.0,4119400,2.0,-24.4360326267,-50.00840643875611
IAIRDU,15978.339254314895,118668.91415111322,15976.035142522607,4119400,2.0,-24.4360326267,-50.00840643875611
IDSL,1084715.7419049935,3677454.3458623635,-1035561.0060305557,4119400,2.0,-24.4360326267,-50.00840643875611
IOX,17253.39773830052,145446.18592648234,-17253.39773830052,4119400,2.0,-24.4360326267,-50.00840643875611
PERDL,8490.507561511342,76772.9081853396,-8483.358228359684,4119400,2.0,-24.4360326267,-50.00840643875611
Q10,67166.10060817917,143626.86033279536,67166.10060817917,4119400,2.0,-24.4360326267,-50.00840643875611
RDMCR,6739.589967996711,48618.15591458013,6739.589967996711,4119400,2.0,-24.4360326267,-50.00840643875611
RDI,169056.81954383902,835090.3251710625,168896.0227122661,4119400,2.0,-24.4360326267,-50.00840643875611
RGRLAI,2023.474146010612,9121.231709697804,625.7757635716837,4119400,2.0,-24.4360326267,-50.00840643875611
RML,454858.43417832087,691434.416433133,-454858.43417832087,4119400,2.0,-24.4360326267,-50.00840643875611
RMO,366533.9744672406,942297.4565848153,-366533.9744672406,4119400,2.0,-24.4360326267,-50.00840643875611
RMR,143879.18772715345,369778.45681111753,-143879.18772715345,4119400,2.0,-24.4360326267,-50.00840643875611
RMS,296600.6407183105,591044.1280977956,-296600.6407183105,4119400,2.0,-24.4360326267,-50.00840643875611
RRI,108904.95608567006,527302.035868056,108904.95608567006,4119400,2.0,-24.4360326267,-50.00840643875611
SLATB,0.0,0.0,0.0,4119400,2.0,-24.4360326267,-50.00840643875611
SPAN,842294.2336158615,2125162.5862290123,839982.2002059709,4119400,2.0,-24.4360326267,-50.00840643875611
TBASE,508861.8476988811,1519498.2488070559,505713.23882474174,4119400,2.0,-24.4360326267,-50.00840643875611
TBASEM,91882.06377034746,208420.70241910478,4957.417180510466,4119400,2.0,-24.4360326267,-50.00840643875611
TDWI,712419.5716434799,2113198.190196667,642962.8286719456,4119400,2.0,-24.4360326267,-50.00840643875611
TEFFMX,6781.180105857945,23716.175495412048,-1669.0656299001735,4119400,2.0,-24.4360326267,-50.00840643875611
TSUM1,780777.8780800193,2005204.4257554472,-239939.44679622835,4119400,2.0,-24.4360326267,-50.00840643875611
TSUM2,986872.2363256941,1848807.5303747498,924478.024889053,4119400,2.0,-24.4360326267,-50.00840643875611
TSUMEM,60079.35109160462,203273.3631224242,-27496.58501271273,4119400,2.0,-24.4360326267,-50.00840643875611
