parameter,mu_star,sigma,mu,point_id,cluster_id,latitude,longitude
AMAXTB000,64954.52296601658,238775.6002885557,13770.82030950667,4112801,0.0,-23.43663289205,-49.90503622726727
AMAXTB014,256073.1578531874,644324.1378824208,194606.6858503362,4112801,0.0,-23.43663289205,-49.90503622726727
AMAXTB082,1993510.0619951286,3993644.0186619265,1993510.0619951286,4112801,0.0,-23.43663289205,-49.90503622726727
AMAXTB200,2047860.897275528,3448414.9214538774,2047860.897275528,4112801,0.0,-23.43663289205,-49.90503622726727
TMPFTB000,0.0,0.0,0.0,4112801,0.0,-23.43663289205,-49.90503622726727
TMPFTB008,351.9568629502044,932.6656672502817,245.62352912901488,4112801,0.0,-23.43663289205,-49.90503622726727
TMPFTB020,1739331.3877803767,2673671.005673228,1739331.3877803767,4112801,0.0,-23.43663289205,-49.90503622726727
TMPFTB035,1662082.0255059546,3109251.042939847,1662082.0255059546,4112801,0.0,-23.43663289205,-49.90503622726727
TMPFTB045,0.0,0.0,0.0,4112801,0.0,-23.43663289205,-49.90503622726727
EFFTB000,0.0,0.0,0.0,4112801,0.0,-23.43663289205,-49.90503622726727
EFFTB040,0.0,0.0,0.0,4112801,0.0,-23.43663289205,-49.90503622726727
SLATB000,291948.9366072512,713557.5467895785,242721.7346341414,4112801,0.0,-23.43663289205,-49.90503622726727
SLATB021,83367.00840839818,315910.1806247835,56547.27101230439,4112801,0.0,-23.43663289205,-49.90503622726727
SLATB029,189939.28800098496,898738.984860749,173691.02159054633,4112801,0.0,-23.43663289205,-49.90503622726727
SLATB064,315626.9425779128,971028.0248007374,286385.8170105358,4112801,0.0,-23.43663289205,-49.90503622726727
SLATB100,1316057.514528749,2552317.4208708694,1315118.1817479641,4112801,0.0,-23.43663289205,-49.90503622726727
SLATB200,306522.6565151785,777232.5839801816,306522.6565151785,4112801,0.0,-23.43663289205,-49.90503622726727
RFSETB000,179617.1245402473,463407.27281120647,-179617.1245402473,4112801,0.0,-23.43663289205,-49.90503622726727
RFSETB200,608651.28962242,1361140.44372984,-608651.28962242,4112801,0.0,-23.43663289205,-49.90503622726727
CFET,49814.78125642334,369932.8186164243,-48956.70644832027,4112801,0.0,-23.43663289205,-49.90503622726727
CVL,129903.93866061524,253451.0421605324,126162.5822451342,4112801,0.0,-23.43663289205,-49.90503622726727
CVO,906557.5768556929,1736008.7357568103,906557.5768556929,4112801,0.0,-23.43663289205,-49.90503622726727
CVR,36859.40366339016,115096.48036440044,33762.27701189867,4112801,0.0,-23.43663289205,-49.90503622726727
CVS,54922.373643280815,102386.33393936342,54922.373643280815,4112801,0.0,-23.43663289205,-49.90503622726727
DEPNR,15405.59220031941,95309.11088595547,15405.59220031941,4112801,0.0,-23.43663289205,-49.90503622726727
DLC,626357.538979406,2626637.2929563816,-626357.538979406,4112801,0.0,-23.43663289205,-49.90503622726727
DLO,28655.135677138256,127577.65960413785,1511.7044463208395,4112801,0.0,-23.43663289205,-49.90503622726727
DVSEND,3519712.384732396,4941494.758733682,3519712.384732396,4112801,0.0,-23.43663289205,-49.90503622726727
DVSI,0.0,0.0,0.0,4112801,0.0,-23.43663289205,-49.90503622726727
IAIRDU,57019.89810827552,312333.1542741916,56329.26878624272,4112801,0.0,-23.43663289205,-49.90503622726727
IDSL,1141004.8959914937,3295426.8777890843,-1041280.7341396089,4112801,0.0,-23.43663289205,-49.90503622726727
IOX,15002.414419494677,78302.77728121325,-15002.414419494677,4112801,0.0,-23.43663289205,-49.90503622726727
PERDL,2584.001704489741,14045.713474851316,-2442.528210065582,4112801,0.0,-23.43663289205,-49.90503622726727
Q10,10539.606257406576,18600.725675833677,10463.802363069539,4112801,0.0,-23.43663289205,-49.90503622726727
RDMCR,18383.76775058127,167153.0855468031,18383.76775058127,4112801,0.0,-23.43663289205,-49.90503622726727
RDI,44977.54687753014,269709.1054892927,17267.104311025585,4112801,0.0,-23.43663289205,-49.90503622726727
RGRLAI,63838.51131621827,630861.3383493266,62872.395583793455,4112801,0.0,-23.43663289205,-49.90503622726727
RML,355029.24643479055,739545.4953827718,-355029.24643479055,4112801,0.0,-23.43663289205,-49.90503622726727
RMO,528762.6091959507,1642476.759744797,-528762.6091959507,4112801,0.0,-23.43663289205,-49.90503622726727
RMR,86206.48029520581,138668.14515334036,-86206.48029520581,4112801,0.0,-23.43663289205,-49.90503622726727
RMS,187541.66759767194,349447.3646797607,-187541.66759767194,4112801,0.0,-23.43663289205,-49.90503622726727
RRI,94230.12006396348,391937.058677272,94230.12006396348,4112801,0.0,-23.43663289205,-49.90503622726727
SLATB,0.0,0.0,0.0,4112801,0.0,-23.43663289205,-49.90503622726727
SPAN,1211647.5443448748,2387972.7401714902,1210548.600654199,4112801,0.0,-23.43663289205,-49.90503622726727
TBASE,236700.7441419916,674517.4487279787,212096.1515734153,4112801,0.0,-23.43663289205,-49.90503622726727
TBASEM,63488.00959738942,155120.42678934004,-8906.25768622532,4112801,0.0,-23.43663289205,-49.90503622726727
TDWI,1298060.4909566126,3692937.4584708177,1231920.9039611463,4112801,0.0,-23.43663289205,-49.90503622726727
TEFFMX,36975.85104236378,97528.9131737595,-19466.544684612112,4112801,0.0,-23.43663289205,-49.90503622726727
TSUM1,667285.4539235979,1656325.4846219213,13033.744675209964,4112801,0.0,-23.43663289205,-49.90503622726727
TSUM2,1519571.8750237366,3368840.17397606,1473758.6056066516,4112801,0.0,-23.43663289205,-49.90503622726727
TSUMEM,40750.283903851356,107020.84502079943,22823.53965473578,4112801,0.0,-23.43663289205,-49.90503622726727
