parameter,mu_star,sigma,mu,point_id,cluster_id,latitude,longitude
AMAXTB000,137970.7065982515,854226.7472713923,92095.87729327506,4104253,2.0,-25.29786712545,-49.45079459614414
AMAXTB014,228813.5291697304,590135.5017879634,164655.97117995366,4104253,2.0,-25.29786712545,-49.45079459614414
AMAXTB082,1958666.9218564914,3840268.9864422157,1958666.9218564914,4104253,2.0,-25.29786712545,-49.45079459614414
AMAXTB200,2356986.559834877,3621720.243476332,2356986.559834877,4104253,2.0,-25.29786712545,-49.45079459614414
TMPFTB000,0.0,0.0,0.0,4104253,2.0,-25.29786712545,-49.45079459614414
TMPFTB008,57573.97078363113,153369.2536188268,53459.841006423274,4104253,2.0,-25.29786712545,-49.45079459614414
TMPFTB020,2319972.432376809,3645604.7111497163,2319972.432376809,4104253,2.0,-25.29786712545,-49.45079459614414
TMPFTB035,1284558.2324119078,2265167.8630413604,1284558.2324119078,4104253,2.0,-25.29786712545,-49.45079459614414
TMPFTB045,0.0,0.0,0.0,4104253,2.0,-25.29786712545,-49.45079459614414
EFFTB000,0.0,0.0,0.0,4104253,2.0,-25.29786712545,-49.45079459614414
EFFTB040,0.0,0.0,0.0,4104253,2.0,-25.29786712545,-49.45079459614414
SLATB000,300409.4329075717,678139.4642683532,238937.66098531627,4104253,2.0,-25.29786712545,-49.45079459614414
SLATB021,51564.915039705535,119264.31471782622,18886.368812020573,4104253,2.0,-25.29786712545,-49.45079459614414
SLATB029,247157.93635127827,1410193.8171073084,228168.78769634612,4104253,2.0,-25.29786712545,-49.45079459614414
SLATB064,280333.5769612234,791632.4723556889,249314.22834043283,4104253,2.0,-25.29786712545,-49.45079459614414
SLATB100,1209750.9948529257,2355547.623574412,1209149.261171455,4104253,2.0,-25.29786712545,-49.45079459614414
SLATB200,350335.2262094266,838792.0704135343,350335.2262094266,4104253,2.0,-25.29786712545,-49.45079459614414
RFSETB000,173145.394551496,376000.21608970035,-173145.394551496,4104253,2.0,-25.29786712545,-49.45079459614414
RFSETB200,685828.014072342,1299531.1732817164,-685828.014072342,4104253,2.0,-25.29786712545,-49.45079459614414
CFET,15217.181722658892,109217.44760700612,-13795.248463389571,4104253,2.0,-25.29786712545,-49.45079459614414
CVL,147222.89277031535,315990.3340493474,139429.06774144826,4104253,2.0,-25.29786712545,-49.45079459614414
CVO,1096729.19656856,1947797.8888383738,1096729.19656856,4104253,2.0,-25.29786712545,-49.45079459614414
CVR,29673.3831843299,108915.26515878856,26472.612074856475,4104253,2.0,-25.29786712545,-49.45079459614414
CVS,54367.20737582748,81621.8382099974,54367.20737582748,4104253,2.0,-25.29786712545,-49.45079459614414
DEPNR,10578.46035572667,45430.1740787591,10578.46035572667,4104253,2.0,-25.29786712545,-49.45079459614414
DLC,270416.35824874754,1336743.031030229,-266799.2267981302,4104253,2.0,-25.29786712545,-49.45079459614414
DLO,165809.0585071245,1070097.38887051,-157214.39653922681,4104253,2.0,-25.29786712545,-49.45079459614414
DVSEND,4140831.5015345174,5508131.972299228,4140831.5015345174,4104253,2.0,-25.29786712545,-49.45079459614414
DVSI,0.0,0.0,0.0,4104253,2.0,-25.29786712545,-49.45079459614414
IAIRDU,36646.69965746068,189885.1520329139,36309.45159838246,4104253,2.0,-25.29786712545,-49.45079459614414
IDSL,953529.835047321,3142139.1544321678,-789125.5439378873,4104253,2.0,-25.29786712545,-49.45079459614414
IOX,17246.75861723038,98744.04371207059,-17246.75861723038,4104253,2.0,-25.29786712545,-49.45079459614414
PERDL,9161.783426478527,74828.30132061325,-9070.152142407263,4104253,2.0,-25.29786712545,-49.45079459614414
Q10,53044.60194972559,101016.85536321031,53044.60194972559,4104253,2.0,-25.29786712545,-49.45079459614414
RDMCR,17600.8747945016,94755.16227971161,17600.8747945016,4104253,2.0,-25.29786712545,-49.45079459614414
RDI,38491.899804299224,217764.81884497887,25741.67681683405,4104253,2.0,-25.29786712545,-49.45079459614414
RGRLAI,67960.92928751711,673541.7888916655,66855.90900421406,4104253,2.0,-25.29786712545,-49.45079459614414
RML,365438.2682472816,644701.8316854236,-365438.2682472816,4104253,2.0,-25.29786712545,-49.45079459614414
RMO,516402.75758777646,1681829.787923495,-516402.75758777646,4104253,2.0,-25.29786712545,-49.45079459614414
RMR,155833.1337683525,380993.43669938383,-155833.1337683525,4104253,2.0,-25.29786712545,-49.45079459614414
RMS,258482.73877666853,455210.6393726069,-258482.73877666853,4104253,2.0,-25.29786712545,-49.45079459614414
RRI,60251.14121653189,246312.6867602783,60251.14121653189,4104253,2.0,-25.29786712545,-49.45079459614414
SLATB,0.0,0.0,0.0,4104253,2.0,-25.29786712545,-49.45079459614414
SPAN,1444720.8692581838,2702390.371567337,1443140.8138876439,4104253,2.0,-25.29786712545,-49.45079459614414
TBASE,374343.0728659061,990788.0536714303,336240.0432416618,4104253,2.0,-25.29786712545,-49.45079459614414
TBASEM,76893.2014642388,194715.9356597212,-26945.315311834005,4104253,2.0,-25.29786712545,-49.45079459614414
TDWI,1280144.2658923697,3425460.013867253,1169549.277216339,4104253,2.0,-25.29786712545,-49.45079459614414
TEFFMX,11842.57928117097,38366.68501213424,2132.8486376448986,4104253,2.0,-25.29786712545,-49.45079459614414
TSUM1,758414.652585077,1982990.0151735395,-120729.79981257486,4104253,2.0,-25.29786712545,-49.45079459614414
TSUM2,1663271.1504926274,3879966.603134196,1616544.472283735,4104253,2.0,-25.29786712545,-49.45079459614414
TSUMEM,49484.854476442604,117088.20089246589,-9352.26244085464,4104253,2.0,-25.29786712545,-49.45079459614414
