parameter,mu_star,sigma,mu,point_id,cluster_id,latitude,longitude
AMAXTB000,61799.16268913008,194509.80158564262,44704.99393513546,4113908,2.0,-25.89625813785,-50.84081852624392
AMAXTB014,288834.2629079788,732583.6220489587,251626.93097497005,4113908,2.0,-25.89625813785,-50.84081852624392
AMAXTB082,1383020.4405134043,2405975.2167704026,1383020.4405134043,4113908,2.0,-25.89625813785,-50.84081852624392
AMAXTB200,2113331.113800891,3643113.4222869608,2113331.113800891,4113908,2.0,-25.89625813785,-50.84081852624392
TMPFTB000,0.0,0.0,0.0,4113908,2.0,-25.89625813785,-50.84081852624392
TMPFTB008,35522.58981211901,123007.84153500751,33061.99769091554,4113908,2.0,-25.89625813785,-50.84081852624392
TMPFTB020,2474111.327276434,3522947.0842129365,2474111.327276434,4113908,2.0,-25.89625813785,-50.84081852624392
TMPFTB035,1222691.3034631538,2982127.2458782396,1222691.3034631538,4113908,2.0,-25.89625813785,-50.84081852624392
TMPFTB045,0.0,0.0,0.0,4113908,2.0,-25.89625813785,-50.84081852624392
EFFTB000,0.0,0.0,0.0,4113908,2.0,-25.89625813785,-50.84081852624392
EFFTB040,0.0,0.0,0.0,4113908,2.0,-25.89625813785,-50.84081852624392
SLATB000,518739.8619993092,1290627.6464795775,434895.39673499134,4113908,2.0,-25.89625813785,-50.84081852624392
SLATB021,68535.62405085015,213468.05772228612,44511.61620764663,4113908,2.0,-25.89625813785,-50.84081852624392
SLATB029,162502.4865471065,576392.7242267136,119343.40626116098,4113908,2.0,-25.89625813785,-50.84081852624392
SLATB064,323107.8740253842,892245.3875068151,287373.3167316348,4113908,2.0,-25.89625813785,-50.84081852624392
SLATB100,1452009.1545315257,2881272.4512918643,1452009.1545315257,4113908,2.0,-25.89625813785,-50.84081852624392
SLATB200,366369.84270942217,1179836.8462017272,366369.84270942217,4113908,2.0,-25.89625813785,-50.84081852624392
RFSETB000,173146.23800598647,364258.2807224894,-173146.23800598647,4113908,2.0,-25.89625813785,-50.84081852624392
RFSETB200,677186.705575068,1300168.1094566141,-677186.705575068,4113908,2.0,-25.89625813785,-50.84081852624392
CFET,20802.4677485862,76484.38018390947,-20802.4677485862,4113908,2.0,-25.89625813785,-50.84081852624392
CVL,206512.3302644885,417464.36108291906,205045.8628278894,4113908,2.0,-25.89625813785,-50.84081852624392
CVO,891677.0126748532,2035482.126728151,891677.0126748532,4113908,2.0,-25.89625813785,-50.84081852624392
CVR,17838.684329316224,35030.46130931028,11025.446298765075,4113908,2.0,-25.89625813785,-50.84081852624392
CVS,60892.64628271796,143110.39259117487,60892.64628271796,4113908,2.0,-25.89625813785,-50.84081852624392
DEPNR,19876.548448472236,80756.15921078024,19876.548448472236,4113908,2.0,-25.89625813785,-50.84081852624392
DLC,522313.85220218095,2474430.804512306,-447179.2946425651,4113908,2.0,-25.89625813785,-50.84081852624392
DLO,6134.769692560372,47599.70325634774,-5412.6835081170975,4113908,2.0,-25.89625813785,-50.84081852624392
DVSEND,4339350.643049226,6073431.107082197,4339350.643049226,4113908,2.0,-25.89625813785,-50.84081852624392
DVSI,0.0,0.0,0.0,4113908,2.0,-25.89625813785,-50.84081852624392
IAIRDU,7917.4668373403265,63663.4861787629,7912.084175140796,4113908,2.0,-25.89625813785,-50.84081852624392
IDSL,909417.2765441012,3241932.8802159815,-855798.7310410106,4113908,2.0,-25.89625813785,-50.84081852624392
IOX,2995.265828053812,23786.35164167822,-2994.1213008480713,4113908,2.0,-25.89625813785,-50.84081852624392
PERDL,5481.384791470012,51909.86314526636,-5479.455242170012,4113908,2.0,-25.89625813785,-50.84081852624392
Q10,48563.795797339786,117211.3584979427,48563.795797339786,4113908,2.0,-25.89625813785,-50.84081852624392
RDMCR,2575.080898684525,20581.749779918642,2575.080898684525,4113908,2.0,-25.89625813785,-50.84081852624392
RDI,132936.2608625726,684737.8567626625,129107.56596069066,4113908,2.0,-25.89625813785,-50.84081852624392
RGRLAI,1485.1658240005574,9141.807321208336,903.8101787102859,4113908,2.0,-25.89625813785,-50.84081852624392
RML,462833.2153451321,773921.5479195433,-462833.2153451321,4113908,2.0,-25.89625813785,-50.84081852624392
RMO,312957.5507868672,836559.8664888231,-312957.5507868672,4113908,2.0,-25.89625813785,-50.84081852624392
RMR,152855.60926041953,335779.3555321131,-152855.60926041953,4113908,2.0,-25.89625813785,-50.84081852624392
RMS,279859.5370562356,547988.2504777969,-279859.5370562356,4113908,2.0,-25.89625813785,-50.84081852624392
RRI,94383.31588183204,545845.9806905001,94161.86374785045,4113908,2.0,-25.89625813785,-50.84081852624392
SLATB,0.0,0.0,0.0,4113908,2.0,-25.89625813785,-50.84081852624392
SPAN,752613.3192757842,1746865.0013911205,750787.0493059829,4113908,2.0,-25.89625813785,-50.84081852624392
TBASE,413047.911302421,1240148.6655590949,410486.48961800506,4113908,2.0,-25.89625813785,-50.84081852624392
TBASEM,90667.35853009339,186917.0771621548,26040.018988894884,4113908,2.0,-25.89625813785,-50.84081852624392
TDWI,906472.4319039093,2358458.0503694634,861780.0928647385,4113908,2.0,-25.89625813785,-50.84081852624392
TEFFMX,7216.338654265495,25179.80161086699,244.3414470443927,4113908,2.0,-25.89625813785,-50.84081852624392
TSUM1,834243.591590436,1952295.4076677135,-94483.38913564457,4113908,2.0,-25.89625813785,-50.84081852624392
TSUM2,940015.5448007939,1752233.08790116,911948.7512725992,4113908,2.0,-25.89625813785,-50.84081852624392
TSUMEM,48548.08522062752,145698.67071629397,10013.134061405488,4113908,2.0,-25.89625813785,-50.84081852624392
