parameter,mu_star,sigma,mu,point_id,cluster_id,latitude,longitude
AMAXTB000,47038.399645965015,116031.92582135179,36842.75036283186,4101101,0.0,-23.02220865225,-50.27507231096658
AMAXTB014,281849.00588110747,845533.6478518653,242560.17590469564,4101101,0.0,-23.02220865225,-50.27507231096658
AMAXTB082,1427451.69171862,2762443.6532286336,1427451.69171862,4101101,0.0,-23.02220865225,-50.27507231096658
AMAXTB200,1895967.0629886824,3711844.514179119,1895967.0629886824,4101101,0.0,-23.02220865225,-50.27507231096658
TMPFTB000,0.0,0.0,0.0,4101101,0.0,-23.02220865225,-50.27507231096658
TMPFTB008,0.0,0.0,0.0,4101101,0.0,-23.02220865225,-50.27507231096658
TMPFTB020,1492000.3207585176,2684488.5104649127,1492000.3207585176,4101101,0.0,-23.02220865225,-50.27507231096658
TMPFTB035,1968537.3502377889,4266304.557416672,1968537.3502377889,4101101,0.0,-23.02220865225,-50.27507231096658
TMPFTB045,0.0,0.0,0.0,4101101,0.0,-23.02220865225,-50.27507231096658
EFFTB000,0.0,0.0,0.0,4101101,0.0,-23.02220865225,-50.27507231096658
EFFTB040,0.0,0.0,0.0,4101101,0.0,-23.02220865225,-50.27507231096658
SLATB000,636415.0368481652,1551504.745787975,556028.3940652185,4101101,0.0,-23.02220865225,-50.27507231096658
SLATB021,60014.172136889494,196666.24772088512,43030.82338157443,4101101,0.0,-23.02220865225,-50.27507231096658
SLATB029,162547.75241338776,491677.40689514147,131069.01999149771,4101101,0.0,-23.02220865225,-50.27507231096658
SLATB064,297821.65618019016,632419.3187491163,267882.8412540544,4101101,0.0,-23.02220865225,-50.27507231096658
SLATB100,1255502.0241391503,2037997.542667361,1255502.0241391503,4101101,0.0,-23.02220865225,-50.27507231096658
SLATB200,345147.61491810955,1183197.5816319562,345121.16027272574,4101101,0.0,-23.02220865225,-50.27507231096658
RFSETB000,220766.6182405568,830804.240959815,-220766.6182405568,4101101,0.0,-23.02220865225,-50.27507231096658
RFSETB200,631159.8086435157,1222219.0514352862,-631159.8086435157,4101101,0.0,-23.02220865225,-50.27507231096658
CFET,34277.40703317044,199745.53068199081,-31659.338953043698,4101101,0.0,-23.02220865225,-50.27507231096658
CVL,200539.46839966753,416018.5861756367,197672.02090047553,4101101,0.0,-23.02220865225,-50.27507231096658
CVO,818886.0899767391,1884398.7302930674,818886.0899767391,4101101,0.0,-23.02220865225,-50.27507231096658
CVR,17450.754186670183,34925.17165871912,9782.161629067818,4101101,0.0,-23.02220865225,-50.27507231096658
CVS,48942.6585918143,113631.8636028631,48942.6585918143,4101101,0.0,-23.02220865225,-50.27507231096658
DEPNR,42707.0963685468,222349.7153715727,42190.500903432236,4101101,0.0,-23.02220865225,-50.27507231096658
DLC,385149.25471146347,2109554.1599965165,-385149.25471146347,4101101,0.0,-23.02220865225,-50.27507231096658
DLO,9742.644064787035,61292.345222794305,-8263.911133445827,4101101,0.0,-23.02220865225,-50.27507231096658
DVSEND,3741332.742016077,5339672.022916268,3741332.742016077,4101101,0.0,-23.02220865225,-50.27507231096658
DVSI,0.0,0.0,0.0,4101101,0.0,-23.02220865225,-50.27507231096658
IAIRDU,8265.400483729685,43968.93584630365,8228.784786828506,4101101,0.0,-23.02220865225,-50.27507231096658
IDSL,776174.8605836534,2803655.9928234667,-690438.7757794084,4101101,0.0,-23.02220865225,-50.27507231096658
IOX,18691.784493660743,92590.93380390773,-18691.784493660743,4101101,0.0,-23.02220865225,-50.27507231096658
PERDL,2140.0449395724595,10975.213599166387,-2140.0449395724595,4101101,0.0,-23.02220865225,-50.27507231096658
Q10,12422.090020735637,37400.92765593303,-11030.194337508794,4101101,0.0,-23.02220865225,-50.27507231096658
RDMCR,3183.9615011879982,24723.782013180058,3183.9615011879982,4101101,0.0,-23.02220865225,-50.27507231096658
RDI,48462.96727021731,221313.21639813538,48419.407278440616,4101101,0.0,-23.02220865225,-50.27507231096658
RGRLAI,1137.4469773531157,6879.096479282172,-90.15678892521777,4101101,0.0,-23.02220865225,-50.27507231096658
RML,405913.618281476,649631.4771251004,-405913.618281476,4101101,0.0,-23.02220865225,-50.27507231096658
RMO,260402.49109092116,720994.0034313395,-260402.49109092116,4101101,0.0,-23.02220865225,-50.27507231096658
RMR,209317.68059728184,656525.722360101,-209317.68059728184,4101101,0.0,-23.02220865225,-50.27507231096658
RMS,284044.2139844677,553243.0247368217,-284044.2139844677,4101101,0.0,-23.02220865225,-50.27507231096658
RRI,68726.30020172431,245881.36351167326,67935.0446780858,4101101,0.0,-23.02220865225,-50.27507231096658
SLATB,0.0,0.0,0.0,4101101,0.0,-23.02220865225,-50.27507231096658
SPAN,665708.7614584359,1453982.1847788708,664317.9350560232,4101101,0.0,-23.02220865225,-50.27507231096658
TBASE,253292.9235043664,743369.3305535759,251800.16808214222,4101101,0.0,-23.02220865225,-50.27507231096658
TBASEM,74337.8318469741,177053.3439620221,-20481.606496018754,4101101,0.0,-23.02220865225,-50.27507231096658
TDWI,1090289.6702605875,2692733.632416539,1049254.159047249,4101101,0.0,-23.02220865225,-50.27507231096658
TEFFMX,23788.600564623623,69149.89613958426,2860.354363075726,4101101,0.0,-23.02220865225,-50.27507231096658
TSUM1,456439.0143847487,1093240.2575713007,183729.4431749303,4101101,0.0,-23.02220865225,-50.27507231096658
TSUM2,894666.9379573327,1810097.2469324025,869097.7800534917,4101101,0.0,-23.02220865225,-50.27507231096658
TSUMEM,51256.18444819536,132023.50424661918,-7001.159879065077,4101101,0.0,-23.02220865225,-50.27507231096658
