parameter,mu_star,sigma,mu,point_id,cluster_id,latitude,longitude
AMAXTB000,156009.06951864006,878742.5604133125,96939.83341509996,4107405,1.0,-25.88150506855,-53.12139326232225
AMAXTB014,249530.5097708001,585109.7256306945,175263.1859316654,4107405,1.0,-25.88150506855,-53.12139326232225
AMAXTB082,2050466.0502691825,3989351.084510379,2050466.0502691825,4107405,1.0,-25.88150506855,-53.12139326232225
AMAXTB200,2388062.1817255206,3681423.320229338,2388062.1817255206,4107405,1.0,-25.88150506855,-53.12139326232225
TMPFTB000,0.0,0.0,0.0,4107405,1.0,-25.88150506855,-53.12139326232225
TMPFTB008,6708.0484490120325,18663.446497705663,5620.434111437807,4107405,1.0,-25.88150506855,-53.12139326232225
TMPFTB020,1830268.8998842742,2739856.6721816645,1830268.8998842742,4107405,1.0,-25.88150506855,-53.12139326232225
TMPFTB035,1792318.3061423248,3011008.984516403,1792318.3061423248,4107405,1.0,-25.88150506855,-53.12139326232225
TMPFTB045,0.0,0.0,0.0,4107405,1.0,-25.88150506855,-53.12139326232225
EFFTB000,0.0,0.0,0.0,4107405,1.0,-25.88150506855,-53.12139326232225
EFFTB040,0.0,0.0,0.0,4107405,1.0,-25.88150506855,-53.12139326232225
SLATB000,321005.8512123829,760093.5464191923,266467.493930659,4107405,1.0,-25.88150506855,-53.12139326232225
SLATB021,74698.97900031602,304058.6858829157,49793.64792452707,4107405,1.0,-25.88150506855,-53.12139326232225
SLATB029,265691.1313863048,1537953.493453186,251204.92341983534,4107405,1.0,-25.88150506855,-53.12139326232225
SLATB064,296166.4726432022,852461.5206560892,268027.4522751719,4107405,1.0,-25.88150506855,-53.12139326232225
SLATB100,1374732.2252452467,2615498.180532508,1373906.0006410077,4107405,1.0,-25.88150506855,-53.12139326232225
SLATB200,345086.65510406956,816989.8719314205,345086.65510406956,4107405,1.0,-25.88150506855,-53.12139326232225
RFSETB000,170590.9088895438,393651.0064259704,-170590.9088895438,4107405,1.0,-25.88150506855,-53.12139326232225
RFSETB200,660762.0783304002,1377687.6794580226,-660762.0783304002,4107405,1.0,-25.88150506855,-53.12139326232225
CFET,33785.869322328246,223716.9581098422,-31563.596140028756,4107405,1.0,-25.88150506855,-53.12139326232225
CVL,141283.34929877656,279709.0507970961,132444.2995570317,4107405,1.0,-25.88150506855,-53.12139326232225
CVO,968017.7261462868,1777240.081654119,968017.7261462868,4107405,1.0,-25.88150506855,-53.12139326232225
CVR,32292.187378288076,107274.39371124103,29422.2371281803,4107405,1.0,-25.88150506855,-53.12139326232225
CVS,60507.833979128154,97905.26403931476,60468.6473905498,4107405,1.0,-25.88150506855,-53.12139326232225
DEPNR,17982.083167627745,94124.30969536892,17980.87186485084,4107405,1.0,-25.88150506855,-53.12139326232225
DLC,330616.1887536921,1524764.8901826579,-330616.1887536921,4107405,1.0,-25.88150506855,-53.12139326232225
DLO,171485.34523869865,1081257.8446542446,-137940.85757287918,4107405,1.0,-25.88150506855,-53.12139326232225
DVSEND,3725475.16952432,5023204.776622023,3725475.16952432,4107405,1.0,-25.88150506855,-53.12139326232225
DVSI,0.0,0.0,0.0,4107405,1.0,-25.88150506855,-53.12139326232225
IAIRDU,137036.29169324442,1027375.945628029,136642.18108233946,4107405,1.0,-25.88150506855,-53.12139326232225
IDSL,941991.138046577,3095260.304799552,-805793.5780637716,4107405,1.0,-25.88150506855,-53.12139326232225
IOX,6807.378593784153,55305.23798265336,-6807.378593784153,4107405,1.0,-25.88150506855,-53.12139326232225
PERDL,6064.252269057459,29187.63303112458,-6043.1553652371,4107405,1.0,-25.88150506855,-53.12139326232225
Q10,16700.43500246449,30831.50438538086,16272.880325551685,4107405,1.0,-25.88150506855,-53.12139326232225
RDMCR,36043.264409909054,208146.97159384182,36043.264409909054,4107405,1.0,-25.88150506855,-53.12139326232225
RDI,39906.50257652702,197934.29491449308,23164.255257180015,4107405,1.0,-25.88150506855,-53.12139326232225
RGRLAI,66410.19441015899,657987.9514953388,65692.35036284332,4107405,1.0,-25.88150506855,-53.12139326232225
RML,378423.51283278206,712026.7732369495,-378423.51283278206,4107405,1.0,-25.88150506855,-53.12139326232225
RMO,523345.0376474492,1608945.4705766586,-523345.0376474492,4107405,1.0,-25.88150506855,-53.12139326232225
RMR,151772.47972197947,432178.77455791476,-151772.47972197947,4107405,1.0,-25.88150506855,-53.12139326232225
RMS,332636.6903626285,1116568.7383467876,-332636.6903626285,4107405,1.0,-25.88150506855,-53.12139326232225
RRI,91038.12692113113,351359.60600405437,90293.43200670181,4107405,1.0,-25.88150506855,-53.12139326232225
SLATB,0.0,0.0,0.0,4107405,1.0,-25.88150506855,-53.12139326232225
SPAN,1353884.7588108196,2538745.061607534,1352713.6647695077,4107405,1.0,-25.88150506855,-53.12139326232225
TBASE,268214.91853227495,747689.2525960078,241157.01040290325,4107405,1.0,-25.88150506855,-53.12139326232225
TBASEM,68827.99205171395,144390.9200344903,9164.900910062403,4107405,1.0,-25.88150506855,-53.12139326232225
TDWI,1295121.9300753782,3616642.719446961,1192420.4830150674,4107405,1.0,-25.88150506855,-53.12139326232225
TEFFMX,23412.22525734923,71558.12601022398,3395.3641755486665,4107405,1.0,-25.88150506855,-53.12139326232225
TSUM1,765140.9178106238,2005798.7828494245,-32414.455305566047,4107405,1.0,-25.88150506855,-53.12139326232225
TSUM2,1496794.8568048219,3356873.7164529525,1466113.5158408955,4107405,1.0,-25.88150506855,-53.12139326232225
TSUMEM,47685.48512949582,114140.26231500441,-2249.842234018095,4107405,1.0,-25.88150506855,-53.12139326232225
