parameter,mu_star,sigma,mu,point_id,cluster_id,latitude,longitude
AMAXTB000,164454.44492712946,861953.5821296006,100002.02676979564,4126355,3.0,-25.47738067805,-54.02443491502498
AMAXTB014,243663.13606471926,598741.4525344054,172774.77641690575,4126355,3.0,-25.47738067805,-54.02443491502498
AMAXTB082,1915975.0706973928,3734148.2634235034,1915975.0706973928,4126355,3.0,-25.47738067805,-54.02443491502498
AMAXTB200,2009310.487069208,3336536.9392750864,2009310.487069208,4126355,3.0,-25.47738067805,-54.02443491502498
TMPFTB000,0.0,0.0,0.0,4126355,3.0,-25.47738067805,-54.02443491502498
TMPFTB008,2070.317038943829,5264.061187623905,1428.8131333858892,4126355,3.0,-25.47738067805,-54.02443491502498
TMPFTB020,1161086.7146966397,1815556.2533822984,1161086.7146966397,4126355,3.0,-25.47738067805,-54.02443491502498
TMPFTB035,2030357.953098903,3328608.8080178155,2030357.953098903,4126355,3.0,-25.47738067805,-54.02443491502498
TMPFTB045,0.0,0.0,0.0,4126355,3.0,-25.47738067805,-54.02443491502498
EFFTB000,0.0,0.0,0.0,4126355,3.0,-25.47738067805,-54.02443491502498
EFFTB040,0.0,0.0,0.0,4126355,3.0,-25.47738067805,-54.02443491502498
SLATB000,312687.2064576486,740316.4473625108,261478.1137074542,4126355,3.0,-25.47738067805,-54.02443491502498
SLATB021,73622.76896143144,331033.63371548365,49626.537872025765,4126355,3.0,-25.47738067805,-54.02443491502498
SLATB029,113678.02661254565,380771.57701126335,100785.8310531614,4126355,3.0,-25.47738067805,-54.02443491502498
SLATB064,301603.0025923701,1027697.0055265703,286643.80649918877,4126355,3.0,-25.47738067805,-54.02443491502498
SLATB100,1321768.0799239727,2568992.99059685,1321449.8182711422,4126355,3.0,-25.47738067805,-54.02443491502498
SLATB200,295552.7735545747,690345.203192359,295552.7735545747,4126355,3.0,-25.47738067805,-54.02443491502498
RFSETB000,182697.35752232603,389585.33832505153,-182697.35752232603,4126355,3.0,-25.47738067805,-54.02443491502498
RFSETB200,604872.931966006,1383420.5432241848,-604872.931966006,4126355,3.0,-25.47738067805,-54.02443491502498
CFET,74923.99427212815,500559.02699267206,-70987.9476852645,4126355,3.0,-25.47738067805,-54.02443491502498
CVL,133100.13537549772,236340.231464308,126716.07806395405,4126355,3.0,-25.47738067805,-54.02443491502498
CVO,755787.0973850773,1468188.8213309406,755787.0973850773,4126355,3.0,-25.47738067805,-54.02443491502498
CVR,33352.73934377042,104540.21558274298,30979.72534788563,4126355,3.0,-25.47738067805,-54.02443491502498
CVS,66091.25344212973,129630.2323761304,65871.83788559068,4126355,3.0,-25.47738067805,-54.02443491502498
DEPNR,17617.33422521635,70533.76231868523,17617.33422521635,4126355,3.0,-25.47738067805,-54.02443491502498
DLC,311216.1765423717,1388018.4065922778,-311216.1765423717,4126355,3.0,-25.47738067805,-54.02443491502498
DLO,141155.5651705822,976202.4893232884,-113884.18860975547,4126355,3.0,-25.47738067805,-54.02443491502498
DVSEND,3096552.2863307386,4372896.658626713,3096552.2863307386,4126355,3.0,-25.47738067805,-54.02443491502498
DVSI,0.0,0.0,0.0,4126355,3.0,-25.47738067805,-54.02443491502498
IAIRDU,88668.68998031542,626112.1596072904,88254.36700624769,4126355,3.0,-25.47738067805,-54.02443491502498
IDSL,886698.9688754604,2824240.5662691034,-723490.587887404,4126355,3.0,-25.47738067805,-54.02443491502498
IOX,2138.7308910952925,14456.76732909726,-2138.7308910952925,4126355,3.0,-25.47738067805,-54.02443491502498
PERDL,4000.0486854158185,20551.258643491747,-3988.9796606144896,4126355,3.0,-25.47738067805,-54.02443491502498
Q10,25876.69713016726,78710.96237259738,-23081.04414304612,4126355,3.0,-25.47738067805,-54.02443491502498
RDMCR,15722.740414776701,120926.06190714633,15722.740414776701,4126355,3.0,-25.47738067805,-54.02443491502498
RDI,57902.88230018291,272673.25773071253,32984.77684762739,4126355,3.0,-25.47738067805,-54.02443491502498
RGRLAI,36452.83900379475,358179.80418619805,36174.20523599273,4126355,3.0,-25.47738067805,-54.02443491502498
RML,358825.0365049695,648215.2614779938,-358825.0365049695,4126355,3.0,-25.47738067805,-54.02443491502498
RMO,433330.1116822077,1310609.4584484845,-433330.1116822077,4126355,3.0,-25.47738067805,-54.02443491502498
RMR,150682.9006774271,430058.5009988524,-150682.9006774271,4126355,3.0,-25.47738067805,-54.02443491502498
RMS,283066.7984251723,828438.3224918937,-283066.7984251723,4126355,3.0,-25.47738067805,-54.02443491502498
RRI,113535.039590764,499570.8946060368,113423.55934991613,4126355,3.0,-25.47738067805,-54.02443491502498
SLATB,0.0,0.0,0.0,4126355,3.0,-25.47738067805,-54.02443491502498
SPAN,1163586.5879694507,2273637.4600160364,1163206.596605819,4126355,3.0,-25.47738067805,-54.02443491502498
TBASE,167712.80913898506,472396.41300760594,143318.89306138604,4126355,3.0,-25.47738067805,-54.02443491502498
TBASEM,91437.10402891129,215171.23428929396,48366.06877795087,4126355,3.0,-25.47738067805,-54.02443491502498
TDWI,1253984.3543092245,3532534.520542899,1177821.7610297978,4126355,3.0,-25.47738067805,-54.02443491502498
TEFFMX,40701.63105744763,105857.79787489738,-21487.709387134822,4126355,3.0,-25.47738067805,-54.02443491502498
TSUM1,599279.7093501486,1321991.221589596,164308.34421104108,4126355,3.0,-25.47738067805,-54.02443491502498
TSUM2,1170441.8403478086,2439583.4717925624,1136736.1139604463,4126355,3.0,-25.47738067805,-54.02443491502498
TSUMEM,61119.66346065929,217971.6017318087,27333.49388930406,4126355,3.0,-25.47738067805,-54.02443491502498
