parameter,mu_star,sigma,mu,point_id,cluster_id,latitude,longitude
AMAXTB000,27093.5583909108,61336.87749098794,15793.209253395435,4126405,0.0,-22.95388142685,-50.88815611359601
AMAXTB014,228652.30061780525,713227.3849649468,157467.2008249479,4126405,0.0,-22.95388142685,-50.88815611359601
AMAXTB082,1371404.3028535289,2350677.522228124,1371404.3028535289,4126405,0.0,-22.95388142685,-50.88815611359601
AMAXTB200,1757393.7511767768,2948658.214115671,1757393.7511767768,4126405,0.0,-22.95388142685,-50.88815611359601
TMPFTB000,0.0,0.0,0.0,4126405,0.0,-22.95388142685,-50.88815611359601
TMPFTB008,0.0,0.0,0.0,4126405,0.0,-22.95388142685,-50.88815611359601
TMPFTB020,1172610.898000662,2043154.776759906,1172610.898000662,4126405,0.0,-22.95388142685,-50.88815611359601
TMPFTB035,1537461.8082158181,2893457.919348724,1537461.8082158181,4126405,0.0,-22.95388142685,-50.88815611359601
TMPFTB045,0.0,0.0,0.0,4126405,0.0,-22.95388142685,-50.88815611359601
EFFTB000,0.0,0.0,0.0,4126405,0.0,-22.95388142685,-50.88815611359601
EFFTB040,0.0,0.0,0.0,4126405,0.0,-22.95388142685,-50.88815611359601
SLATB000,698886.1657375543,1733545.808431842,595728.4365661673,4126405,0.0,-22.95388142685,-50.88815611359601
SLATB021,77203.36180856632,174565.08193932247,52244.84760566955,4126405,0.0,-22.95388142685,-50.88815611359601
SLATB029,150345.4371152641,423082.01246749214,120167.29912512291,4126405,0.0,-22.95388142685,-50.88815611359601
SLATB064,224760.1325919526,869931.5635012499,196753.91186518967,4126405,0.0,-22.95388142685,-50.88815611359601
SLATB100,1278852.4038259096,2715433.637417816,1278852.4038259096,4126405,0.0,-22.95388142685,-50.88815611359601
SLATB200,343595.3683499494,1174651.1275877622,343595.3683499494,4126405,0.0,-22.95388142685,-50.88815611359601
RFSETB000,136395.9255521562,243685.61513698293,-136395.9255521562,4126405,0.0,-22.95388142685,-50.88815611359601
RFSETB200,475666.67214429454,916192.1112654821,-475666.67214429454,4126405,0.0,-22.95388142685,-50.88815611359601
CFET,6808.387367474614,37759.04505138922,-5317.761967129303,4126405,0.0,-22.95388142685,-50.88815611359601
CVL,154737.4666336106,352018.8930338261,154737.4666336106,4126405,0.0,-22.95388142685,-50.88815611359601
CVO,796390.2220666984,1523063.6070039724,796390.2220666984,4126405,0.0,-22.95388142685,-50.88815611359601
CVR,8114.1273855921745,22123.964417986157,4622.475538673952,4126405,0.0,-22.95388142685,-50.88815611359601
CVS,69112.82839569154,144926.4072957284,69112.8226841014,4126405,0.0,-22.95388142685,-50.88815611359601
DEPNR,13256.116206247001,71911.4582650798,11940.326099033999,4126405,0.0,-22.95388142685,-50.88815611359601
DLC,514667.3785472041,2213207.772668379,-514667.3785472041,4126405,0.0,-22.95388142685,-50.88815611359601
DLO,28011.29305173207,119800.04108227193,-7574.330401713618,4126405,0.0,-22.95388142685,-50.88815611359601
DVSEND,3609532.625047933,4740137.491219626,3609532.625047933,4126405,0.0,-22.95388142685,-50.88815611359601
DVSI,0.0,0.0,0.0,4126405,0.0,-22.95388142685,-50.88815611359601
IAIRDU,79860.98021051341,534420.5599996103,79349.17511557846,4126405,0.0,-22.95388142685,-50.88815611359601
IDSL,922222.8049222576,3505504.674312726,-914899.2075757886,4126405,0.0,-22.95388142685,-50.88815611359601
IOX,47711.93814346498,309926.2862197866,-47711.93814346498,4126405,0.0,-22.95388142685,-50.88815611359601
PERDL,7673.834479602763,37994.3733246771,-6049.866178125908,4126405,0.0,-22.95388142685,-50.88815611359601
Q10,26232.69478709184,56541.008438448,-26229.22290772747,4126405,0.0,-22.95388142685,-50.88815611359601
RDMCR,14200.570123029645,79974.7325997623,14200.570123029645,4126405,0.0,-22.95388142685,-50.88815611359601
RDI,24953.976132299937,117884.77700280625,24804.79545348256,4126405,0.0,-22.95388142685,-50.88815611359601
RGRLAI,1674.653938790049,10089.417768912946,-1162.2677936660207,4126405,0.0,-22.95388142685,-50.88815611359601
RML,317715.14657276665,508644.84152847546,-317715.14657276665,4126405,0.0,-22.95388142685,-50.88815611359601
RMO,373063.63323212735,984378.1814514309,-373063.63323212735,4126405,0.0,-22.95388142685,-50.88815611359601
RMR,109094.20609321928,199642.4270195054,-109094.20609321928,4126405,0.0,-22.95388142685,-50.88815611359601
RMS,223503.71110595227,456436.72556671215,-223503.71110595227,4126405,0.0,-22.95388142685,-50.88815611359601
RRI,31858.0310138358,148895.57885100076,31733.583591354898,4126405,0.0,-22.95388142685,-50.88815611359601
SLATB,0.0,0.0,0.0,4126405,0.0,-22.95388142685,-50.88815611359601
SPAN,1005986.0681368631,2236738.4725176203,1005044.1665790192,4126405,0.0,-22.95388142685,-50.88815611359601
TBASE,308319.0087969915,699948.631272233,277231.459983427,4126405,0.0,-22.95388142685,-50.88815611359601
TBASEM,48471.623920550825,130467.17755991375,-16019.016654685678,4126405,0.0,-22.95388142685,-50.88815611359601
TDWI,1010221.4434427188,2454731.924564474,967215.1110546461,4126405,0.0,-22.95388142685,-50.88815611359601
TEFFMX,38416.76104693345,120249.22784785274,8089.961314333957,4126405,0.0,-22.95388142685,-50.88815611359601
TSUM1,824778.7353959987,2097415.656258963,596076.4794186195,4126405,0.0,-22.95388142685,-50.88815611359601
TSUM2,766871.7230667372,1495185.1273354972,755752.7425453695,4126405,0.0,-22.95388142685,-50.88815611359601
TSUMEM,41654.153109829414,95888.09535912391,-12140.338685105877,4126405,0.0,-22.95388142685,-50.88815611359601
