parameter,mu_star,sigma,mu,point_id,cluster_id,latitude,longitude
AMAXTB000,141250.7963699029,800395.4872720507,82621.80107253775,4113304,1.0,-25.3095172591,-52.3380184697418
AMAXTB014,258113.1125658466,659034.77314779,180902.83355496492,4113304,1.0,-25.3095172591,-52.3380184697418
AMAXTB082,1999676.521926087,3905549.2681645434,1999676.521926087,4113304,1.0,-25.3095172591,-52.3380184697418
AMAXTB200,2371838.9818155165,3612735.842884741,2371838.9818155165,4113304,1.0,-25.3095172591,-52.3380184697418
TMPFTB000,0.0,0.0,0.0,4113304,1.0,-25.3095172591,-52.3380184697418
TMPFTB008,6413.828562713165,20106.93571791316,5438.961153011102,4113304,1.0,-25.3095172591,-52.3380184697418
TMPFTB020,2100609.50698535,3134853.5215299954,2100609.50698535,4113304,1.0,-25.3095172591,-52.3380184697418
TMPFTB035,1484177.9696655145,2580359.951272311,1484177.9696655145,4113304,1.0,-25.3095172591,-52.3380184697418
TMPFTB045,0.0,0.0,0.0,4113304,1.0,-25.3095172591,-52.3380184697418
EFFTB000,0.0,0.0,0.0,4113304,1.0,-25.3095172591,-52.3380184697418
EFFTB040,0.0,0.0,0.0,4113304,1.0,-25.3095172591,-52.3380184697418
SLATB000,315934.52101085725,708880.8634692945,253452.92475558724,4113304,1.0,-25.3095172591,-52.3380184697418
SLATB021,62641.48279560849,208660.7234471462,32456.70048427787,4113304,1.0,-25.3095172591,-52.3380184697418
SLATB029,251177.2444848668,1442856.1357722627,231973.1445774369,4113304,1.0,-25.3095172591,-52.3380184697418
SLATB064,280096.8137204539,834144.1124260956,247894.91389297915,4113304,1.0,-25.3095172591,-52.3380184697418
SLATB100,1255789.6588735664,2363884.679561019,1255483.86430914,4113304,1.0,-25.3095172591,-52.3380184697418
SLATB200,358581.5591743467,878242.3448313283,358581.5591743467,4113304,1.0,-25.3095172591,-52.3380184697418
RFSETB000,160839.720679674,334869.39815229026,-160839.720679674,4113304,1.0,-25.3095172591,-52.3380184697418
RFSETB200,689890.8457147087,1347201.6853570917,-689890.8457147087,4113304,1.0,-25.3095172591,-52.3380184697418
CFET,24824.612027727206,185607.5754189229,-24219.708534515732,4113304,1.0,-25.3095172591,-52.3380184697418
CVL,147518.9734012389,320978.12913886626,139167.23446477632,4113304,1.0,-25.3095172591,-52.3380184697418
CVO,1054116.1488246783,1853213.5872912535,1054116.1488246783,4113304,1.0,-25.3095172591,-52.3380184697418
CVR,29703.590916797857,99992.8387021467,26299.821433106525,4113304,1.0,-25.3095172591,-52.3380184697418
CVS,56911.37803854891,85746.10402110826,56911.37803854891,4113304,1.0,-25.3095172591,-52.3380184697418
DEPNR,25679.595545857457,112771.62341598076,25679.595545857457,4113304,1.0,-25.3095172591,-52.3380184697418
DLC,314631.31873701146,1481533.3145589377,-309242.34519846813,4113304,1.0,-25.3095172591,-52.3380184697418
DLO,164465.71219828908,1030274.688188309,-144369.65281236992,4113304,1.0,-25.3095172591,-52.3380184697418
DVSEND,3990371.6266893772,5229363.415875857,3990371.6266893772,4113304,1.0,-25.3095172591,-52.3380184697418
DVSI,0.0,0.0,0.0,4113304,1.0,-25.3095172591,-52.3380184697418
IAIRDU,24511.70603998875,110316.78031196856,24123.873035801596,4113304,1.0,-25.3095172591,-52.3380184697418
IDSL,958973.963592767,3138167.8829757595,-820274.7373872382,4113304,1.0,-25.3095172591,-52.3380184697418
IOX,11606.29073735395,75264.35403665002,-11064.201358636474,4113304,1.0,-25.3095172591,-52.3380184697418
PERDL,8177.520497242479,54471.013184504765,-8120.6595307470125,4113304,1.0,-25.3095172591,-52.3380184697418
Q10,40565.914982259776,74173.21581751178,40565.914982259776,4113304,1.0,-25.3095172591,-52.3380184697418
RDMCR,49484.97421028149,279144.03266333794,49484.97421028149,4113304,1.0,-25.3095172591,-52.3380184697418
RDI,34561.835842571956,173217.13446008886,17562.059795362555,4113304,1.0,-25.3095172591,-52.3380184697418
RGRLAI,82860.37952615165,822255.8214548299,81751.47519589857,4113304,1.0,-25.3095172591,-52.3380184697418
RML,366638.6918283639,664826.7021505571,-366638.6918283639,4113304,1.0,-25.3095172591,-52.3380184697418
RMO,544948.6146353196,1716298.5096578405,-544948.6146353196,4113304,1.0,-25.3095172591,-52.3380184697418
RMR,157241.5197280996,414491.3809104725,-157241.5197280996,4113304,1.0,-25.3095172591,-52.3380184697418
RMS,258373.99118021308,457997.6774114914,-258373.99118021308,4113304,1.0,-25.3095172591,-52.3380184697418
RRI,93595.79137052555,345518.68986559036,93438.1303973436,4113304,1.0,-25.3095172591,-52.3380184697418
SLATB,0.0,0.0,0.0,4113304,1.0,-25.3095172591,-52.3380184697418
SPAN,1422457.540514902,2640051.1358385407,1420896.7020423813,4113304,1.0,-25.3095172591,-52.3380184697418
TBASE,334883.52348802635,915086.2911226054,306498.5703456658,4113304,1.0,-25.3095172591,-52.3380184697418
TBASEM,88175.82636507705,192943.1539852962,-25100.988766100796,4113304,1.0,-25.3095172591,-52.3380184697418
TDWI,1250354.3346481838,3303466.448191135,1135125.6336063421,4113304,1.0,-25.3095172591,-52.3380184697418
TEFFMX,25651.707041410114,64687.65657754483,-1195.6577475624945,4113304,1.0,-25.3095172591,-52.3380184697418
TSUM1,763230.682781886,1912477.9558297913,-119696.14166929695,4113304,1.0,-25.3095172591,-52.3380184697418
TSUM2,1592235.733541673,3753601.7615309027,1555916.1329409478,4113304,1.0,-25.3095172591,-52.3380184697418
TSUMEM,50370.4430604197,107449.91219695519,-21718.093370308186,4113304,1.0,-25.3095172591,-52.3380184697418
