parameter,mu_star,sigma,mu,point_id,cluster_id,latitude,longitude
AMAXTB000,27956.613108844464,66791.48098567757,15916.941143810735,4115101,3.0,-24.0592988654,-53.20864977121504
AMAXTB014,240948.45743901574,719841.6105983929,165493.44558909143,4115101,3.0,-24.0592988654,-53.20864977121504
AMAXTB082,1292243.8149986237,2216304.6521772374,1292243.8149986237,4115101,3.0,-24.0592988654,-53.20864977121504
AMAXTB200,1705778.5260124751,2899302.9392587845,1705778.5260124751,4115101,3.0,-24.0592988654,-53.20864977121504
TMPFTB000,0.0,0.0,0.0,4115101,3.0,-24.0592988654,-53.20864977121504
TMPFTB008,1171.2149741864391,3617.577408690392,564.8551893584095,4115101,3.0,-24.0592988654,-53.20864977121504
TMPFTB020,1163335.2831040916,1993484.7015676664,1163335.2831040916,4115101,3.0,-24.0592988654,-53.20864977121504
TMPFTB035,1473652.888960076,2861454.31269904,1473652.888960076,4115101,3.0,-24.0592988654,-53.20864977121504
TMPFTB045,0.0,0.0,0.0,4115101,3.0,-24.0592988654,-53.20864977121504
EFFTB000,0.0,0.0,0.0,4115101,3.0,-24.0592988654,-53.20864977121504
EFFTB040,0.0,0.0,0.0,4115101,3.0,-24.0592988654,-53.20864977121504
SLATB000,680332.652204075,1648739.98202303,583340.3998344584,4115101,3.0,-24.0592988654,-53.20864977121504
SLATB021,76823.8415049462,173379.26419107107,49236.744349232555,4115101,3.0,-24.0592988654,-53.20864977121504
SLATB029,147117.33551702288,413167.4515302232,116785.00884170979,4115101,3.0,-24.0592988654,-53.20864977121504
SLATB064,220728.38910226338,819364.3802438863,193183.3011460089,4115101,3.0,-24.0592988654,-53.20864977121504
SLATB100,1329620.911596247,2657488.5993329417,1329620.911596247,4115101,3.0,-24.0592988654,-53.20864977121504
SLATB200,348937.9787585929,1178253.2386654643,348937.9787585929,4115101,3.0,-24.0592988654,-53.20864977121504
RFSETB000,132885.11340576352,233349.89385561118,-132885.11340576352,4115101,3.0,-24.0592988654,-53.20864977121504
RFSETB200,452339.4019441291,885176.5114748784,-452339.4019441291,4115101,3.0,-24.0592988654,-53.20864977121504
CFET,9008.69682162294,42457.71429789285,-1735.7404908959102,4115101,3.0,-24.0592988654,-53.20864977121504
CVL,153927.253039823,357405.2237012597,153477.39687534404,4115101,3.0,-24.0592988654,-53.20864977121504
CVO,831487.1675321098,1581793.0928928107,831487.1675321098,4115101,3.0,-24.0592988654,-53.20864977121504
CVR,8088.2285980672295,20782.49744605902,4575.914805477087,4115101,3.0,-24.0592988654,-53.20864977121504
CVS,63987.165851318634,124724.45208031687,63987.159031325915,4115101,3.0,-24.0592988654,-53.20864977121504
DEPNR,16011.544426011918,67236.22315912157,11430.047191033225,4115101,3.0,-24.0592988654,-53.20864977121504
DLC,535788.1435706331,2429308.810355568,-276739.99374057894,4115101,3.0,-24.0592988654,-53.20864977121504
DLO,27112.019611823816,118614.62017906096,5011.426569492919,4115101,3.0,-24.0592988654,-53.20864977121504
DVSEND,3628332.4538162374,4729204.473642553,3628332.4538162374,4115101,3.0,-24.0592988654,-53.20864977121504
DVSI,0.0,0.0,0.0,4115101,3.0,-24.0592988654,-53.20864977121504
IAIRDU,65479.56505697876,336606.3342082196,60910.24253802443,4115101,3.0,-24.0592988654,-53.20864977121504
IDSL,755436.486659662,3035511.5465448173,-689270.8326211009,4115101,3.0,-24.0592988654,-53.20864977121504
IOX,55123.416599998556,308931.345297812,-53081.10903691649,4115101,3.0,-24.0592988654,-53.20864977121504
PERDL,7488.096168020602,28744.053424449405,-6463.996198566789,4115101,3.0,-24.0592988654,-53.20864977121504
Q10,23549.776229663483,57534.87814993454,-23093.691645129744,4115101,3.0,-24.0592988654,-53.20864977121504
RDMCR,27988.89494507939,176581.90004984077,27988.89494507939,4115101,3.0,-24.0592988654,-53.20864977121504
RDI,24438.17405110761,94113.71030270355,17206.153123394128,4115101,3.0,-24.0592988654,-53.20864977121504
RGRLAI,1929.1121238015057,11132.795020493453,-851.1008256161381,4115101,3.0,-24.0592988654,-53.20864977121504
RML,326818.58147799404,515722.083924119,-326818.58147799404,4115101,3.0,-24.0592988654,-53.20864977121504
RMO,358578.98737835966,944403.5759112601,-358578.98737835966,4115101,3.0,-24.0592988654,-53.20864977121504
RMR,113149.08679788858,205471.74060644303,-113149.08679788858,4115101,3.0,-24.0592988654,-53.20864977121504
RMS,220129.90862199327,447295.2360593618,-220129.90862199327,4115101,3.0,-24.0592988654,-53.20864977121504
RRI,44144.04084077268,200742.1790040946,42997.431894782334,4115101,3.0,-24.0592988654,-53.20864977121504
SLATB,0.0,0.0,0.0,4115101,3.0,-24.0592988654,-53.20864977121504
SPAN,1010708.4173319425,2301701.8858842105,1009903.8456180983,4115101,3.0,-24.0592988654,-53.20864977121504
TBASE,305164.73944294674,704384.7082320086,279801.9448187524,4115101,3.0,-24.0592988654,-53.20864977121504
TBASEM,43885.56333348959,100470.71140725365,9869.04848635223,4115101,3.0,-24.0592988654,-53.20864977121504
TDWI,934041.1352729574,2219767.5817662003,883679.3641071436,4115101,3.0,-24.0592988654,-53.20864977121504
TEFFMX,37217.79867723242,98804.39657267006,-5230.229995821152,4115101,3.0,-24.0592988654,-53.20864977121504
TSUM1,883299.8235146339,2019325.362644473,530270.2830111629,4115101,3.0,-24.0592988654,-53.20864977121504
TSUM2,806969.8351001509,1482526.7169730552,795145.6251583217,4115101,3.0,-24.0592988654,-53.20864977121504
TSUMEM,48580.714883897315,113906.45485450007,-2279.8018230364983,4115101,3.0,-24.0592988654,-53.20864977121504
