parameter,mu_star,sigma,mu,point_id,cluster_id,latitude,longitude
AMAXTB000,45672.68372170683,118842.43653033325,20298.820560807337,4125209,1.0,-25.66027033525,-52.92931906181609
AMAXTB014,285044.3490734648,879165.3083875221,199189.8955543684,4125209,1.0,-25.66027033525,-52.92931906181609
AMAXTB082,1440394.0546385376,2285222.541222062,1440394.0546385376,4125209,1.0,-25.66027033525,-52.92931906181609
AMAXTB200,2050515.7969783158,3269611.9085929105,2050515.7969783158,4125209,1.0,-25.66027033525,-52.92931906181609
TMPFTB000,0.0,0.0,0.0,4125209,1.0,-25.66027033525,-52.92931906181609
TMPFTB008,3913.784878976358,11419.277332635156,2470.6076754396986,4125209,1.0,-25.66027033525,-52.92931906181609
TMPFTB020,1871118.500059417,3056230.480457055,1871118.500059417,4125209,1.0,-25.66027033525,-52.92931906181609
TMPFTB035,1395414.1594062643,2697993.6931172186,1395414.1594062643,4125209,1.0,-25.66027033525,-52.92931906181609
TMPFTB045,0.0,0.0,0.0,4125209,1.0,-25.66027033525,-52.92931906181609
EFFTB000,0.0,0.0,0.0,4125209,1.0,-25.66027033525,-52.92931906181609
EFFTB040,0.0,0.0,0.0,4125209,1.0,-25.66027033525,-52.92931906181609
SLATB000,650958.674098282,1727862.0428452438,559880.2623326918,4125209,1.0,-25.66027033525,-52.92931906181609
SLATB021,79293.62783794911,178199.83641473736,53293.28312906599,4125209,1.0,-25.66027033525,-52.92931906181609
SLATB029,133012.02607385305,365750.87214386446,106665.8017893713,4125209,1.0,-25.66027033525,-52.92931906181609
SLATB064,273846.44402102736,1017648.4555693804,243340.10781710435,4125209,1.0,-25.66027033525,-52.92931906181609
SLATB100,1501235.1015586609,2983366.4651478897,1501235.1015586609,4125209,1.0,-25.66027033525,-52.92931906181609
SLATB200,361595.80367268197,1148279.2352623139,361595.80367268197,4125209,1.0,-25.66027033525,-52.92931906181609
RFSETB000,189856.33210168162,497523.66163333325,-189856.33210168162,4125209,1.0,-25.66027033525,-52.92931906181609
RFSETB200,477353.23697699845,895744.7706554487,-477353.23697699845,4125209,1.0,-25.66027033525,-52.92931906181609
CFET,18237.756244950484,71303.80249371697,-15898.112107626432,4125209,1.0,-25.66027033525,-52.92931906181609
CVL,172470.5342775451,310714.8677819538,172470.5342775451,4125209,1.0,-25.66027033525,-52.92931906181609
CVO,1023282.4787972549,1863297.5703133335,1023282.4787972549,4125209,1.0,-25.66027033525,-52.92931906181609
CVR,11451.05890205184,26327.812885241696,7878.032546089406,4125209,1.0,-25.66027033525,-52.92931906181609
CVS,84051.38279823166,212175.79596151196,84051.38279823166,4125209,1.0,-25.66027033525,-52.92931906181609
DEPNR,39362.126155557984,156729.686792108,38266.45713891386,4125209,1.0,-25.66027033525,-52.92931906181609
DLC,273543.41216064914,1328498.5943361218,-33017.69011013788,4125209,1.0,-25.66027033525,-52.92931906181609
DLO,30443.691794828075,118822.77010443386,-11767.460267208677,4125209,1.0,-25.66027033525,-52.92931906181609
DVSEND,4138186.1025601313,5274388.929062337,4138186.1025601313,4125209,1.0,-25.66027033525,-52.92931906181609
DVSI,0.0,0.0,0.0,4125209,1.0,-25.66027033525,-52.92931906181609
IAIRDU,23423.402310067602,129649.31671366823,20291.930925107055,4125209,1.0,-25.66027033525,-52.92931906181609
IDSL,727896.5804183312,2806767.8142568567,-668253.0452499647,4125209,1.0,-25.66027033525,-52.92931906181609
IOX,21852.222912456436,161689.32518465025,-20867.35850767732,4125209,1.0,-25.66027033525,-52.92931906181609
PERDL,8078.13603890091,33339.90041336712,-6060.7719086965335,4125209,1.0,-25.66027033525,-52.92931906181609
Q10,10582.802520812278,23418.73952665141,2939.9742618223377,4125209,1.0,-25.66027033525,-52.92931906181609
RDMCR,100308.01204711206,393851.91832393,100304.64954427668,4125209,1.0,-25.66027033525,-52.92931906181609
RDI,49914.20629370222,230620.24122790794,44576.02273015443,4125209,1.0,-25.66027033525,-52.92931906181609
RGRLAI,10846.762789806864,78286.15389660325,6467.862896733274,4125209,1.0,-25.66027033525,-52.92931906181609
RML,380132.8167375092,567268.8323777727,-380132.8167375092,4125209,1.0,-25.66027033525,-52.92931906181609
RMO,439063.31146739586,1089014.1899968558,-439063.31146739586,4125209,1.0,-25.66027033525,-52.92931906181609
RMR,119594.88730681945,204629.61213870868,-119594.88730681945,4125209,1.0,-25.66027033525,-52.92931906181609
RMS,250245.29244587492,496218.7843945497,-250245.29244587492,4125209,1.0,-25.66027033525,-52.92931906181609
RRI,153026.28535827182,588481.3376425155,152215.37323404345,4125209,1.0,-25.66027033525,-52.92931906181609
SLATB,0.0,0.0,0.0,4125209,1.0,-25.66027033525,-52.92931906181609
SPAN,1174471.9876517234,2546577.7126907227,1173829.4983962395,4125209,1.0,-25.66027033525,-52.92931906181609
TBASE,368381.77163475857,855661.0421506675,344761.70480708673,4125209,1.0,-25.66027033525,-52.92931906181609
TBASEM,75334.98462404146,157565.32748777198,622.0056418890922,4125209,1.0,-25.66027033525,-52.92931906181609
TDWI,1112222.9356487172,2871235.883821357,1034517.1605531554,4125209,1.0,-25.66027033525,-52.92931906181609
TEFFMX,53368.98789633534,183263.35158329798,23793.94577137887,4125209,1.0,-25.66027033525,-52.92931906181609
TSUM1,1026664.6185839878,2440214.0237144786,617497.625932647,4125209,1.0,-25.66027033525,-52.92931906181609
TSUM2,937981.5007845885,1583131.0817392522,905476.9756074254,4125209,1.0,-25.66027033525,-52.92931906181609
TSUMEM,66005.04157715129,157746.01017807223,2355.42692430508,4125209,1.0,-25.66027033525,-52.92931906181609
